"file_name","day","genotype","sample_name"
"CO2_0_1.cel.gz","0","CO2","CO2_0"
"CO2_0_2.cel.gz","0","CO2","CO2_0"
"CO2_3_1.cel.gz","3","CO2","CO2_3"
"CO2_3_2.cel.gz","3","CO2","CO2_3"
"CO2_5_1.cel.gz","5","CO2","CO2_5"
"CO2_5_2.cel.gz","5","CO2","CO2_5"
"CO2_7_1.cel.gz","7","CO2","CO2_7"
"CO2_7_2.cel.gz","7","CO2","CO2_7"
"COL0_0_1.cel.gz","0","COL0","COL0_0"
"COL0_0_2.cel.gz","0","COL0","COL0_0"
"COL0_3_1.cel.gz","3","COL0","COL0_3"
"COL0_3_2.cel.gz","3","COL0","COL0_3"
"COL0_5_1.cel.gz","5","COL0","COL0_5"
"COL0_5_2.cel.gz","5","COL0","COL0_5"
"COL0_7_1.cel.gz","7","COL0","COL0_7"
"COL0_7_2.cel.gz","7","COL0","COL0_7"
"FT2_0_1.cel.gz","0","FT2","FT2_0"
"FT2_0_2.cel.gz","0","FT2","FT2_0"
"FT2_3_1.cel.gz","3","FT2","FT2_3"
"FT2_3_2.cel.gz","3","FT2","FT2_3"
"FT2_5_1.cel.gz","5","FT2","FT2_5"
"FT2_5_2.cel.gz","5","FT2","FT2_5"
"FT2_7_1.cel.gz","7","FT2","FT2_7"
"FT2_7_2.cel.gz","7","FT2","FT2_7"
"LER_0_1.cel.gz","0","LER","LER_0"
"LER_0_2.cel.gz","0","LER","LER_0"
"LER_3_1.cel.gz","3","LER","LER_3"
"LER_3_2.cel.gz","3","LER","LER_3"
"LER_5_1.cel.gz","5","LER","LER_5"
"LER_5_2.cel.gz","5","LER","LER_5"
"LER_7_1.cel.gz","7","LER","LER_7"
"LER_7_2.cel.gz","7","LER","LER_7"
"LFY12_0_1.cel.gz","0","LFY12","LFY12_0"
"LFY12_0_2.cel.gz","0","LFY12","LFY12_0"
"LFY12_3_1.cel.gz","3","LFY12","LFY12_3"
"LFY12_3_2.cel.gz","3","LFY12","LFY12_3"
"LFY12_5_1.cel.gz","5","LFY12","LFY12_5"
"LFY12_5_2.cel.gz","5","LFY12","LFY12_5"
"LFY12_7_1.cel.gz","7","LFY12","LFY12_7"
"LFY12_7_2.cel.gz","7","LFY12","LFY12_7"
