"","sample_name","genotype","id_name","age","tissue1","tissue2"
"ATGE_2_A.cel.gz","Col-0_hyp","Col-0","ATGE_2","7 days ","hypocotyl ",""
"ATGE_2_B.cel.gz","Col-0_hyp","Col-0","ATGE_2","7 days ","hypocotyl ",""
"ATGE_2_C.cel.gz","Col-0_hyp","Col-0","ATGE_2","7 days ","hypocotyl ",""
"ATGE_4_A.cel.gz","Col-0_veg_leaf","Col-0","ATGE_4","7 days ","leaf","shoot apex "
"ATGE_4_B.cel.gz","Col-0_veg_leaf","Col-0","ATGE_4","7 days ","leaf","shoot apex "
"ATGE_4_C.cel.gz","Col-0_veg_leaf","Col-0","ATGE_4","7 days ","leaf","shoot apex "
"ATGE_5_A.cel.gz","Col-0_leaf_1-2","Col-0","ATGE_5","7 days ","leaf ",""
"ATGE_5_B.cel.gz","Col-0_leaf_1-2","Col-0","ATGE_5","7 days ","leaf ",""
"ATGE_5_C.cel.gz","Col-0_leaf_1-2","Col-0","ATGE_5","7 days ","leaf ",""
"ATGE_6_A.cel.gz","Col-0_shoot_veg","Col-0","ATGE_6","7 days ","shoot","shoot apex "
"ATGE_6_B.cel.gz","Col-0_shoot_veg","Col-0","ATGE_6","7 days ","shoot","shoot apex "
"ATGE_6_C.cel.gz","Col-0_shoot_veg","Col-0","ATGE_6","7 days ","shoot","shoot apex "
"ATGE_7_A2.cel.gz","Col-0_seedl_green","Col-0","ATGE_7","7 days ","shoot ",""
"ATGE_7_B2.cel.gz","Col-0_seedl_green","Col-0","ATGE_7","7 days ","shoot ",""
"ATGE_7_C2.cel.gz","Col-0_seedl_green","Col-0","ATGE_7","7 days ","shoot ",""
"ATGE_8_A.cel.gz","Col-0_shoot_trans","Col-0","ATGE_8","14 days ","inflorescence","shoot "
"ATGE_8_B.cel.gz","Col-0_shoot_trans","Col-0","ATGE_8","14 days ","inflorescence","shoot "
"ATGE_8_C.cel.gz","Col-0_shoot_trans","Col-0","ATGE_8","14 days ","inflorescence","shoot "
"ATGE_10_A.cel.gz","Col-0_roset4_1l","Col-0","ATGE_10","10 days ","young leaf ",""
"ATGE_10_B.cel.gz","Col-0_roset4_1l","Col-0","ATGE_10","10 days ","young leaf ",""
"ATGE_10_C.cel.gz","Col-0_roset4_1l","Col-0","ATGE_10","10 days ","young leaf ",""
"ATGE_13_A.cel.gz","Col-0_roset4","Col-0","ATGE_13","17 days ","mature leaf ",""
"ATGE_13_B.cel.gz","Col-0_roset4","Col-0","ATGE_13","17 days ","mature leaf ",""
"ATGE_13_C.cel.gz","Col-0_roset4","Col-0","ATGE_13","17 days ","mature leaf ",""
"ATGE_14_A.cel.gz","Col-0_roset6","Col-0","ATGE_14","17 days ","mature leaf ",""
"ATGE_14_B.cel.gz","Col-0_roset6","Col-0","ATGE_14","17 days ","mature leaf ",""
"ATGE_14_C.cel.gz","Col-0_roset6","Col-0","ATGE_14","17 days ","mature leaf ",""
"ATGE_22_A.cel.gz","Col-0_whole21d","Col-0","ATGE_22","21 days ","whole plant ",""
"ATGE_22_B.cel.gz","Col-0_whole21d","Col-0","ATGE_22","21 days ","whole plant ",""
"ATGE_22_C.cel.gz","Col-0_whole21d","Col-0","ATGE_22","21 days ","whole plant ",""
"ATGE_23_A.cel.gz","Col-0_whole22d","Col-0","ATGE_23","22 days ","whole plant ",""
"ATGE_23_B.cel.gz","Col-0_whole22d","Col-0","ATGE_23","22 days ","whole plant ",""
"ATGE_23_C.cel.gz","Col-0_whole22d","Col-0","ATGE_23","22 days ","whole plant ",""
"ATGE_24_A.cel.gz","Col-0_whole23d","Col-0","ATGE_24","23 days ","whole plant ",""
"ATGE_24_B.cel.gz","Col-0_whole23d","Col-0","ATGE_24","23 days ","whole plant ",""
"ATGE_24_C.cel.gz","Col-0_whole23d","Col-0","ATGE_24","23 days ","whole plant ",""
"ATGE_25_A.cel.gz","Col-0_senescent","Col-0","ATGE_25","35 days ","senescence leaf ",""
"ATGE_25_B.cel.gz","Col-0_senescent","Col-0","ATGE_25","35 days ","senescence leaf ",""
"ATGE_25_C.cel.gz","Col-0_senescent","Col-0","ATGE_25","35 days ","senescence leaf ",""
"ATGE_26_A.cel.gz","Col-0_cauline","Col-0","ATGE_26","21+ days ","cauline leaf ",""
"ATGE_26_B.cel.gz","Col-0_cauline","Col-0","ATGE_26","21+ days ","cauline leaf ",""
"ATGE_26_C.cel.gz","Col-0_cauline","Col-0","ATGE_26","21+ days ","cauline leaf ",""
"ATGE_29_A2.cel.gz","Col-0_inflo","Col-0","ATGE_29","21 days ","inflorescence","stage 1-6 flower "
"ATGE_29_B2.cel.gz","Col-0_inflo","Col-0","ATGE_29","21 days ","inflorescence","stage 1-6 flower "
"ATGE_29_C2.cel.gz","Col-0_inflo","Col-0","ATGE_29","21 days ","inflorescence","stage 1-6 flower "
"ATGE_31_A2.cel.gz","Col-0_flow9","Col-0","ATGE_31","21+ days ","stage 9 flower ",""
"ATGE_31_B2.cel.gz","Col-0_flow9","Col-0","ATGE_31","21+ days ","stage 9 flower ",""
"ATGE_31_C2.cel.gz","Col-0_flow9","Col-0","ATGE_31","21+ days ","stage 9 flower ",""
"ATGE_32_A2.cel.gz","Col-0_flow10/11","Col-0","ATGE_32","21+ days ","stage 10-11 flower ",""
"ATGE_32_B2.cel.gz","Col-0_flow10/11","Col-0","ATGE_32","21+ days ","stage 10-11 flower ",""
"ATGE_32_C2.cel.gz","Col-0_flow10/11","Col-0","ATGE_32","21+ days ","stage 10-11 flower ",""
"ATGE_33_B.cel.gz","Col-0_flow12","Col-0","ATGE_33","21+ days ","stage 12 flower ",""
"ATGE_33_C.cel.gz","Col-0_flow12","Col-0","ATGE_33","21+ days ","stage 12 flower ",""
"ATGE_33_A.cel.gz","Col-0_flow12","Col-0","ATGE_33","21+ days ","stage 12 flower ",""
"ATGE_39_A.cel.gz","Col-0_flow15","Col-0","ATGE_39","21+ days ","stage 15 flower ",""
"ATGE_39_B.cel.gz","Col-0_flow15","Col-0","ATGE_39","21+ days ","stage 15 flower ",""
"ATGE_39_C.cel.gz","Col-0_flow15","Col-0","ATGE_39","21+ days ","stage 15 flower ",""
"ATGE_46_A.cel.gz","clv3-7_inflor","clv3-7","ATGE_46","21+ days ","stage 1-6 flower ",""
"ATGE_46_B.cel.gz","clv3-7_inflor","clv3-7","ATGE_46","21+ days ","stage 1-6 flower ",""
"ATGE_46_C.cel.gz","clv3-7_inflor","clv3-7","ATGE_46","21+ days ","stage 1-6 flower ",""
"ATGE_47_B.cel.gz","lfy-12_inflor","lfy-12","ATGE_47","21+ days ","stage 1-7 flower ",""
"ATGE_47_C.cel.gz","lfy-12_inflor","lfy-12","ATGE_47","21+ days ","stage 1-7 flower ",""
