"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.16G069600.1","GO:0007275","multicellular organism development",25,1,0.01,0.0063,"BP",2.20065945054642
"Ceric.16G069600.1","GO:0030001","metal ion transport",167,1,0.04,0.0417,"BP",1.37986394502624
"Ceric.18G036100.1","GO:0009664","plant-type cell wall organization",52,2,0.05,0.00087,"BP",3.06048074738138
"Ceric.18G036100.1","GO:0010411","xyloglucan metabolic process",21,1,0.02,0.01839,"BP",1.73541827076192
"Ceric.18G036100.1","GO:0042546","cell wall biogenesis",35,1,0.03,0.03049,"BP",1.51584257563462
"Ceric.1Z119300.1","GO:0006364","rRNA processing",33,1,0.01,0.012,"BP",1.92081875395238
"Ceric.1Z119300.1","GO:0006470","protein dephosphorylation",121,1,0.05,0.045,"BP",1.34678748622466
"Ceric.33G032900.1","GO:0045892","negative regulation of DNA-templated tra...",6,1,0,0.003,"BP",2.52287874528034
"Ceric.33G032900.1","GO:0006535","cysteine biosynthetic process from serin...",18,1,0.01,0.009,"BP",2.04575749056068
"Ceric.33G032900.1","GO:0006096","glycolytic process",48,1,0.02,0.024,"BP",1.61978875828839
"hubs","GO:0008152","metabolic process",5779,1,0.73,0.73,"BP",0.136677139879544
