"hubGene","genes","cor"
"Ceric.05G066500.1","Ceric.05G066500.1",1
"Ceric.05G066500.1","Ceric.01G063400.1",0.81
"Ceric.05G066500.1","Ceric.01G121900.1",0.743
"Ceric.05G066500.1","Ceric.31G048500.1",0.739
"Ceric.05G066500.1","Ceric.18G008400.1",0.72
"Ceric.05G066500.1","Ceric.29G009300.1",0.719
"Ceric.05G066500.1","Ceric.01G116000.1",0.718
"Ceric.05G066500.1","Ceric.12G008100.1",0.707
"Ceric.05G066500.1","Ceric.11G041800.1",0.703
"Ceric.05G066500.1","Ceric.20G091500.1",0.696
"Ceric.37G009800.1","Ceric.37G009800.1",1
"Ceric.37G009800.1","Ceric.11G017200.1",0.793
"Ceric.37G009800.1","Ceric.10G001200.1",0.783
"Ceric.37G009800.1","Ceric.36G034000.1",0.729
"Ceric.37G009800.1","Ceric.38G004900.1",0.729
"Ceric.37G009800.1","Ceric.21G049200.1",0.722
"Ceric.37G009800.1","Ceric.36G060600.1",0.708
"Ceric.37G009800.1","Ceric.29G023100.1",0.704
"Ceric.37G009800.1","Ceric.36G006300.1",0.697
"Ceric.37G009800.1","Ceric.1Z064900.1",0.694
"Ceric.1Z103300.1","Ceric.1Z103300.1",1
"Ceric.1Z103300.1","Ceric.36G056400.1",0.588
"Ceric.1Z103300.1","Ceric.01G078000.1",0.581
"Ceric.1Z103300.1","Ceric.01G091300.1",0.544
"Ceric.1Z103300.1","Ceric.17G065600.1",0.53
"Ceric.1Z103300.1","Ceric.14G085500.1",0.525
"Ceric.1Z103300.1","Ceric.04G043600.1",0.516
"Ceric.1Z103300.1","Ceric.30G010700.1",0.506
"Ceric.1Z103300.1","Ceric.10G064100.1",0.502
"Ceric.1Z103300.1","Ceric.10G037700.1",0.499
"Ceric.1Z103300.1","Ceric.30G036600.1",0.499
"Ceric.1Z103300.1","Ceric.22G047100.1",0.497
"Ceric.1Z103300.1","Ceric.01G067800.1",0.496
"Ceric.1Z103300.1","Ceric.30G001900.1",0.495
"Ceric.1Z103300.1","Ceric.19G045300.1",0.489
"Ceric.1Z103300.1","Ceric.03G061700.1",0.487
"Ceric.1Z103300.1","Ceric.13G001100.1",0.485
"Ceric.1Z103300.1","Ceric.01G077800.1",0.484
"Ceric.1Z103300.1","Ceric.35G010300.1",0.482
"Ceric.1Z103300.1","Ceric.14G049700.1",0.476
"Ceric.34G055100.1","Ceric.34G055100.1",1
"Ceric.34G055100.1","Ceric.13G086800.1",0.698
"Ceric.34G055100.1","Ceric.16G069600.1",0.658
