module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0015979,photosynthesis,186,40,9.41,1.1e-15
black,GO:0006412,translation,161,41,8.15,1.1e-13
black,GO:0006662,glycerol ether metabolic process,27,11,1.37,2.9e-8
black,GO:0006457,protein folding,59,13,2.99,5.3e-6
black,GO:0045454,cell redox homeostasis,98,15,4.96,1e-4
black,GO:0010207,photosystem II assembly,3,3,0.15,1.3e-4
black,GO:0000413,protein peptidyl-prolyl isomerization,14,5,0.71,4.4e-4
black,GO:0008152,metabolic process,3890,229,196.83,5.7e-4
black,GO:0006414,translational elongation,9,4,0.46,6.6e-4
black,GO:0009765,"photosynthesis, light harvesting",40,8,2.02,7.2e-4
black,GO:0009052,"pentose-phosphate shunt, non-oxidative b...",2,2,0.1,0.00255
black,GO:0009306,protein secretion,2,2,0.1,0.00255
black,GO:0019464,glycine decarboxylation via glycine clea...,3,2,0.15,0.0074
black,GO:0015986,proton motive force-driven ATP synthesis,43,6,2.18,0.02
black,GO:0006821,chloride transport,6,2,0.3,0.03342
black,GO:0033014,tetrapyrrole biosynthetic process,36,7,1.82,0.04419
black,GO:0032259,methylation,21,3,1.06,0.04516
blue,GO:0042545,cell wall modification,64,21,8.47,4.1e-5
blue,GO:0007165,signal transduction,234,48,30.96,1.3e-4
blue,GO:0042546,cell wall biogenesis,32,12,4.23,5.1e-4
blue,GO:0006355,regulation of DNA-templated transcriptio...,452,82,59.8,0.00121
blue,GO:0010167,response to nitrate,6,4,0.79,0.00365
blue,GO:0015706,nitrate transmembrane transport,6,4,0.79,0.00365
blue,GO:0072488,ammonium transmembrane transport,7,4,0.93,0.00763
blue,GO:0006629,lipid metabolic process,277,40,36.64,0.01169
blue,GO:0042026,protein refolding,5,3,0.66,0.01875
blue,GO:0006635,fatty acid beta-oxidation,5,3,0.66,0.01875
blue,GO:0010411,xyloglucan metabolic process,21,6,2.78,0.04941
brown,GO:0006950,response to stress,322,49,43.6,3.1e-8
brown,GO:0006468,protein phosphorylation,779,147,105.49,3.9e-6
brown,GO:0006810,transport,792,159,107.25,3.4e-5
brown,GO:0006812,monoatomic cation transport,161,37,21.8,3.9e-4
brown,GO:0055085,transmembrane transport,435,89,58.91,0.0013
brown,GO:0006873,intracellular monoatomic ion homeostasis,12,6,1.63,0.0027
brown,GO:0048544,recognition of pollen,11,5,1.49,0.01025
brown,GO:0006413,translational initiation,12,5,1.63,0.01565
brown,GO:0006952,defense response,31,9,4.2,0.01833
brown,GO:0006470,protein dephosphorylation,86,19,11.65,0.01928
brown,GO:0009439,cyanate metabolic process,5,3,0.68,0.02001
brown,GO:0071805,potassium ion transmembrane transport,25,7,3.39,0.04319
brown,GO:0045892,negative regulation of DNA-templated tra...,5,3,0.68,0.04991
cyan,GO:0000160,phosphorelay signal transduction system,49,6,1.23,0.0013
cyan,GO:0045893,positive regulation of DNA-templated tra...,4,2,0.1,0.0036
cyan,GO:0006468,protein phosphorylation,779,30,19.49,0.009
cyan,GO:0016310,phosphorylation,803,33,20.09,0.0164
cyan,GO:0042372,phylloquinone biosynthetic process,1,1,0.03,0.025
cyan,GO:0071951,conversion of methionyl-tRNA to N-formyl...,1,1,0.03,0.025
cyan,GO:0007155,cell adhesion,1,1,0.03,0.025
