module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0031122,cytoplasmic microtubule organization,13,4,0.28,1.2e-4
black,GO:0007020,microtubule nucleation,14,4,0.3,1.6e-4
black,GO:0006527,arginine catabolic process,4,2,0.08,0.0026
blue,GO:0006468,protein phosphorylation,769,165,105.69,1.3e-10
blue,GO:0009664,plant-type cell wall organization,52,20,7.15,5.3e-6
blue,GO:0006979,response to oxidative stress,91,29,12.51,1.2e-5
brown,GO:0042545,cell wall modification,65,26,9.92,1e-6
brown,GO:0007165,signal transduction,238,50,36.32,9e-5
brown,GO:0042546,cell wall biogenesis,33,13,5.04,4.2e-4
cyan,GO:0006904,vesicle docking involved in exocytosis,3,2,0.05,8.4e-4
cyan,GO:0016192,vesicle-mediated transport,48,8,0.81,0.00568
cyan,GO:0006812,monoatomic cation transport,159,4,2.69,0.01062
darkgreen,GO:0006412,translation,189,20,3.13,1.4e-9
darkgreen,GO:0006886,intracellular protein transport,80,8,1.33,4.6e-5
darkgreen,GO:0009439,cyanate metabolic process,6,3,0.1,8.5e-5
darkgrey,GO:0015979,photosynthesis,196,53,9.57,8.8e-22
darkgrey,GO:0006412,translation,189,40,9.23,7.9e-13
darkgrey,GO:0009765,"photosynthesis, light harvesting",42,13,2.05,4.8e-8
darkorange2,GO:0006428,isoleucyl-tRNA aminoacylation,1,1,0.01,0.0078
darkorange2,GO:0071951,conversion of methionyl-tRNA to N-formyl...,1,1,0.01,0.0078
darkorange2,GO:0017009,protein-phycocyanobilin linkage,1,1,0.01,0.0078
darkred,GO:0006298,mismatch repair,13,6,0.52,5e-6
darkred,GO:0007165,signal transduction,238,21,9.46,5.7e-6
darkred,GO:0046856,phosphatidylinositol dephosphorylation,16,6,0.64,2.1e-5
darkslateblue,GO:0006419,alanyl-tRNA aminoacylation,1,1,0,0.0036
darkslateblue,GO:0016560,"protein import into peroxisome matrix, d...",2,1,0.01,0.0071
darkslateblue,GO:0009107,lipoate biosynthetic process,2,1,0.01,0.0071
green,GO:0006260,DNA replication,74,32,4.22,3e-11
green,GO:0006270,DNA replication initiation,8,8,0.46,1e-10
green,GO:0007018,microtubule-based movement,78,21,4.45,1.1e-9
greenyellow,GO:0006662,glycerol ether metabolic process,27,7,0.65,2.5e-6
