geneID,logFC,logCPM,F,PValue,FDR
Ceric.11G040500.v2.1,7.623341861617157,2.595332127874611,648.0542020361487,2.0777137051636556e-11,4.7203577667613093e-7
Ceric.03G009700.v2.1,8.028740083537581,6.946458606382233,1321.2897065967534,6.578162711190333e-11,7.472463931776659e-7
Ceric.19G073700.v2.1,8.04760031889321,6.896582076450292,1192.5966646538589,1.032627720298872e-10,7.820089725823357e-7
Ceric.12G059400.v2.1,9.290826675044494,4.308922319169806,437.1371646393174,1.877609113865192e-10,1.0664350364475823e-6
Ceric.19G056000.v2.1,6.251707671465665,4.565934201141439,972.6138387285002,2.6000962883315754e-10,1.1814317514921013e-6
Ceric.17G072500.v2.1,7.114128890663747,3.824506255416389,795.0811318618801,5.424113336757794e-10,1.2540969571858814e-6
Ceric.15G045000.v2.1,7.459789257494489,4.364072981298987,793.486816944405,6.144117179154652e-10,1.2540969571858814e-6
Ceric.03G009800.v2.1,7.705582034539973,7.189585610417895,790.666655301164,6.152598398435198e-10,1.2540969571858814e-6
Ceric.17G059900.v2.1,8.834971503370904,4.139548223709762,417.80192512629014,6.410342959856887e-10,1.2540969571858814e-6
Ceric.20G081900.v2.1,8.281581849400268,2.898024575189127,296.5601586950124,6.418988272681933e-10,1.2540969571858814e-6
Ceric.18G026500.v2.1,8.742729455482324,2.869750135191411,276.5252412479871,1.023080959018038e-9,1.2540969571858814e-6
Ceric.18G086200.v2.1,7.680407113467292,2.654666766259159,319.6826661785483,1.064697736940449e-9,1.2540969571858814e-6
Ceric.11G052700.v2.1,5.704250519143291,4.6452984621717555,694.3517056647448,1.0931555191224588e-9,1.2540969571858814e-6
Ceric.05G082400.v2.1,8.138545515998624,8.20422729096141,683.841775358071,1.1549396534081051e-9,1.2540969571858814e-6
Ceric.05G102400.v2.1,6.617771341970123,5.622845375373105,683.556542230101,1.1685643179305196e-9,1.2540969571858814e-6
Ceric.02G109500.v2.1,4.657371453696068,8.211382759161472,660.9761257540471,1.3352882398757886e-9,1.2540969571858814e-6
Ceric.06G060100.v2.1,8.824256495623917,3.4602674853627984,260.78069242213525,1.3626013899656844e-9,1.2540969571858814e-6
Ceric.17G043800.v2.1,6.505070171679944,4.144962184068438,671.6967657850229,1.3956854313104597e-9,1.2540969571858814e-6
Ceric.08G069200.v2.1,4.430934961793736,6.387948982746225,643.8599405480446,1.497652544696462e-9,1.2540969571858814e-6
Ceric.10G043900.v2.1,8.504888084882449,3.507256111439017,296.7723658563278,1.6073979610638265e-9,1.2540969571858814e-6
Ceric.03G032500.v2.1,7.054649387059198,5.036580743488196,630.6756853976481,1.770448598138201e-9,1.2540969571858814e-6
Ceric.30G016400.v2.1,5.011745682048841,5.5104018548865765,614.7398259804813,1.8347228711517659e-9,1.2540969571858814e-6
Ceric.28G065000.v2.1,6.229767443826372,4.853563171421577,614.9196174098045,1.87556110185831e-9,1.2540969571858814e-6
Ceric.34G072300.v2.1,5.260725165845784,4.770947369711019,612.1417268198439,1.8768122075936427e-9,1.2540969571858814e-6
Ceric.08G004000.v2.1,3.741334577500954,6.947402387018852,592.4425337143045,2.1510799214601918e-9,1.2660869926606508e-6
Ceric.04G045100.v2.1,4.381136273371264,4.39001064952048,579.139587345755,2.3821900204876007e-9,1.2660869926606508e-6
Ceric.35G020700.v2.1,5.565556950335729,5.102905447085512,573.7011711124311,2.487960586771343e-9,1.2660869926606508e-6
Ceric.16G059000.v2.1,9.256728833270001,5.878701990127291,549.8680285105696,2.5064897300347332e-9,1.2660869926606508e-6
Ceric.33G004700.v2.1,3.193987428212926,4.626362735212824,567.6710313268192,2.592064892183797e-9,1.2660869926606508e-6
Ceric.17G057800.v2.1,5.253230766613578,8.554810935910826,555.2538172412491,2.8515065647535305e-9,1.2660869926606508e-6
Ceric.17G026200.v2.1,5.7900274871874675,5.775075029106179,551.0583977621316,2.956791216264093e-9,1.2660869926606508e-6
Ceric.21G074600.v2.1,3.3725388256360653,7.330729576956084,549.1143233553317,2.9927039969388927e-9,1.2660869926606508e-6
Ceric.15G021200.v2.1,4.429222697516148,6.1952546559703565,547.9469867097256,3.0218994630111837e-9,1.2660869926606508e-6
Ceric.01G072800.v2.1,6.500899522930148,5.149090322633135,544.9665488809618,3.165576223819873e-9,1.2660869926606508e-6
Ceric.10G049000.v2.1,3.8068211176827487,5.979037918147214,541.5694298633186,3.1791570121567466e-9,1.2660869926606508e-6
Ceric.07G052800.v2.1,3.196018613254089,4.5226070252983925,532.7878418663067,3.4149653402025668e-9,1.2660869926606508e-6
Ceric.31G038000.v2.1,6.110884291877022,4.965467402330426,533.5581607970813,3.4448191184301674e-9,1.2660869926606508e-6
Ceric.31G010200.v2.1,2.861686930016811,5.213420595061803,528.0198909221797,3.5491602940466644e-9,1.2660869926606508e-6
Ceric.16G021700.v2.1,2.962732505455735,5.75050208766193,524.3584669458203,3.657772847764365e-9,1.2660869926606508e-6
Ceric.08G064300.v2.1,7.8521476065058,2.451573055264082,218.74008008705692,3.773267071753951e-9,1.2660869926606508e-6
Ceric.33G043100.v2.1,5.424593197510216,3.5530380820537544,527.1842121543854,3.787368625204709e-9,1.2660869926606508e-6
Ceric.01G051400.v2.1,6.923114753192618,2.1722420656205546,294.6894385766851,3.958756174919157e-9,1.2660869926606508e-6
Ceric.13G009300.v2.1,6.842004542105894,6.76938207942551,511.7755045844866,4.077849444018948e-9,1.2660869926606508e-6
Ceric.07G044500.v2.1,2.722493489512442,6.5790592733393005,505.2019474621081,4.298614209413693e-9,1.2660869926606508e-6
Ceric.19G076300.v2.1,7.007414687899968,2.7268506443346268,366.3444198044516,4.328330051934029e-9,1.2660869926606508e-6
Ceric.1Z071300.v2.1,3.8421162762198375,5.5517809574859855,502.1148875322804,4.416585072134457e-9,1.2660869926606508e-6
Ceric.06G070200.v2.1,7.378450843545047,4.451099948639891,503.0171909026986,4.720052222123431e-9,1.2660869926606508e-6
Ceric.09G051800.v2.1,5.190379042878613,10.05550757438234,494.22755420714526,4.728572504171248e-9,1.2660869926606508e-6
Ceric.03G096000.v2.1,4.658277068875794,3.3072671169753267,493.7938784058153,4.856562175229662e-9,1.2660869926606508e-6
Ceric.11G025600.v2.1,10.032068146838409,4.199842884478282,211.3502778130657,4.856704959409198e-9,1.2660869926606508e-6
Ceric.16G042000.v2.1,-5.054902697177994,6.173584728242613,856.1060805935971,4.331787724602346e-10,1.2540969571858814e-6
Ceric.1Z169700.v2.1,-5.2547693360373575,6.198351651658132,737.460264353904,8.313981934716745e-10,1.2540969571858814e-6
Ceric.12G086200.v2.1,-5.168376300372454,4.847833311892598,726.3454503137174,9.074311091450377e-10,1.2540969571858814e-6
Ceric.20G002100.v2.1,-3.7591722328384725,7.403091900625052,711.7585867354383,9.672031704876062e-10,1.2540969571858814e-6
Ceric.07G072100.v2.1,-3.6947442025306723,5.075426870926134,710.5464492894547,9.76518426962754e-10,1.2540969571858814e-6
Ceric.26G010900.v2.1,-5.628361791609536,5.760535556631234,676.8755744259224,1.2166314361929746e-9,1.2540969571858814e-6
Ceric.15G049400.v2.1,-3.3986026112739696,6.490602613365813,651.3303457509704,1.4241499169400777e-9,1.2540969571858814e-6
Ceric.32G032000.v2.1,-3.147967215274133,4.7753370509268604,642.2318116310643,1.5163399826784558e-9,1.2540969571858814e-6
Ceric.32G025300.v2.1,-5.185069936436372,5.7609725482743,627.9529898058312,1.6786584089284204e-9,1.2540969571858814e-6
Ceric.13G059500.v2.1,-4.518019602838684,4.779389009217548,619.0053953150103,1.793068860027008e-9,1.2540969571858814e-6
Ceric.12G084200.v2.1,-3.3227970181912907,7.790334321886395,607.0040365596099,1.9351082840717194e-9,1.2561064315950113e-6
Ceric.26G024600.v2.1,-3.472879127643015,5.82640015987495,597.2114434391375,2.078551046796884e-9,1.2660869926606508e-6
Ceric.06G067600.v2.1,-3.589916604615327,5.630206293200618,594.1708974347457,2.1258801435291536e-9,1.2660869926606508e-6
Ceric.25G061300.v2.1,-3.532781610372967,5.574356374440004,588.6601494155024,2.2138560084389582e-9,1.2660869926606508e-6
Ceric.06G007700.v2.1,-3.2677998861939157,4.298533697969906,562.3798834619298,2.707376807141387e-9,1.2660869926606508e-6
Ceric.15G075000.v2.1,-3.1592218479064598,5.168039709037918,544.9801977155081,3.0959974475230967e-9,1.2660869926606508e-6
Ceric.12G016000.v2.1,-3.204168864796071,4.481758377852127,544.8900529744187,3.103092829190226e-9,1.2660869926606508e-6
Ceric.19G035800.v2.1,-4.201049126737735,6.163510526423892,543.4318694690677,3.13437147783477e-9,1.2660869926606508e-6
Ceric.26G041000.v2.1,-2.583492440857705,5.61126064014499,540.2755720025438,3.212646480439373e-9,1.2660869926606508e-6
Ceric.23G062900.v2.1,-3.3909206837950108,4.781073389684156,537.728954879249,3.2854052932679776e-9,1.2660869926606508e-6
Ceric.20G018900.v2.1,-3.5447000866860585,4.391521300470138,537.9159309125213,3.2871887905801848e-9,1.2660869926606508e-6
Ceric.36G029000.v2.1,-3.543763419154323,6.010548557912472,533.6831952399305,3.389692544559758e-9,1.2660869926606508e-6
Ceric.11G033400.v2.1,-2.600169974131663,5.351159545677881,529.6118442058914,3.5039656672309825e-9,1.2660869926606508e-6
Ceric.28G057200.v2.1,-3.7793030201350786,4.833109914812353,526.6183523468069,3.600904409244279e-9,1.2660869926606508e-6
Ceric.39G028800.v2.1,-2.925422428436109,4.809345000110448,521.6855603797034,3.743885285163841e-9,1.2660869926606508e-6
Ceric.26G037600.v2.1,-3.4758694046234435,4.493201838300148,521.4434263927518,3.759718224748756e-9,1.2660869926606508e-6
Ceric.01G012500.v2.1,-2.6898664552134575,5.641374337916904,515.7690241679984,3.930749129546889e-9,1.2660869926606508e-6
Ceric.10G034500.v2.1,-3.7293079942188245,4.382043913523517,515.4094767161296,3.962073379647327e-9,1.2660869926606508e-6
Ceric.04G010000.v2.1,-3.00650891261349,4.557657667269714,513.8652124514493,4.000278977833425e-9,1.2660869926606508e-6
Ceric.38G066000.v2.1,-2.5823783025828138,6.205621505966543,509.0761752597571,4.159224776595927e-9,1.2660869926606508e-6
Ceric.06G020600.v2.1,-3.3011951726810116,6.0452253231494515,508.25261565409613,4.1898952215346574e-9,1.2660869926606508e-6
Ceric.25G065000.v2.1,-2.6918820881819094,5.005010515055651,505.1785006541336,4.303047460327684e-9,1.2660869926606508e-6
Ceric.24G031200.v2.1,-2.7114540377696215,4.509296868557275,498.1098338470664,4.5773587953383645e-9,1.2660869926606508e-6
Ceric.30G063600.v2.1,-2.8514099602445437,6.300973113533694,494.61717516750036,4.713489252970795e-9,1.2660869926606508e-6
Ceric.07G084000.v2.1,-3.0451285610102197,4.432575890859248,494.6814129664559,4.7206639472619504e-9,1.2660869926606508e-6
Ceric.05G036300.v2.1,-4.791986199881582,5.145936601365247,489.42713109560185,4.968658740585788e-9,1.2660869926606508e-6
Ceric.20G030400.v2.1,-3.8434547283231955,6.441331372102271,484.7086648975106,5.147804541352754e-9,1.2660869926606508e-6
Ceric.07G081100.v2.1,-2.798793591969663,7.103011585219154,478.52715886955406,5.440283765321003e-9,1.2660869926606508e-6
Ceric.05G098700.v2.1,-4.6993180322374055,5.820260901892926,472.3832912882678,5.768650824959294e-9,1.2660869926606508e-6
Ceric.12G020500.v2.1,-3.1692418259095203,6.198250827015403,469.1258566787376,5.9306072594890644e-9,1.2660869926606508e-6
Ceric.14G073800.v2.1,-2.894844725874168,4.383608106881558,463.314186766046,6.2705456613631996e-9,1.2660869926606508e-6
Ceric.04G031700.v2.1,-6.132635288151317,3.2562261810740574,384.21770388966723,6.416909268146495e-9,1.2660869926606508e-6
Ceric.15G066200.v2.1,-3.814583778084273,5.497864816589468,460.44627848316026,6.437600472418976e-9,1.2660869926606508e-6
Ceric.27G009900.v2.1,-2.741142854855199,4.731415085739936,456.13254066880353,6.703606448464787e-9,1.2660869926606508e-6
Ceric.38G011800.v2.1,-3.2740063169728773,6.910903421690878,455.94328146238905,6.709639712096945e-9,1.2660869926606508e-6
Ceric.37G058300.v2.1,-2.7299163894039524,5.373899197148472,455.04435108678354,6.770119417615703e-9,1.2660869926606508e-6
Ceric.1Z114200.v2.1,-3.4129268166908417,4.846704897536831,453.0907759331521,6.90715992197779e-9,1.2660869926606508e-6
Ceric.02G004600.v2.1,-3.1961251581356867,5.233002746099163,451.0122655460102,7.0389792306757905e-9,1.2660869926606508e-6
Ceric.28G056600.v2.1,-2.988989832992678,4.207769421749408,450.3996882617857,7.093270307208934e-9,1.2660869926606508e-6
Ceric.24G067200.v2.1,-3.011184037271341,6.363648669811834,450.119775244679,7.094558420458569e-9,1.2660869926606508e-6
