geneID,logFC,logCPM,F,PValue,FDR
Ceric.36G029000.v2.1,-3.5437634191541796,6.010548557912472,533.6831952403315,3.389692544162013e-9,1.2660869924898856e-6
Ceric.26G024600.v2.1,-3.4728791276427895,5.82640015987495,597.2114434380478,2.0785510465683068e-9,1.2660869924898856e-6
Ceric.06G020600.v2.1,-3.3011951726811217,6.0452253231494515,508.25261565256335,4.18989522111853e-9,1.2660869924898856e-6
Ceric.19G035800.v2.1,-4.201049126737995,6.163510526423892,543.4318694697168,3.134371477459055e-9,1.2660869924898856e-6
Ceric.26G041000.v2.1,-2.5834924408577664,5.61126064014499,540.2755719977985,3.2126464801941956e-9,1.2660869924898856e-6
Ceric.01G012500.v2.1,-2.689866455213378,5.641374337916904,515.7690241641221,3.930749129231354e-9,1.2660869924898856e-6
Ceric.11G033400.v2.1,-2.600169974131745,5.351159545677881,529.61184420148,3.503965666958991e-9,1.2660869924898856e-6
Ceric.37G058300.v2.1,-2.7299163894037912,5.373899197148472,455.0443510847594,6.770119417010688e-9,1.2660869924898856e-6
Ceric.06G067600.v2.1,-3.589916604615409,5.630206293200618,594.1708974350879,2.125880143273546e-9,1.2660869924898856e-6
Ceric.25G061300.v2.1,-3.5327816103728003,5.574356374440004,588.660149415674,2.213856008176214e-9,1.2660869924898856e-6
Ceric.15G066200.v2.1,-3.8145837780838194,5.497864816589468,460.44627848580143,6.4376004715570815e-9,1.2660869924898856e-6
Ceric.02G004600.v2.1,-3.19612515813562,5.233002746099163,451.0122655469022,7.038979229852921e-9,1.2660869924898856e-6
Ceric.15G075000.v2.1,-3.1592218479063674,5.168039709037918,544.9801977140662,3.0959974472033595e-9,1.2660869924898856e-6
Ceric.25G065000.v2.1,-2.6918820881818837,5.005010515055651,505.17850065059343,4.303047459975825e-9,1.2660869924898856e-6
Ceric.30G063600.v2.1,-2.8514099602444234,6.300973113533694,494.61717516501164,4.713489252548255e-9,1.2660869924898856e-6
Ceric.24G067200.v2.1,-3.0111840372712795,6.363648669811834,450.1197752438384,7.094558419747795e-9,1.2660869924898856e-6
Ceric.38G066000.v2.1,-2.5823783025828417,6.205621505966543,509.0761752556935,4.159224776272323e-9,1.2660869924898856e-6
Ceric.15G049400.v2.1,-3.39860261127388,6.490602613365813,651.3303457471412,1.4241499168043984e-9,1.254096956967917e-6
Ceric.12G020500.v2.1,-3.1692418259095128,6.198250827015403,469.1258566769073,5.930607258938901e-9,1.2660869924898856e-6
Ceric.20G030400.v2.1,-3.843454728322852,6.441331372102271,484.70866489896963,5.147804540715187e-9,1.2660869924898856e-6
Ceric.20G002100.v2.1,-3.759172232838383,7.403091900625052,711.7585867306884,9.67203170395883e-10,1.254096956967917e-6
Ceric.38G011800.v2.1,-3.2740063169728284,6.910903421690878,455.9432814615265,6.709639711422577e-9,1.2660869924898856e-6
Ceric.07G081100.v2.1,-2.7987935919696705,7.103011585219154,478.5271588657578,5.4402837649078946e-9,1.2660869924898856e-6
Ceric.12G084200.v2.1,-3.3227970181912805,7.790334321886395,607.0040365537453,1.9351082839238426e-9,1.2561064314990223e-6
Ceric.1Z114200.v2.1,-3.4129268166906908,4.846704897536831,453.09077593141507,6.9071599213433095e-9,1.2660869924898856e-6
Ceric.23G062900.v2.1,-3.390920683795093,4.781073389684156,537.7289548756847,3.2854052929870878e-9,1.2660869924898856e-6
Ceric.32G032000.v2.1,-3.1479672152741536,4.7753370509268604,642.2318116243803,1.5163399825646622e-9,1.254096956967917e-6
Ceric.14G073800.v2.1,-2.8948447258740706,4.383608106881558,463.3141867616325,6.270545660937228e-9,1.2660869924898856e-6
Ceric.07G084000.v2.1,-3.045128561010107,4.432575890859248,494.68141296185695,4.720663946926274e-9,1.2660869924898856e-6
Ceric.04G010000.v2.1,-3.0065089126133744,4.557657667269714,513.865212447186,4.000278977526513e-9,1.2660869924898856e-6
Ceric.39G028800.v2.1,-2.925422428436035,4.809345000110448,521.6855603756743,3.7438852848653445e-9,1.2660869924898856e-6
Ceric.27G009900.v2.1,-2.741142854855027,4.731415085739936,456.1325406659293,6.703606447919136e-9,1.2660869924898856e-6
Ceric.24G031200.v2.1,-2.7114540377696215,4.509296868557275,498.1098338415437,4.577358795047351e-9,1.2660869924898856e-6
Ceric.07G072100.v2.1,-3.6947442025304236,5.075426870926134,710.5464492869817,9.76518426856637e-10,1.254096956967917e-6
Ceric.28G057200.v2.1,-3.779303020134902,4.833109914812353,526.6183523463279,3.6009044088495442e-9,1.2660869924898856e-6
Ceric.12G016000.v2.1,-3.204168864796056,4.481758377852127,544.8900529700231,3.1030928289429764e-9,1.2660869924898856e-6
Ceric.26G037600.v2.1,-3.4758694046234977,4.493201838300148,521.443426391696,3.759718224356117e-9,1.2660869924898856e-6
Ceric.28G056600.v2.1,-2.988989832992865,4.207769421749408,450.39968825798405,7.09327030670042e-9,1.2660869924898856e-6
Ceric.06G007700.v2.1,-3.267799886194013,4.298533697969906,562.3798834568282,2.7073768069346067e-9,1.2660869924898856e-6
Ceric.20G018900.v2.1,-3.5447000866858995,4.391521300470138,537.9159309096668,3.2871887902803024e-9,1.2660869924898856e-6
Ceric.10G034500.v2.1,-3.7293079942186194,4.382043913523517,515.4094767146476,3.962073379249857e-9,1.2660869924898856e-6
