.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
BA12-S5_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA12-S5_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BA12-S5_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA12-S5_R1_001_trimmed_2U	1	1	0.25	1	0.5	1	1	0.5	1	0.5	1
BA12-WYS_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA12-WYS_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BA12-WYS_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA12-WYS_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BA12-gam_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA12-gam_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BA12-gam_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA12-gam_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.25	1
BA14-S5_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA14-S5_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA14-S5_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
BA14-S5_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BA14-WYS_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA14-WYS_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BA14-WYS_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA14-WYS_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BA14-gam_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA14-gam_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA14-gam_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
BA14-gam_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BA19-S5_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA19-S5_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BA19-S5_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
BA19-S5_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BA19-WYS_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA19-WYS_R1_001_trimmed_1U	1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
BA19-WYS_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BA19-WYS_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BA19-gam_R1_001_trimmed_1P	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1
BA19-gam_R1_001_trimmed_1U	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	1
BA19-gam_R1_001_trimmed_2P	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
BA19-gam_R1_001_trimmed_2U	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
BD5-S5_R1_001_trimmed_1P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
BD5-S5_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BD5-S5_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BD5-S5_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BD5-WYS_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BD5-WYS_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BD5-WYS_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
BD5-WYS_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BD5-gam_R1_001_trimmed_1P	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
BD5-gam_R1_001_trimmed_1U	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
BD5-gam_R1_001_trimmed_2P	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
BD5-gam_R1_001_trimmed_2U	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	0.25
BF16-S5_R1_001_trimmed_1P	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	1
BF16-S5_R1_001_trimmed_1U	1	1	0.5	1	0.25	1	1	0.5	0.25	0.5	1
BF16-S5_R1_001_trimmed_2P	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
BF16-S5_R1_001_trimmed_2U	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	0.25
BF16-WYS_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF16-WYS_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BF16-WYS_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF16-WYS_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BF16-gam_R1_001_trimmed_1P	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
BF16-gam_R1_001_trimmed_1U	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
BF16-gam_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
BF16-gam_R1_001_trimmed_2U	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
BF5-S5_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF5-S5_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BF5-S5_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF5-S5_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
BF5-WYS_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF5-WYS_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
BF5-WYS_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF5-WYS_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.25	1
BF5-gam_R1_001_trimmed_1P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
BF5-gam_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF5-gam_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
BF5-gam_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-S5-1_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-S5-1_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-S5-1_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-S5-1_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-S5-2_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-S5-2_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-S5-2_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
Cross-S5-2_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-S5-3_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-S5-3_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-S5-3_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
Cross-S5-3_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-WYS-1_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-WYS-1_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-WYS-1_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-WYS-1_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-WYS-2_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-WYS-2_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-WYS-2_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-WYS-2_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-WYS-3_R1_001_trimmed_1P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
Cross-WYS-3_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-WYS-3_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
Cross-WYS-3_R1_001_trimmed_2U	1	1	0.5	1	0.5	0.5	1	0.5	1	0.5	1
Cross-gam-1_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-gam-1_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-gam-1_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-gam-1_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-gam-2_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-gam-2_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-gam-2_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
Cross-gam-2_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
Cross-gam-3_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-gam-3_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
Cross-gam-3_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
Cross-gam-3_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RESUB-WT-WYS-4_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RESUB-WT-WYS-4_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
RESUB-WT-WYS-4_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RESUB-WT-WYS-4_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RNAi-S5-1_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-S5-1_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-S5-1_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-S5-1_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RNAi-S5-2_R1_001_trimmed_1P	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNAi-S5-2_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	0.5	1
RNAi-S5-2_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
RNAi-S5-2_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RNAi-S5-3_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-S5-3_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-S5-3_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
RNAi-S5-3_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RNAi-WYS-1_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-WYS-1_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
RNAi-WYS-1_R1_001_trimmed_2P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
RNAi-WYS-1_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RNAi-WYS-2_R1_001_trimmed_1P	1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
RNAi-WYS-2_R1_001_trimmed_1U	1	1	1	1	0.5	1	1	0.5	0.5	1	1
RNAi-WYS-2_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	0.5	1
RNAi-WYS-2_R1_001_trimmed_2U	1	1	0.5	1	0.5	1	1	0.5	1	0.5	1
RNAi-WYS-3_R1_001_trimmed_1P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
RNAi-WYS-3_R1_001_trimmed_1U	1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
RNAi-WYS-3_R1_001_trimmed_2P	1	1	1	1	0.5	1	1	0.5	0.25	1	1
