Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BA12-S5_R1_001_trimmed_1P	(1.0, 21.42529348681612)	(2.0, 13.584447072332766)	(3.0, 8.799403707751345)	(4.0, 5.6742689334285545)	(5.0, 4.049229377927308)	(6.0, 2.9136310199412465)	(7.0, 2.112176014693196)	(8.0, 1.7273090613245117)	(9.0, 1.4211011490216112)	('>10', 17.12654258060613)	('>50', 6.109894452838724)	('>100', 11.105558618107025)	('>500', 2.550373139324882)	('>1k', 1.400771385886595)	('>5k', 0.0)	('>10k+', 0.0)
BA12-S5_R1_001_trimmed_1U	(1.0, 35.78380344040003)	(2.0, 17.205741756688138)	(3.0, 9.436319902436546)	(4.0, 5.66034920400415)	(5.0, 3.68988682793441)	(6.0, 2.4977176762423543)	(7.0, 1.9441149820891857)	(8.0, 1.5641736266041137)	(9.0, 1.2644747182641949)	('>10', 14.586863130184991)	('>50', 3.372041973321844)	('>100', 2.838344144642501)	('>500', 0.15616861718753855)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BA12-S5_R1_001_trimmed_2P	(1.0, 21.10051612619994)	(2.0, 12.920018199426503)	(3.0, 8.379977918910827)	(4.0, 5.540500633926084)	(5.0, 3.710876144295811)	(6.0, 2.7425774362458304)	(7.0, 2.049893428865017)	(8.0, 1.650522572300415)	(9.0, 1.3190693734588363)	('>10', 16.773353226086588)	('>50', 6.383483551606743)	('>100', 12.119670131037454)	('>500', 3.0256238526684376)	('>1k', 2.141509430318873)	('>5k', 0.14240797465258276)	('>10k+', 0.0)
BA12-S5_R1_001_trimmed_2U	(1.0, 73.63045871344363)	(2.0, 12.163327781759945)	(3.0, 4.705619995253179)	(4.0, 2.475331400423782)	(5.0, 1.4764005895926515)	(6.0, 1.0717184941513669)	(7.0, 0.5662942757464577)	(8.0, 0.6007788974099313)	(9.0, 0.2790431038070233)	('>10', 1.929873327971725)	('>50', 0.21207399208480493)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.8890794283555283)	('>5k', 0.0)	('>10k+', 0.0)
BA12-WYS_R1_001_trimmed_1P	(1.0, 25.699194598012117)	(2.0, 16.639228318754135)	(3.0, 10.97636733273336)	(4.0, 7.143861618466096)	(5.0, 4.799408556834698)	(6.0, 3.2443955192047804)	(7.0, 2.460920543683557)	(8.0, 1.926786880877041)	(9.0, 1.6367880156350072)	('>10', 13.484616023961992)	('>50', 3.1357907741516975)	('>100', 5.5946903139770825)	('>500', 1.8555055055587601)	('>1k', 1.3117225118361484)	('>5k', 0.09072348631329936)	('>10k+', 0.0)
BA12-WYS_R1_001_trimmed_1U	(1.0, 44.079066885611546)	(2.0, 20.189976009119988)	(3.0, 10.362103002244224)	(4.0, 5.540442036602597)	(5.0, 3.164331921853293)	(6.0, 2.015633265121276)	(7.0, 1.403568175601343)	(8.0, 1.0408465469346841)	(9.0, 0.7902557010717156)	('>10', 7.209132263958552)	('>50', 1.9867606177024746)	('>100', 2.000989847383365)	('>500', 0.16490985196767463)	('>1k', 0.0519838748272408)	('>5k', 0.0)	('>10k+', 0.0)
BA12-WYS_R1_001_trimmed_2P	(1.0, 25.30201834271792)	(2.0, 15.873381362990141)	(3.0, 10.650402827903909)	(4.0, 6.850778999710553)	(5.0, 4.7462722356099825)	(6.0, 3.293218358452525)	(7.0, 2.467021842202473)	(8.0, 1.8817790703400803)	(9.0, 1.6360063111384566)	('>10', 14.164367951371618)	('>50', 3.1205619151729778)	('>100', 6.146156952681308)	('>500', 1.9360383254268712)	('>1k', 1.7678499768220013)	('>5k', 0.07171480755482755)	('>10k+', 0.09243071990442228)
BA12-WYS_R1_001_trimmed_2U	(1.0, 87.78345755785456)	(2.0, 5.940232496779427)	(3.0, 1.9369148227412873)	(4.0, 1.0179924950628947)	(5.0, 0.6889916590829455)	(6.0, 0.4573755819922647)	(7.0, 0.29650729492783645)	(8.0, 0.205258862546488)	(9.0, 0.1316188641638784)	('>10', 0.9769514268125665)	('>50', 0.059705860276590285)	('>100', 0.05013469183530482)	('>500', 0.45485838592394734)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BA12-gam_R1_001_trimmed_1P	(1.0, 24.510830359276316)	(2.0, 15.511781520963597)	(3.0, 9.801281282195008)	(4.0, 6.1373931941368)	(5.0, 4.079905668115886)	(6.0, 2.752822709972879)	(7.0, 1.9787658702451165)	(8.0, 1.4438284395994858)	(9.0, 1.1757346355750695)	('>10', 12.06784766503132)	('>50', 3.561160194277598)	('>100', 9.293973458664851)	('>500', 4.040291091874783)	('>1k', 3.3864379310999766)	('>5k', 0.1899930485144493)	('>10k+', 0.06795293045689305)
BA12-gam_R1_001_trimmed_1U	(1.0, 39.1779063816341)	(2.0, 18.055708502009484)	(3.0, 9.619037048270664)	(4.0, 5.218960320906817)	(5.0, 3.0111958882867365)	(6.0, 1.9377004399433955)	(7.0, 1.4481201533490866)	(8.0, 1.0278344694554808)	(9.0, 0.8206194249500313)	('>10', 9.602635749488297)	('>50', 3.8230408952621238)	('>100', 5.6013572997474)	('>500', 0.44932186330311763)	('>1k', 0.20656156339331705)	('>5k', 0.0)	('>10k+', 0.0)
