Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BA12-S5_R1_001_trimmed_1P	BA12-S5_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18625975.0	2.7 Gbp	0.0	50-150	47.0	35.59893830056388	149.3356892726421	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA12-S5_R1_001_trimmed_1U	BA12-S5_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3345052.0	402.9 Mbp	0.0	50-150	46.0	51.58084144691632	120.53085721836312	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BA12-S5_R1_001_trimmed_2P	BA12-S5_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18625975.0	2.7 Gbp	0.0	50-150	47.0	34.62911372372372	147.78959630301233	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA12-S5_R1_001_trimmed_2U	BA12-S5_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	186179.0	23.1 Mbp	0.0	50-150	46.0	82.69742907918345	124.2672965264611	147	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
BA12-WYS_R1_001_trimmed_1P	BA12-WYS_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24034133.0	3.5 Gbp	0.0	50-150	45.0	42.592210237125386	149.3501405064206	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA12-WYS_R1_001_trimmed_1U	BA12-WYS_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3753357.0	454.7 Mbp	0.0	50-150	45.0	60.8453201095465	121.2335987490665	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BA12-WYS_R1_001_trimmed_2P	BA12-WYS_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24034133.0	3.5 Gbp	0.0	50-150	45.0	41.662527211736666	147.62995059984064	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA12-WYS_R1_001_trimmed_2U	BA12-WYS_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	221789.0	27.5 Mbp	0.0	50-150	45.0	92.01694285219963	124.22020704363156	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BA12-gam_R1_001_trimmed_1P	BA12-gam_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20458436.0	3 Gbp	0.0	50-150	46.0	39.71231500079993	149.3067914135763	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA12-gam_R1_001_trimmed_1U	BA12-gam_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3577463.0	431.7 Mbp	0.0	50-150	45.0	54.670391239776194	120.76562441037126	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BA12-gam_R1_001_trimmed_2P	BA12-gam_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20458436.0	3 Gbp	0.0	50-150	46.0	39.53708891272003	147.36837962589124	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA12-gam_R1_001_trimmed_2U	BA12-gam_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	191069.0	23.3 Mbp	0.0	50-150	45.0	81.66033300810822	122.59296379841837	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	fail	pass
BA14-S5_R1_001_trimmed_1P	BA14-S5_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24054597.0	3.5 Gbp	0.0	50-150	48.0	21.199920398053308	149.3740902206759	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA14-S5_R1_001_trimmed_1U	BA14-S5_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4045476.0	490.2 Mbp	0.0	50-150	47.0	34.415098471603365	121.25272909788613	127	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA14-S5_R1_001_trimmed_2P	BA14-S5_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24054597.0	3.5 Gbp	0.0	50-150	48.0	21.097651648178257	147.79806150982284	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
BA14-S5_R1_001_trimmed_2U	BA14-S5_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	231302.0	28.7 Mbp	0.0	50-150	47.0	81.00768132192024	124.55284433338232	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BA14-WYS_R1_001_trimmed_1P	BA14-WYS_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19827429.0	2.9 Gbp	0.0	50-150	45.0	48.92492391217659	149.25968346677726	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA14-WYS_R1_001_trimmed_1U	BA14-WYS_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2875710.0	349.5 Mbp	0.0	50-150	45.0	67.6441244394497	121.6103030208192	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BA14-WYS_R1_001_trimmed_2P	BA14-WYS_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19827429.0	2.9 Gbp	0.0	50-150	45.0	48.56769446129569	147.5374689527321	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA14-WYS_R1_001_trimmed_2U	BA14-WYS_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	194648.0	24.1 Mbp	0.0	50-150	45.0	91.40682857015786	124.25309533105914	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BA14-gam_R1_001_trimmed_1P	BA14-gam_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22061008.0	3.2 Gbp	0.0	50-150	47.0	29.277205019521276	149.27383846195968	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA14-gam_R1_001_trimmed_1U	BA14-gam_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4157966.0	494.6 Mbp	0.0	50-150	46.0	41.22244771737613	119.01958770225635	122	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA14-gam_R1_001_trimmed_2P	BA14-gam_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22061008.0	3.2 Gbp	0.0	50-150	47.0	28.904806074197054	147.93176816761954	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
BA14-gam_R1_001_trimmed_2U	BA14-gam_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	227008.0	28.1 Mbp	0.0	50-150	47.0	78.31283020277411	124.27907386523823	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BA19-S5_R1_001_trimmed_1P	BA19-S5_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25121057.0	3.7 Gbp	0.0	50-150	45.0	42.482368681565816	149.26864387115558	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA19-S5_R1_001_trimmed_1U	BA19-S5_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3038332.0	368.8 Mbp	0.0	50-150	45.0	63.4811491750187	121.47924140613995	127	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BA19-S5_R1_001_trimmed_2P	BA19-S5_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25121057.0	3.7 Gbp	0.0	50-150	46.0	41.64434656795547	147.7116622123026	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BA19-S5_R1_001_trimmed_2U	BA19-S5_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	252406.0	31.5 Mbp	0.0	50-150	45.0	91.66193866238054	125.21758595279034	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BA19-WYS_R1_001_trimmed_1P	BA19-WYS_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18944643.0	2.8 Gbp	0.0	50-150	46.0	40.84351969650393	149.29218204322984	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA19-WYS_R1_001_trimmed_1U	BA19-WYS_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3734235.0	444.9 Mbp	0.0	50-150	45.0	56.281244161915	119.20615681659028	122	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
BA19-WYS_R1_001_trimmed_2P	BA19-WYS_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18944643.0	2.7 Gbp	0.0	50-150	46.0	40.403648344168026	147.80598713314365	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BA19-WYS_R1_001_trimmed_2U	BA19-WYS_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	191501.0	23.7 Mbp	0.0	50-150	46.0	82.96999253237752	123.95967645077572	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BA19-gam_R1_001_trimmed_1P	BA19-gam_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22565953.0	3.3 Gbp	0.0	50-150	50.0	20.081863972414528	149.25418594109453	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
BA19-gam_R1_001_trimmed_1U	BA19-gam_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4506184.0	558.6 Mbp	0.0	50-150	49.0	30.166769114915677	124.06708259138996	127	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
BA19-gam_R1_001_trimmed_2P	BA19-gam_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22565953.0	3.3 Gbp	0.0	50-150	50.0	19.37129778263834	149.0897499653571	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BA19-gam_R1_001_trimmed_2U	BA19-gam_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	376281.0	50.7 Mbp	0.0	50-150	69.0	37.08294804265525	135.24014366922592	150	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
BD5-S5_R1_001_trimmed_1P	BD5-S5_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16176495.0	2.4 Gbp	0.0	50-150	46.0	41.86053786263539	149.2584042154991	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BD5-S5_R1_001_trimmed_1U	BD5-S5_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2786866.0	329.8 Mbp	0.0	50-150	46.0	59.30520621062474	118.40793332008069	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BD5-S5_R1_001_trimmed_2P	BD5-S5_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16176495.0	2.3 Gbp	0.0	50-150	46.0	41.10458724433403	148.36380062553724	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BD5-S5_R1_001_trimmed_2U	BD5-S5_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	176520.0	22.3 Mbp	0.0	50-150	46.0	87.27078082177476	126.55289485610696	150	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BD5-WYS_R1_001_trimmed_1P	BD5-WYS_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19148989.0	2.8 Gbp	0.0	50-150	46.0	38.500281110378594	149.31764199143882	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BD5-WYS_R1_001_trimmed_1U	BD5-WYS_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3645961.0	436.7 Mbp	0.0	50-150	46.0	54.804758125844344	119.84276971146976	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BD5-WYS_R1_001_trimmed_2P	BD5-WYS_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19148989.0	2.8 Gbp	0.0	50-150	46.0	37.90624685108839	148.04119345412963	150	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BD5-WYS_R1_001_trimmed_2U	BD5-WYS_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	192453.0	23.8 Mbp	0.0	50-150	46.0	82.99145752284129	124.1355733607686	147	pass	pass	warn	pass	warn	pass	pass	warn	pass	warn	pass
BD5-gam_R1_001_trimmed_1P	BD5-gam_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24517145.0	3.6 Gbp	0.0	50-150	49.0	22.201568188889354	148.6249670791603	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
BD5-gam_R1_001_trimmed_1U	BD5-gam_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4223838.0	517.3 Mbp	0.0	50-150	49.0	33.64050154803975	122.57991014333409	127	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
BD5-gam_R1_001_trimmed_2P	BD5-gam_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24517145.0	3.6 Gbp	0.0	50-150	49.0	21.420702482024044	148.94247906923908	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
BD5-gam_R1_001_trimmed_2U	BD5-gam_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	289709.0	39.1 Mbp	0.0	50-150	55.0	56.979797204250296	135.34513770714753	150	pass	pass	warn	pass	fail	fail	pass	warn	warn	fail	fail
BF16-S5_R1_001_trimmed_1P	BF16-S5_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26991905.0	4 Gbp	0.0	50-150	48.0	26.549409362140448	149.32822320247496	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
BF16-S5_R1_001_trimmed_1U	BF16-S5_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4424491.0	550.2 Mbp	0.0	50-150	48.0	41.1600070045418	124.4519489360471	127	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
BF16-S5_R1_001_trimmed_2P	BF16-S5_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26991905.0	4 Gbp	0.0	50-150	48.0	25.421554413427888	149.13220663750855	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
BF16-S5_R1_001_trimmed_2U	BF16-S5_R1_001_trimmed_2U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	355520.0	48.1 Mbp	0.0	50-150	60.0	56.47657478092576	135.64613101935194	150	pass	pass	warn	pass	fail	fail	pass	warn	warn	fail	fail
BF16-WYS_R1_001_trimmed_1P	BF16-WYS_R1_001_trimmed_1P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20369743.0	3 Gbp	0.0	50-150	45.0	43.76803322581565	149.28308742039601	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BF16-WYS_R1_001_trimmed_1U	BF16-WYS_R1_001_trimmed_1U.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3519429.0	421.2 Mbp	0.0	50-150	45.0	60.73552717135306	119.7466080435207	122	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
BF16-WYS_R1_001_trimmed_2P	BF16-WYS_R1_001_trimmed_2P.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20369743.0	3 Gbp	0.0	50-150	45.0	43.376068704863044	148.11367485097873	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
