Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA12-S5_R1_001	(1, 36.28213506142351)	(2, 36.216713104106084)	(3, 36.370150408206854)	(4, 36.43602802894661)	(5, 36.4586143663192)	(6, 36.45408156638597)	(7, 36.419351702846214)	(8, 36.445756525585374)	(9, 36.459394649201876)	(10, 36.46667265945821)	(15, 36.4499566809546)	(20, 36.42910387309446)	(25, 36.38405958215454)	(30, 36.356815747770725)	(35, 36.340839373176024)	(40, 36.32089741904542)	(45, 36.3039864367714)	(50, 36.287138976897474)	(55, 36.2562366771786)	(60, 36.23951985956515)	(65, 36.21132759896977)	(70, 36.185124930288055)	(75, 36.164356203019054)	(80, 36.15862973363395)	(85, 36.14065931270209)	(90, 36.10258964025174)	(95, 36.08116740709927)	(100, 36.05380331220755)	(105, 35.99255773845616)	(110, 35.982604146139906)	(115, 35.893358414385915)	(120, 35.89260300129058)	(125, 35.82438980758274)	(130, 35.713543844270134)	(135, 35.65593815046355)	(140, 35.51706398145568)	(145, 35.400816793087344)	(150, 35.27854152890722)
BA12-S5_R2_001	(1, 35.796804866122926)	(2, 36.04718479765067)	(3, 36.14979119331908)	(4, 36.1352895899721)	(5, 36.12608129679962)	(6, 36.078702789750096)	(7, 36.03490067595207)	(8, 36.04323455418608)	(9, 36.05543271175974)	(10, 36.08370638386285)	(15, 36.042942677862825)	(20, 36.014344680880505)	(25, 35.971319680986504)	(30, 35.935212347233474)	(35, 35.90079118684722)	(40, 35.86375394085927)	(45, 35.81868128086546)	(50, 35.792022573839986)	(55, 35.72878398924869)	(60, 35.66807345513965)	(65, 35.65002259571041)	(70, 35.601835088583)	(75, 35.55367697708002)	(80, 35.51468714035161)	(85, 35.44462215620432)	(90, 35.40542748740833)	(95, 35.34238905729357)	(100, 35.27335106324813)	(105, 35.20818026757338)	(110, 35.17747590850935)	(115, 35.06834434479023)	(120, 34.96293213542965)	(125, 34.87025903276076)	(130, 34.772735893079556)	(135, 34.722514624724866)	(140, 34.630189502691294)	(145, 34.39847149001581)	(150, 34.25927802186104)
BA12-WYS_R1_001	(1, 36.29459515292539)	(2, 36.2274603977379)	(3, 36.38224319362954)	(4, 36.44809707436076)	(5, 36.46930007509903)	(6, 36.46822751456996)	(7, 36.431212020254264)	(8, 36.457659231349524)	(9, 36.47075859062606)	(10, 36.47667020417521)	(15, 36.45818062043698)	(20, 36.435974073096666)	(25, 36.39229056128359)	(30, 36.36586886378552)	(35, 36.347401224567854)	(40, 36.32828479082879)	(45, 36.308551868012295)	(50, 36.28978894954513)	(55, 36.25853109669314)	(60, 36.24058184288458)	(65, 36.21399263907985)	(70, 36.187573627223586)	(75, 36.163402822666086)	(80, 36.15668733998345)	(85, 36.13779360249024)	(90, 36.098613926127044)	(95, 36.071088592397174)	(100, 36.040883044681024)	(105, 35.97835241246256)	(110, 35.972019011799716)	(115, 35.88769870745713)	(120, 35.90153755820599)	(125, 35.84758591191463)	(130, 35.75613591411261)	(135, 35.73185774749002)	(140, 35.63037932994368)	(145, 35.56448156017131)	(150, 35.466248973978814)
BA12-WYS_R2_001	(1, 35.700488850416676)	(2, 35.93662429524872)	(3, 36.03949384698259)	(4, 36.04046170281847)	(5, 36.0447211307287)	(6, 35.99597796869079)	(7, 35.942822862557755)	(8, 35.964247004696624)	(9, 35.98076507998477)	(10, 36.0210661884905)	(15, 35.98827968245537)	(20, 35.96868162126259)	(25, 35.926361701673535)	(30, 35.891928826534254)	(35, 35.85561783260508)	(40, 35.8163682376776)	(45, 35.770175601396474)	(50, 35.738315175332126)	(55, 35.6773263842116)	(60, 35.60794603669236)	(65, 35.596560032080696)	(70, 35.54141128922256)	(75, 35.49705319365923)	(80, 35.454254523080195)	(85, 35.38589968081854)	(90, 35.34540338269307)	(95, 35.27628092039489)	(100, 35.20469035327356)	(105, 35.137961334956216)	(110, 35.11262026198012)	(115, 35.00111288049361)	(120, 34.8971612129998)	(125, 34.80251926629962)	(130, 34.70931802508079)	(135, 34.661568783739256)	(140, 34.576821893465116)	(145, 34.34253734349599)	(150, 34.2023223310127)
BA12-gam_R1_001	(1, 36.28640695574766)	(2, 36.21271497099595)	(3, 36.37248434114258)	(4, 36.438652432880524)	(5, 36.4595674839158)	(6, 36.45529390288724)	(7, 36.4194658525797)	(8, 36.44436686881142)	(9, 36.45987428502198)	(10, 36.46549083523539)	(15, 36.44656863617519)	(20, 36.42368821300847)	(25, 36.377972488806826)	(30, 36.35095121405231)	(35, 36.33166469888344)	(40, 36.310788883774634)	(45, 36.29233716478224)	(50, 36.271167774160425)	(55, 36.23757883310755)	(60, 36.21997373984997)	(65, 36.192219987659385)	(70, 36.164092204263895)	(75, 36.139674934512904)	(80, 36.13099982708762)	(85, 36.11266121957277)	(90, 36.071370060424634)	(95, 36.042193528309056)	(100, 36.00688435394365)	(105, 35.939273480612016)	(110, 35.92590469180368)	(115, 35.82944486470626)	(120, 35.826231151692824)	(125, 35.74782038142284)	(130, 35.628604770128575)	(135, 35.565901440920214)	(140, 35.416015956596546)	(145, 35.29186818688057)	(150, 35.152911859258786)
BA12-gam_R2_001	(1, 35.7340451587063)	(2, 35.9057671178771)	(3, 36.009672276331955)	(4, 36.031658477956285)	(5, 36.01708281294978)	(6, 35.96704084210128)	(7, 35.91376684650752)	(8, 35.9278057320374)	(9, 35.94256218763721)	(10, 35.9824401268416)	(15, 35.94127016964191)	(20, 35.91696241106809)	(25, 35.86897981203003)	(30, 35.8315014199552)	(35, 35.79340643766362)	(40, 35.750428035710414)	(45, 35.703180208177365)	(50, 35.66760200728583)	(55, 35.60170211751544)	(60, 35.53190819674915)	(65, 35.51631950845204)	(70, 35.459678138045476)	(75, 35.410078326534666)	(80, 35.3652106975782)	(85, 35.29213612760183)	(90, 35.25096434984208)	(95, 35.17547864809619)	(100, 35.098975702299406)	(105, 35.032137350561)	(110, 35.005807839641804)	(115, 34.89004063849245)	(120, 34.78292307325558)	(125, 34.68330712978666)	(130, 34.58592954448934)	(135, 34.53440611943298)	(140, 34.445350077369724)	(145, 34.207825093652716)	(150, 34.06220143427476)
BA14-S5_R1_001	(1, 36.272568969168006)	(2, 36.198630617232084)	(3, 36.361163705783696)	(4, 36.43023483513549)	(5, 36.452115809651296)	(6, 36.44860938692459)	(7, 36.41409903323884)	(8, 36.43973916891168)	(9, 36.45481122066447)	(10, 36.4653997806574)	(15, 36.447414008874276)	(20, 36.42807664867305)	(25, 36.382805043203675)	(30, 36.35614448397503)	(35, 36.34018142275464)	(40, 36.31953086328017)	(45, 36.30414096449287)	(50, 36.28648218833071)	(55, 36.25342945587839)	(60, 36.24062995490235)	(65, 36.210640336802065)	(70, 36.18637685388073)	(75, 36.16181092288147)	(80, 36.15362091274679)	(85, 36.13519568058221)	(90, 36.10238530186704)	(95, 36.081094725441844)	(100, 36.05341585172082)	(105, 35.98960763179272)	(110, 35.98275733088104)	(115, 35.89943670546971)	(120, 35.9097299965808)	(125, 35.8510887516244)	(130, 35.75426105540328)	(135, 35.71807346552366)	(140, 35.60807184671271)	(145, 35.52311655047729)	(150, 35.417132453094986)
BA14-S5_R2_001	(1, 35.810739700228055)	(2, 36.01876378573256)	(3, 36.13232445608511)	(4, 36.13084318819997)	(5, 36.11115783951452)	(6, 36.05806248163299)	(7, 36.011553652059845)	(8, 36.02116228670525)	(9, 36.03573916248672)	(10, 36.06913092339546)	(15, 36.028302493052664)	(20, 36.00121030211845)	(25, 35.957110190603466)	(30, 35.923364512088426)	(35, 35.88674170090519)	(40, 35.851565176485316)	(45, 35.80689484265549)	(50, 35.77833799794848)	(55, 35.715655019235776)	(60, 35.65976757562179)	(65, 35.643011185299244)	(70, 35.597081133016815)	(75, 35.5493744392126)	(80, 35.50734011343688)	(85, 35.43821953981632)	(90, 35.40315704449538)	(95, 35.342897198102236)	(100, 35.275913804113536)	(105, 35.21819638481385)	(110, 35.189879561303634)	(115, 35.086759397483874)	(120, 34.98884695127198)	(125, 34.899860634205154)	(130, 34.80820148427784)	(135, 34.76123669893301)	(140, 34.68014024154503)	(145, 34.45560797175698)	(150, 34.32028883414325)
BA14-WYS_R1_001	(1, 36.255206676014524)	(2, 36.18590101881008)	(3, 36.35247465945125)	(4, 36.421206336710924)	(5, 36.44751870839121)	(6, 36.44231069211017)	(7, 36.40705960744545)	(8, 36.436974529056286)	(9, 36.451159823409945)	(10, 36.458161047116505)	(15, 36.44108420989646)	(20, 36.418971809785226)	(25, 36.37407983353717)	(30, 36.34650387587783)	(35, 36.327360364981374)	(40, 36.30761843805513)	(45, 36.285735872034465)	(50, 36.26849314440706)	(55, 36.2348173830665)	(60, 36.215485698750975)	(65, 36.186484354679834)	(70, 36.15875647997244)	(75, 36.13336280478526)	(80, 36.126217316520105)	(85, 36.107815621523955)	(90, 36.0648361796559)	(95, 36.037020608283854)	(100, 36.00592581114659)	(105, 35.94122841392687)	(110, 35.9360423866636)	(115, 35.848382886301124)	(120, 35.86018904329528)	(125, 35.80613825635995)	(130, 35.70964115963663)	(135, 35.683612656404776)	(140, 35.57445722664789)	(145, 35.50175205692)	(150, 35.39839932402145)
BA14-WYS_R2_001	(1, 35.83563797205051)	(2, 36.015054781448356)	(3, 36.083822948544835)	(4, 36.086929988973495)	(5, 36.07774989831268)	(6, 36.02541603602083)	(7, 35.98613044649725)	(8, 35.99674773520899)	(9, 36.0152911006995)	(10, 36.04078321197724)	(15, 35.990810527473556)	(20, 35.9698662950122)	(25, 35.91939532535791)	(30, 35.887330192555666)	(35, 35.845731839129286)	(40, 35.811277737464096)	(45, 35.76074124174742)	(50, 35.73555342285046)	(55, 35.66809439350086)	(60, 35.60236413502139)	(65, 35.58631746988118)	(70, 35.534713136272075)	(75, 35.48643101207243)	(80, 35.446220379245275)	(85, 35.37557168852137)	(90, 35.33387759683123)	(95, 35.26410160984168)	(100, 35.19429975138488)	(105, 35.12663996740473)	(110, 35.100411072711275)	(115, 34.98965456057244)	(120, 34.88081117944837)	(125, 34.78719213645746)	(130, 34.6894501915457)	(135, 34.64237581176916)	(140, 34.5507588934898)	(145, 34.31634929731988)	(150, 34.17684565940421)
