Sample	Unique Reads	Duplicate Reads
BA12-S5_R1_001	7915162.0	14489533.0
BA12-S5_R2_001	7913406.0	14491289.0
BA12-WYS_R1_001	11879576.0	16419060.0
BA12-WYS_R2_001	11891473.0	16407163.0
BA12-gam_R1_001	9629204.0	14868752.0
BA12-gam_R2_001	9826737.0	14671219.0
BA14-S5_R1_001	6154057.0	22484247.0
BA14-S5_R2_001	6385818.0	22252486.0
BA14-WYS_R1_001	11180985.0	11948743.0
BA14-WYS_R2_001	11301808.0	11827920.0
BA14-gam_R1_001	7798095.0	18932621.0
BA14-gam_R2_001	7867751.0	18862965.0
BA19-S5_R1_001	12140304.0	16556747.0
BA19-S5_R2_001	12101743.0	16595308.0
BA19-WYS_R1_001	9305427.0	13823102.0
BA19-WYS_R2_001	9352845.0	13775684.0
BA19-gam_R1_001	5734913.0	22048851.0
BA19-gam_R2_001	5716449.0	22067315.0
BD5-S5_R1_001	8008307.0	11326051.0
BD5-S5_R2_001	7961662.0	11372696.0
BD5-WYS_R1_001	8845326.0	14393864.0
BD5-WYS_R2_001	8872198.0	14366992.0
BD5-gam_R1_001	6660094.0	22680791.0
BD5-gam_R2_001	6630236.0	22710649.0
BF16-S5_R1_001	8458281.0	23639667.0
BF16-S5_R2_001	8301246.0	23796702.0
BF16-WYS_R1_001	10509088.0	13845268.0
BF16-WYS_R2_001	10571298.0	13783058.0
BF16-gam_R1_001	6573863.0	24065767.0
BF16-gam_R2_001	6518954.0	24120676.0
BF5-S5_R1_001	7277363.0	13254502.0
BF5-S5_R2_001	7248219.0	13283646.0
BF5-WYS_R1_001	9735567.0	14112128.0
BF5-WYS_R2_001	9893572.0	13954123.0
BF5-gam_R1_001	8432587.0	17925230.0
BF5-gam_R2_001	8506910.0	17850907.0
Cross-S5-1_R1_001	10485666.0	15758507.0
Cross-S5-1_R2_001	10709568.0	15534605.0
Cross-S5-2_R1_001	11199662.0	16171214.0
Cross-S5-2_R2_001	11218421.0	16152455.0
Cross-S5-3_R1_001	8063587.0	14894107.0
Cross-S5-3_R2_001	8139078.0	14818616.0
Cross-WYS-1_R1_001	9892679.0	14348176.0
Cross-WYS-1_R2_001	9989545.0	14251310.0
Cross-WYS-2_R1_001	10006392.0	13195974.0
Cross-WYS-2_R2_001	9928733.0	13273633.0
Cross-WYS-3_R1_001	10473790.0	14804565.0
Cross-WYS-3_R2_001	10545531.0	14732824.0
Cross-gam-1_R1_001	8973819.0	13165204.0
Cross-gam-1_R2_001	9033497.0	13105526.0
Cross-gam-2_R1_001	9125632.0	13522565.0
Cross-gam-2_R2_001	9128698.0	13519499.0
Cross-gam-3_R1_001	8581217.0	11119492.0
Cross-gam-3_R2_001	8662074.0	11038635.0
RESUB-WT-WYS-4_R1_001	10522650.0	13932699.0
RESUB-WT-WYS-4_R2_001	10551319.0	13904030.0
RNAi-S5-1_R1_001	6635799.0	13924563.0
RNAi-S5-1_R2_001	6737126.0	13823236.0
RNAi-S5-2_R1_001	9285976.0	16756658.0
RNAi-S5-2_R2_001	9265356.0	16777278.0
RNAi-S5-3_R1_001	7212193.0	15990509.0
RNAi-S5-3_R2_001	7157393.0	16045309.0
RNAi-WYS-1_R1_001	9366092.0	13560370.0
RNAi-WYS-1_R2_001	9460001.0	13466461.0
RNAi-WYS-2_R1_001	9550762.0	14190731.0
RNAi-WYS-2_R2_001	9728468.0	14013025.0
RNAi-WYS-3_R1_001	10989638.0	18849205.0
RNAi-WYS-3_R2_001	10922539.0	18916304.0
RNAi-gam-1_R1_001	9553954.0	12025346.0
RNAi-gam-1_R2_001	9637924.0	11941376.0
RNAi-gam-2_R1_001	9518255.0	15130053.0
RNAi-gam-2_R2_001	9748355.0	14899953.0
RNAi-gam-3_R1_001	13193495.0	14863052.0
RNAi-gam-3_R2_001	13287523.0	14769024.0
WT-S5-1_R1_001	9196212.0	14146492.0
WT-S5-1_R2_001	9199071.0	14143633.0
WT-S5-2_R1_001	9072689.0	16579681.0
WT-S5-2_R2_001	9170328.0	16482042.0
WT-S5-3_R1_001	8876946.0	15203796.0
WT-S5-3_R2_001	8701254.0	15379488.0
WT-WYS-2_R1_001	10816904.0	11774128.0
WT-WYS-2_R2_001	10785316.0	11805716.0
WT-WYS-3_R1_001	10524713.0	12304996.0
WT-WYS-3_R2_001	10461885.0	12367824.0
WT-male-gam-1_R1_001	11427373.0	12622855.0
WT-male-gam-1_R2_001	11388361.0	12661867.0
WT-male-gam-2_R1_001	12172262.0	13870581.0
WT-male-gam-2_R2_001	12207665.0	13835178.0
WT-male-gam-3_R1_001	12751692.0	15170029.0
WT-male-gam-3_R2_001	12587149.0	15334572.0
WT-mature-herm-1_R1_001	6783684.0	19550885.0
WT-mature-herm-1_R2_001	6742430.0	19592139.0
WT-mature-herm-2_R1_001	7288302.0	15519961.0
WT-mature-herm-2_R2_001	7456560.0	15351703.0
WT-mature-herm-3_R1_001	6486683.0	22569398.0
WT-mature-herm-3_R2_001	6473965.0	22582116.0
