Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BA12-S5_R1_001	(1.0, 21.665162963199155)	(2.0, 12.886104772010173)	(3.0, 8.468682153491773)	(4.0, 5.561678602748368)	(5.0, 3.9148895156740777)	(6.0, 2.94634582411296)	(7.0, 2.076449435603051)	(8.0, 1.7686608987331696)	(9.0, 1.3811816456845882)	('>10', 17.141458621557135)	('>50', 6.14926218580599)	('>100', 11.513222563301378)	('>500', 2.7012542615477426)	('>1k', 1.7900216995294131)	('>5k', 0.0356248570009047)	('>10k+', 0.0)
BA12-S5_R2_001	(1.0, 22.242349663017052)	(2.0, 12.315588064661576)	(3.0, 8.132458704400747)	(4.0, 5.428138427566717)	(5.0, 3.682090900025815)	(6.0, 2.6683855810435815)	(7.0, 2.0432016376129036)	(8.0, 1.6258423912193474)	(9.0, 1.2658602416406883)	('>10', 16.637735922989698)	('>50', 6.231555692643159)	('>100', 11.920342800673774)	('>500', 3.2622029949052584)	('>1k', 2.4136408315409246)	('>5k', 0.13060614605873888)	('>10k+', 0.0)
BA12-WYS_R1_001	(1.0, 25.469350566805737)	(2.0, 15.973357198187857)	(3.0, 10.75288234859325)	(4.0, 6.999405284479826)	(5.0, 4.738136888166201)	(6.0, 3.4389258114814942)	(7.0, 2.4844807892798557)	(8.0, 1.8965920755647712)	(9.0, 1.671591332261104)	('>10', 14.053064855618347)	('>50', 3.2365970720053365)	('>100', 5.728783401780883)	('>500', 1.8992161302916724)	('>1k', 1.540452189856905)	('>5k', 0.06144514429826407)	('>10k+', 0.055718911328560036)
BA12-WYS_R2_001	(1.0, 26.07469665376903)	(2.0, 15.347414150785019)	(3.0, 10.339413399546741)	(4.0, 6.678422800588951)	(5.0, 4.63623277211421)	(6.0, 3.341236852389471)	(7.0, 2.5175816494899044)	(8.0, 1.8751067569385043)	(9.0, 1.5683465452576029)	('>10', 14.376663607278104)	('>50', 3.172739740259746)	('>100', 5.919828956848578)	('>500', 2.0611861206639306)	('>1k', 1.824859875445079)	('>5k', 0.179199536419076)	('>10k+', 0.08707058220584152)
BA12-gam_R1_001	(1.0, 24.48877196738277)	(2.0, 14.820813012102315)	(3.0, 9.626913402118543)	(4.0, 6.0317763228433)	(5.0, 4.045046653664682)	(6.0, 2.853817990426292)	(7.0, 2.0069645334683313)	(8.0, 1.5185029484482728)	(9.0, 1.2613644980294125)	('>10', 12.330251268078783)	('>50', 3.5620218898330065)	('>100', 8.980063294399756)	('>500', 4.084441144131915)	('>1k', 4.045185091737364)	('>5k', 0.27738396008426525)	('>10k+', 0.06668202325105432)
BA12-gam_R2_001	(1.0, 25.794541764116335)	(2.0, 14.301123833512186)	(3.0, 9.171661419313759)	(4.0, 5.876303887645571)	(5.0, 3.924049429534778)	(6.0, 2.6913061058180596)	(7.0, 2.013767835400702)	(8.0, 1.5804028832671635)	(9.0, 1.2388447460835839)	('>10', 12.356557511399481)	('>50', 3.288765929437497)	('>100', 8.621578775364174)	('>500', 4.120931532695816)	('>1k', 4.471301798431673)	('>5k', 0.4549414758257539)	('>10k+', 0.09392107215356417)
BA14-S5_R1_001	(1.0, 9.964646525469407)	(2.0, 8.230672389792062)	(3.0, 7.237906066052494)	(4.0, 5.830483319852969)	(5.0, 4.638391913378486)	(6.0, 3.5874485602157065)	(7.0, 2.6415615707729505)	(8.0, 2.1074554539594477)	(9.0, 1.7686824440057938)	('>10', 18.44702020288555)	('>50', 6.274532536990115)	('>100', 14.705690270229946)	('>500', 5.931005708500195)	('>1k', 7.513272602777746)	('>5k', 0.7575092981930148)	('>10k+', 0.3637211369245)
BA14-S5_R2_001	(1.0, 11.208605597377012)	(2.0, 7.978983701211233)	(3.0, 7.0449491671655)	(4.0, 5.596277317825525)	(5.0, 4.354632750086882)	(6.0, 3.300838036336704)	(7.0, 2.5714829338819984)	(8.0, 2.014625234050538)	(9.0, 1.6326365056152414)	('>10', 17.62130028962736)	('>50', 6.171238389370161)	('>100', 14.297088372316125)	('>500', 6.412180290454141)	('>1k', 8.228277978951676)	('>5k', 1.006965045029245)	('>10k+', 0.5599183907008544)
BA14-WYS_R1_001	(1.0, 30.03874295682798)	(2.0, 18.60252247270495)	(3.0, 11.72933101595116)	(4.0, 7.741026524044081)	(5.0, 5.188917074025375)	(6.0, 3.4099928900550176)	(7.0, 2.456325365430617)	(8.0, 1.8903460369932803)	(9.0, 1.5072898980231118)	('>10', 12.794112376631961)	('>50', 2.2895038744686205)	('>100', 2.0994124472138465)	('>500', 0.1497797315832127)	('>1k', 0.10269733604686244)	('>5k', 0.0)	('>10k+', 0.0)
BA14-WYS_R2_001	(1.0, 31.073405331681865)	(2.0, 17.959498257340854)	(3.0, 11.491371947503042)	(4.0, 7.4697994261909635)	(5.0, 5.001803358576346)	(6.0, 3.4285547689052898)	(7.0, 2.468691781914099)	(8.0, 1.842204510198497)	(9.0, 1.498505935904146)	('>10', 12.768001877570633)	('>50', 2.334489502075993)	('>100', 2.281369577001598)	('>500', 0.22136665840241662)	('>1k', 0.12380104227590145)	('>5k', 0.03713602445823715)	('>10k+', 0.0)
BA14-gam_R1_001	(1.0, 17.18843074121027)	(2.0, 11.348838937956863)	(3.0, 7.838431930775045)	(4.0, 5.203217345007722)	(5.0, 3.59834187165103)	(6.0, 2.4098517581021714)	(7.0, 1.8820873952033472)	(8.0, 1.3654772893731224)	(9.0, 1.1032667021305098)	('>10', 10.712845428069688)	('>50', 3.488151813402517)	('>100', 11.223278415357031)	('>500', 7.4781827229637265)	('>1k', 12.975633707841258)	('>5k', 1.4136083476154273)	('>10k+', 0.7703555933401114)
BA14-gam_R2_001	(1.0, 17.791994869884906)	(2.0, 10.942942117291675)	(3.0, 7.644567597300295)	(4.0, 5.048708557610717)	(5.0, 3.484004902669988)	(6.0, 2.4184685986341834)	(7.0, 1.771179477878871)	(8.0, 1.4131706362875183)	(9.0, 1.1063377827651166)	('>10', 10.77965012431284)	('>50', 3.2877486928580058)	('>100', 10.268795853938808)	('>500', 7.429348506620209)	('>1k', 14.027245776559688)	('>5k', 1.610221678378237)	('>10k+', 0.9756148270089092)
BA19-S5_R1_001	(1.0, 25.348934098650172)	(2.0, 16.190933900663733)	(3.0, 10.941626298760621)	(4.0, 7.474903473218298)	(5.0, 5.340259213046243)	(6.0, 3.627576101048103)	(7.0, 2.739226133860751)	(8.0, 2.074155989648179)	(9.0, 1.6371923712336385)	('>10', 13.13483702320924)	('>50', 3.0446886874377377)	('>100', 4.974613565085755)	('>500', 1.720810894668317)	('>1k', 1.5142554647323843)	('>5k', 0.23598678473691187)	('>10k+', 0.0)
