Module	Section	Sample Name	Source
FastQC	all_sections	RNAi-gam-1_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/RNAi-gam-1_R1_001_fastqc.zip
FastQC	all_sections	BD5-gam_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BD5-gam_R2_001_fastqc.zip
FastQC	all_sections	WT-WYS-2_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/WT-WYS-2_R2_001_fastqc.zip
FastQC	all_sections	Cross-WYS-1_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/Cross-WYS-1_R2_001_fastqc.zip
FastQC	all_sections	BF5-gam_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BF5-gam_R1_001_fastqc.zip
FastQC	all_sections	WT-male-gam-2_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/WT-male-gam-2_R1_001_fastqc.zip
FastQC	all_sections	RNAi-S5-1_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/RNAi-S5-1_R2_001_fastqc.zip
FastQC	all_sections	RESUB-WT-WYS-4_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/RESUB-WT-WYS-4_R1_001_fastqc.zip
FastQC	all_sections	BA14-S5_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BA14-S5_R1_001_fastqc.zip
FastQC	all_sections	WT-S5-3_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/WT-S5-3_R2_001_fastqc.zip
FastQC	all_sections	BA12-WYS_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BA12-WYS_R2_001_fastqc.zip
FastQC	all_sections	WT-male-gam-2_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/WT-male-gam-2_R2_001_fastqc.zip
FastQC	all_sections	BA19-WYS_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BA19-WYS_R2_001_fastqc.zip
FastQC	all_sections	BA12-WYS_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BA12-WYS_R1_001_fastqc.zip
FastQC	all_sections	BA19-S5_R2_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BA19-S5_R2_001_fastqc.zip
FastQC	all_sections	BA19-S5_R1_001	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc/BA19-S5_R1_001_fastqc.zip
