#Accession,Project Title,Tax ID,Organism,Organism Groups,Strain,Project Type,Data Type,Has Data,Has Pub,Registration date
PRJNA877578,Differentially expressed genes in the transition from callus proliferation to differentiation in Ceratopteris richardii,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,No,9/7/22
PRJNA857489,Transcriptional analysis of Ceratopteris richardii young sporophyte reveals conservation of stem cell factors in the root apical meristem,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,Yes,7/10/22
PRJNA681601,Ceratopteris richardii de novo transcriptome assembly,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,,Primary submission,Transcriptome or Gene expression,Yes,Yes,11/30/20
PRJNA666635,Ceratopteris richardii cultivar:Hn-n Transcriptome or Gene expression,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n,Primary submission,Transcriptome or Gene expression,Yes,Yes,9/30/20
PRJNA651764,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Developing leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651765,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Expanding leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651766,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Sterile leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651767,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Fefertile leaf,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651768,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Sori,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
PRJNA651769,Ceratopteris richardii Hn-n (M.Whitten #5841) Transcriptome - Mature gamotophyte,49495,Ceratopteris richardii,Eukaryota; Plants; Land Plants,Hn-n (M.Whitten #5841),Primary submission,Transcriptome or Gene expression,Yes,No,8/4/20
