geneID,logFC,logCPM,F,PValue,FDR
Ceric.17G013200.v2.1,-3.1265699437549705,5.415299862317508,395.655686341518,3.576658027845173e-8,2.5170888216105054e-4
Ceric.33G065100.v2.1,-3.2402640521815833,4.568379274399123,333.68350966127605,7.045808138258926e-8,2.5170888216105054e-4
Ceric.19G008800.v2.1,-3.0664482753000453,2.742713320777999,184.02441073106766,7.395303921599971e-7,3.700051238240842e-4
Ceric.17G068600.v2.1,-3.2446061810490763,2.6393323162093143,171.022653986089,9.879246691899356e-7,3.9249247427083396e-4
Ceric.03G060200.v2.1,-3.4292308012556427,3.262160316654732,179.94184537577786,8.054027578085463e-7,3.700051238240842e-4
Ceric.09G060600.v2.1,-3.412414471374369,3.6764467510723495,194.5743007675042,5.920897093434045e-7,3.5005303761856686e-4
Ceric.14G091200.v2.1,-3.2041226592536898,3.082396712264171,221.89829233197548,3.5471581701673055e-7,2.854345237628778e-4
Ceric.1Z223800.v2.1,-2.9611026843897617,3.6077502789295193,201.34920552929935,5.173641992600511e-7,3.4181386088402986e-4
Ceric.16G034400.v2.1,-3.1474229719804576,3.2547113002896535,200.0871172019677,5.312764009168921e-7,3.4181386088402986e-4
Ceric.04G098200.v2.1,-3.1174150191277668,2.542674165695295,169.49063177510652,1.0227232472428587e-6,3.9249247427083396e-4
Ceric.05G000600.v2.1,-3.160279128135632,4.118455259973091,196.8140512173405,5.652278922992938e-7,3.476328635147693e-4
Ceric.10G023600.v2.1,-3.06619114306633,3.6971805907172723,189.47094619420074,6.562310650964019e-7,3.700051238240842e-4
Ceric.32G020300.v2.1,-3.4969827031527245,4.282498927329733,275.987074835632,1.4957698237190472e-7,2.5170888216105054e-4
Ceric.38G036800.v2.1,-3.5454737923974804,3.5916872354141427,228.08888442272894,3.178945114107394e-7,2.7815769748439697e-4
Ceric.1Z097100.v2.1,-3.3054957988382005,5.381402629327505,258.3395906785401,1.9392481699971657e-7,2.5170888216105054e-4
