"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.02G031800.1","GO:0007018","microtubule-based movement",84,3,0.07,3.8e-05,"BP",4.42021640338319
"Ceric.02G031800.1","GO:0042546","cell wall biogenesis",35,1,0.03,0.03,"BP",1.52287874528034
"Ceric.05G020100.1","GO:0019953","sexual reproduction",7,1,0,0.0026,"BP",2.58502665202918
"Ceric.05G020100.1","GO:0019290","siderophore biosynthetic process",38,1,0.01,0.0142,"BP",1.84771165561694
"Ceric.10G011000.1","GO:0031122","cytoplasmic microtubule organization",19,1,0.01,0.0071,"BP",2.14874165128092
"Ceric.10G011000.1","GO:0007020","microtubule nucleation",20,1,0.01,0.0075,"BP",2.1249387366083
"Ceric.10G011000.1","GO:0006662","glycerol ether metabolic process",35,1,0.01,0.0131,"BP",1.88272870434424
"Ceric.12G075500.1","GO:0006635","fatty acid beta-oxidation",7,1,0.01,0.0052,"BP",2.2839966563652
"Ceric.12G075500.1","GO:0006418","tRNA aminoacylation for protein translat...",44,1,0.03,0.0325,"BP",1.48811663902113
"Ceric.15G045600.1","GO:0009873","ethylene-activated signaling pathway",3,1,0,0.0011,"BP",2.95860731484178
"Ceric.15G045600.1","GO:0000162","tryptophan biosynthetic process",4,1,0,0.0015,"BP",2.82390874094432
"Ceric.15G045600.1","GO:0006662","glycerol ether metabolic process",35,1,0.01,0.0131,"BP",1.88272870434424
"Ceric.18G015200.1","GO:0006633","fatty acid biosynthetic process",88,1,0.02,0.022,"BP",1.65757731917779
"Ceric.22G010700.1","GO:0000103","sulfate assimilation",8,1,0,0.005,"BP",2.30102999566398
"Ceric.22G010700.1","GO:0005975","carbohydrate metabolic process",451,2,0.28,0.028,"BP",1.55284196865778
"Ceric.25G026400.1","GO:0019290","siderophore biosynthetic process",38,1,0.01,0.014,"BP",1.85387196432176
"hubs","GO:0019953","sexual reproduction",7,1,0,0.0017,"BP",2.76955107862173
