"query","sum","numGenes","sum_corrected"
"Ceric.10G068300.1",4.98,10,0.498
"Ceric.35G028100.1",3.439,10,0.3439
"Ceric.30G028700.1",3,10,0.3
"Ceric.1Z211400.1",5.724,10,0.5724
"Ceric.17G050800.1",4.227,30,0.1409
"Ceric.11G077600.1",8.251,10,0.8251
"Ceric.38G021900.1",5.18,10,0.518
"Ceric.04G085600.1",2.222,20,0.1111
"Ceric.17G048700.1",10.952,30,0.365066666666667
"Ceric.12G014800.1",7.441,20,0.37205
"Ceric.13G071000.1",9.564,30,0.3188
"Ceric.03G020800.1",13.036,30,0.434533333333333
"Ceric.1Z138800.1",7.225,30,0.240833333333333
"Ceric.12G095800.1",9.919,20,0.49595
"Ceric.10G011000.1",6.918,40,0.17295
"Ceric.26G061600.1",4.014,10,0.4014
"Ceric.20G064100.1",7.952,20,0.3976
"Ceric.24G077200.1",2.398,10,0.2398
"Ceric.29G050300.1",6.295,10,0.6295
"Ceric.04G105500.1",3.669,10,0.3669
"Ceric.21G001400.1",3.029,10,0.3029
"Ceric.17G019100.1",7.023,20,0.35115
"Ceric.29G023400.1",5.589,10,0.5589
"Ceric.17G023000.1",3.924,10,0.3924
"Ceric.29G082500.1",2.721,10,0.2721
"Ceric.22G049900.1",6.211,10,0.6211
"Ceric.1Z139800.1",3.478,10,0.3478
"Ceric.07G045100.1",3.126,10,0.3126
"Ceric.02G031800.1",5.943,10,0.5943
"Ceric.22G041500.1",2.187,10,0.2187
"hubs",6.661,30,0.222033333333333
