"hubGene","genes","cor"
"Ceric.08G028400.1","Ceric.08G028400.1",1
"Ceric.08G028400.1","Ceric.07G029800.1",0.825
"Ceric.08G028400.1","Ceric.21G035400.1",0.794
"Ceric.08G028400.1","Ceric.21G002900.1",0.792
"Ceric.08G028400.1","Ceric.36G034000.1",0.762
"Ceric.08G028400.1","Ceric.09G041300.1",0.73
"Ceric.08G028400.1","Ceric.27G024600.1",0.721
"Ceric.08G028400.1","Ceric.17G077500.1",0.72
"Ceric.08G028400.1","Ceric.05G058000.1",0.71
"Ceric.08G028400.1","Ceric.19G018900.1",0.709
"Ceric.08G028400.1","Ceric.12G011200.1",0.703
"Ceric.08G028400.1","Ceric.21G003200.1",0.698
"Ceric.08G028400.1","Ceric.30G013700.1",0.698
"Ceric.08G028400.1","Ceric.39G002700.1",0.696
"Ceric.08G028400.1","Ceric.19G070500.1",0.693
"Ceric.08G028400.1","Ceric.21G057000.1",0.691
"Ceric.08G028400.1","Ceric.33G060000.1",0.69
"Ceric.08G028400.1","Ceric.01G007800.1",0.688
"Ceric.08G028400.1","Ceric.01G058700.1",0.687
"Ceric.08G028400.1","Ceric.02G064000.1",0.687
"Ceric.29G055600.1","Ceric.29G055600.1",1
"Ceric.29G055600.1","Ceric.31G048500.1",0.906
"Ceric.29G055600.1","Ceric.18G007700.1",0.894
"Ceric.29G055600.1","Ceric.35G055600.1",0.887
"Ceric.29G055600.1","Ceric.29G042600.1",0.885
"Ceric.29G055600.1","Ceric.01G101600.1",0.88
"Ceric.29G055600.1","Ceric.38G000100.1",0.873
"Ceric.29G055600.1","Ceric.20G041500.1",0.871
"Ceric.29G055600.1","Ceric.37G023400.1",0.869
"Ceric.29G055600.1","Ceric.01G002100.1",0.864
"Ceric.29G055600.1","Ceric.07G044600.1",0.864
"Ceric.29G055600.1","Ceric.07G032200.1",0.859
"Ceric.29G055600.1","Ceric.26G017400.1",0.856
"Ceric.29G055600.1","Ceric.20G012800.1",0.855
