"query","sum","numGenes","sum_corrected"
"Ceric.08G028400.1",8.553,20,0.42765
"Ceric.29G055600.1",6.239,20,0.31195
"Ceric.31G037000.1",6.88,40,0.172
"Ceric.33G060000.1",6.472,10,0.6472
"Ceric.34G011800.1",7.073,10,0.7073
"Ceric.05G057700.1",4.064,10,0.4064
"Ceric.38G030800.1",2.071,20,0.10355
"Ceric.30G051000.1",4.745,10,0.4745
"Ceric.03G029200.1",3.841,20,0.19205
"Ceric.1Z119300.1",2.523,10,0.2523
"Ceric.16G028400.1",5.192,40,0.1298
"Ceric.21G002900.1",6.102,20,0.3051
"Ceric.28G067600.1",10.304,40,0.2576
"Ceric.08G035200.1",6.208,10,0.6208
"Ceric.21G004700.1",3.907,10,0.3907
"Ceric.16G045700.1",11.731,50,0.23462
"Ceric.21G017300.1",4.701,10,0.4701
"Ceric.06G079300.1",3.06,10,0.306
"Ceric.16G056200.1",19.852,80,0.24815
"Ceric.07G023000.1",3.578,10,0.3578
"hubs",5.125,20,0.25625
