"hubGene","genes","cor"
"Ceric.31G037000.1","Ceric.31G037000.1",1
"Ceric.31G037000.1","Ceric.31G006600.1",0.894
"Ceric.31G037000.1","Ceric.11G098200.1",0.877
"Ceric.31G037000.1","Ceric.21G078600.1",0.862
"Ceric.31G037000.1","Ceric.30G048400.1",0.853
"Ceric.31G037000.1","Ceric.28G067600.1",0.852
"Ceric.31G037000.1","Ceric.33G060000.1",0.846
"Ceric.31G037000.1","Ceric.39G015900.1",0.845
"Ceric.31G037000.1","Ceric.39G011000.1",0.844
"Ceric.31G037000.1","Ceric.26G067000.1",0.843
"Ceric.30G051000.1","Ceric.30G051000.1",1
"Ceric.30G051000.1","Ceric.11G067500.1",0.808
"Ceric.30G051000.1","Ceric.1Z124400.1",0.779
"Ceric.30G051000.1","Ceric.29G017700.1",0.763
"Ceric.30G051000.1","Ceric.12G044700.1",0.751
"Ceric.30G051000.1","Ceric.27G035700.1",0.747
"Ceric.30G051000.1","Ceric.29G073700.1",0.745
"Ceric.30G051000.1","Ceric.24G026400.1",0.744
"Ceric.30G051000.1","Ceric.17G072400.1",0.741
"Ceric.30G051000.1","Ceric.05G067900.1",0.737
"Ceric.19G025600.1","Ceric.19G025600.1",1
"Ceric.19G025600.1","Ceric.11G098400.1",0.916
"Ceric.19G025600.1","Ceric.19G077700.1",0.914
"Ceric.19G025600.1","Ceric.31G004900.1",0.912
"Ceric.19G025600.1","Ceric.32G056100.1",0.903
"Ceric.19G025600.1","Ceric.36G034000.1",0.902
"Ceric.19G025600.1","Ceric.18G007700.1",0.894
"Ceric.19G025600.1","Ceric.12G066400.1",0.891
"Ceric.19G025600.1","Ceric.23G029800.1",0.886
"Ceric.19G025600.1","Ceric.37G023400.1",0.881
"Ceric.1Z072500.1","Ceric.1Z072500.1",1
"Ceric.1Z072500.1","Ceric.35G010100.1",0.719
"Ceric.1Z072500.1","Ceric.20G042700.1",0.705
"Ceric.1Z072500.1","Ceric.02G022700.1",0.704
"Ceric.1Z072500.1","Ceric.15G050000.1",0.703
"Ceric.1Z072500.1","Ceric.29G046800.1",0.69
"Ceric.1Z072500.1","Ceric.34G019100.1",0.686
"Ceric.1Z072500.1","Ceric.07G074400.1",0.685
"Ceric.1Z072500.1","Ceric.24G074000.1",0.685
"Ceric.1Z072500.1","Ceric.23G040100.1",0.682
