"query","sum","numGenes","sum_corrected"
"Ceric.02G081900.1",4.999,20,0.24995
"Ceric.1Z166400.1",6.163,10,0.6163
"Ceric.22G051200.1",8.073,10,0.8073
"Ceric.08G018900.1",9.215,10,0.9215
"Ceric.03G065200.1",5.606,20,0.2803
"Ceric.15G047000.1",7.026,30,0.2342
"Ceric.24G015600.1",4.377,10,0.4377
"Ceric.39G000500.1",7.652,10,0.7652
"Ceric.23G021300.1",8.302,30,0.276733333333333
"Ceric.33G031700.1",7.656,10,0.7656
"Ceric.39G011200.1",1.398,10,0.1398
"Ceric.10G045400.1",6.416,30,0.213866666666667
"Ceric.36G021500.1",4.194,10,0.4194
"Ceric.24G056200.1",6.286,20,0.3143
"Ceric.25G018800.1",14.054,60,0.234233333333333
"Ceric.32G035400.1",18.178,20,0.9089
"Ceric.09G052700.1",6.922,30,0.230733333333333
"Ceric.23G077800.1",3.453,10,0.3453
"Ceric.34G040600.1",7.74,10,0.774
"Ceric.18G007700.1",3.921,10,0.3921
"Ceric.29G067800.1",3.133,20,0.15665
"Ceric.20G009700.1",4.824,30,0.1608
"Ceric.09G032200.1",3.662,10,0.3662
"Ceric.09G081700.1",4.507,30,0.150233333333333
"hubs",2.244,24,0.0935
