module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0006468,protein phosphorylation,606,88,52.66,1.6e-7
black,GO:0042546,cell wall biogenesis,30,10,2.61,1.3e-4
black,GO:0007165,signal transduction,189,30,16.42,9.2e-4
black,GO:0010411,xyloglucan metabolic process,20,7,1.74,0.00101
black,GO:0016480,negative regulation of transcription by ...,2,2,0.17,0.00753
black,GO:0006950,response to stress,242,20,21.03,0.01416
black,GO:0000160,phosphorelay signal transduction system,32,7,2.78,0.01766
black,GO:0046168,glycerol-3-phosphate catabolic process,3,2,0.26,0.02129
black,GO:0006863,purine nucleobase transport,3,2,0.26,0.02129
black,GO:0006820,monoatomic anion transport,9,3,0.78,0.04003
black,GO:0006094,gluconeogenesis,4,2,0.35,0.04015
blue,GO:0007165,signal transduction,189,36,20.45,2.2e-5
blue,GO:0071805,potassium ion transmembrane transport,20,9,2.16,1.1e-4
blue,GO:0006468,protein phosphorylation,606,93,65.57,1.2e-4
blue,GO:0009664,plant-type cell wall organization,43,11,4.65,0.00484
blue,GO:0009228,thiamine biosynthetic process,2,2,0.22,0.01168
blue,GO:0015700,arsenite transport,2,2,0.22,0.01168
blue,GO:0008152,metabolic process,2794,308,302.3,0.01274
blue,GO:0016567,protein ubiquitination,27,7,2.92,0.02148
brown,GO:0007018,microtubule-based movement,65,30,14.97,1.2e-4
brown,GO:0007017,microtubule-based process,112,52,25.79,3.3e-4
brown,GO:0006096,glycolytic process,18,10,4.14,0.00279
brown,GO:0006813,potassium ion transport,31,13,7.14,0.00454
brown,GO:0006811,monoatomic ion transport,150,46,34.54,0.01101
brown,GO:0016579,protein deubiquitination,3,3,0.69,0.01218
brown,GO:0006012,galactose metabolic process,3,3,0.69,0.01218
brown,GO:0006289,nucleotide-excision repair,3,3,0.69,0.01218
brown,GO:0006555,methionine metabolic process,3,3,0.69,0.01218
brown,GO:0006536,glutamate metabolic process,3,3,0.69,0.01218
brown,GO:0006281,DNA repair,65,26,14.97,0.01243
brown,GO:0007264,small GTPase-mediated signal transductio...,29,12,6.68,0.02087
brown,GO:0007020,microtubule nucleation,11,6,2.53,0.02308
brown,GO:0031122,cytoplasmic microtubule organization,11,6,2.53,0.02308
