module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0006468,protein phosphorylation,606,88,52.66,1.6e-7
black,GO:0042546,cell wall biogenesis,30,10,2.61,1.3e-4
black,GO:0007165,signal transduction,189,30,16.42,9.2e-4
blue,GO:0007165,signal transduction,189,36,20.45,2.2e-5
blue,GO:0071805,potassium ion transmembrane transport,20,9,2.16,1.1e-4
blue,GO:0006468,protein phosphorylation,606,93,65.57,1.2e-4
brown,GO:0007018,microtubule-based movement,65,30,14.97,1.2e-4
brown,GO:0007017,microtubule-based process,112,52,25.79,3.3e-4
brown,GO:0006096,glycolytic process,18,10,4.14,0.00279
cyan,GO:0006869,lipid transport,32,11,0.27,2.9e-16
cyan,GO:0019290,siderophore biosynthetic process,27,3,0.23,0.0014
cyan,GO:0046677,response to antibiotic,1,1,0.01,0.0084
cyan,GO:0009269,response to desiccation,1,1,0.01,0.0084
green,GO:0006260,DNA replication,52,33,4.58,6.4e-12
green,GO:0006270,DNA replication initiation,8,8,0.71,3.4e-9
green,GO:0007018,microtubule-based movement,65,22,5.73,1.2e-8
greenyellow,GO:0009607,response to biotic stimulus,19,5,0.7,4.9e-4
greenyellow,GO:0006952,defense response,31,6,1.14,7.8e-4
greenyellow,GO:0006979,response to oxidative stress,86,8,3.17,0.0132
lightcyan,GO:0045454,cell redox homeostasis,73,2,0.2,0.016
lightcyan,GO:0005985,sucrose metabolic process,6,1,0.02,0.016
magenta,GO:0006355,regulation of DNA-templated transcriptio...,383,62,19.91,1.6e-17
magenta,GO:0045454,cell redox homeostasis,73,20,3.8,3.2e-10
magenta,GO:0009694,jasmonic acid metabolic process,7,4,0.36,2.2e-4
magenta,GO:0009864,"induced systemic resistance, jasmonic ac...",7,4,0.36,2.2e-4
midnightblue,GO:0016310,phosphorylation,619,4,3.07,0.002
midnightblue,GO:0000045,autophagosome assembly,2,1,0.01,0.0099
midnightblue,GO:0000160,phosphorelay signal transduction system,32,2,0.16,0.0106
pink,GO:0042545,cell wall modification,63,21,4.71,1.7e-9
pink,GO:0009765,"photosynthesis, light harvesting",20,10,1.5,4.4e-7
pink,GO:0009396,folic acid-containing compound biosynthe...,2,2,0.15,0.0056
purple,GO:0015986,proton motive force-driven ATP synthesis,34,30,3.36,8.1e-27
purple,GO:0009767,photosynthetic electron transport chain,50,50,4.94,1.8e-16
purple,GO:0019685,"photosynthesis, dark reaction",11,11,1.09,7.7e-12
red,GO:0071577,zinc ion transmembrane transport,7,6,0.49,7e-7
red,GO:0035434,copper ion transmembrane transport,8,4,0.55,0.0013
red,GO:0006415,translational termination,2,2,0.14,0.0048
tan,GO:0006812,monoatomic cation transport,136,10,4.31,1.9e-4
tan,GO:0007165,signal transduction,189,16,5.99,5.2e-4
tan,GO:0006801,superoxide metabolic process,4,2,0.13,0.00573
yellow,GO:0008152,metabolic process,2794,327,298.84,2.1e-6
yellow,GO:0005975,carbohydrate metabolic process,229,35,24.49,0.0011
yellow,GO:0032502,developmental process,21,7,2.25,0.0012
