module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0009765,"photosynthesis, light harvesting",42,26,2.87,1.4e-20
black,GO:0015979,photosynthesis,204,67,13.96,5.5e-19
black,GO:0006457,protein folding,75,18,5.13,2.4e-6
black,GO:0006412,translation,236,45,16.15,1.6e-5
black,GO:0010207,photosystem II assembly,4,4,0.27,2.2e-5
black,GO:0008152,metabolic process,4122,330,282.02,4.5e-5
black,GO:0033014,tetrapyrrole biosynthetic process,35,12,2.39,0.0011
black,GO:0006414,translational elongation,14,5,0.96,0.0017
black,GO:0006662,glycerol ether metabolic process,30,7,2.05,0.0034
black,GO:0009052,"pentose-phosphate shunt, non-oxidative b...",2,2,0.14,0.0047
black,GO:0000413,protein peptidyl-prolyl isomerization,18,5,1.23,0.0059
black,GO:0006779,porphyrin-containing compound biosynthet...,27,8,1.85,0.0088
black,GO:0006415,translational termination,7,3,0.48,0.009
black,GO:0015995,chlorophyll biosynthetic process,20,5,1.37,0.0096
black,GO:0009306,protein secretion,3,2,0.21,0.0134
black,GO:0019464,glycine decarboxylation via glycine clea...,3,2,0.21,0.0134
blue,GO:0005975,carbohydrate metabolic process,349,133,105.84,5.3e-7
blue,GO:0007018,microtubule-based movement,75,41,22.75,1.6e-5
blue,GO:0006270,DNA replication initiation,8,8,2.43,7.1e-5
blue,GO:0006260,DNA replication,71,42,21.53,4.5e-4
blue,GO:0006334,nucleosome assembly,11,9,3.34,6.2e-4
blue,GO:0006284,base-excision repair,15,11,4.55,7.3e-4
blue,GO:0007076,mitotic chromosome condensation,6,6,1.82,7.7e-4
blue,GO:0008610,lipid biosynthetic process,138,53,41.85,0.00134
blue,GO:0006139,nucleobase-containing compound metabolic...,990,332,300.24,0.00144
blue,GO:0000910,cytokinesis,15,9,4.55,0.00171
blue,GO:0032147,activation of protein kinase activity,5,5,1.52,0.00256
blue,GO:0060236,regulation of mitotic spindle organizati...,5,5,1.52,0.00256
blue,GO:0046274,lignin catabolic process,26,15,7.89,0.00335
blue,GO:0006556,S-adenosylmethionine biosynthetic proces...,7,6,2.12,0.00401
blue,GO:0006869,lipid transport,48,20,14.56,0.00596
blue,GO:0000077,DNA damage checkpoint signaling,4,4,1.21,0.00844
blue,GO:0000226,microtubule cytoskeleton organization,38,24,11.52,0.0086
blue,GO:0007049,cell cycle,67,49,20.32,0.00922
blue,GO:0031047,regulatory ncRNA-mediated gene silencing,6,5,1.82,0.01146
blue,GO:0006555,methionine metabolic process,6,5,1.82,0.02781
blue,GO:0009186,deoxyribonucleoside diphosphate metaboli...,4,4,1.21,0.02783
blue,GO:0051225,spindle assembly,3,3,0.91,0.02786
blue,GO:0006228,UTP biosynthetic process,7,5,2.12,0.0301
blue,GO:0006241,CTP biosynthetic process,7,5,2.12,0.0301
blue,GO:0006183,GTP biosynthetic process,7,5,2.12,0.0301
blue,GO:0006811,monoatomic ion transport,187,41,56.71,0.03156
blue,GO:0006281,DNA repair,103,44,31.24,0.04968
brown,GO:0006412,translation,236,50,16.27,2.4e-11
brown,GO:0006886,intracellular protein transport,62,13,4.27,4.7e-4
brown,GO:0006457,protein folding,75,14,5.17,5e-4
brown,GO:0016192,vesicle-mediated transport,45,12,3.1,8.9e-4
brown,GO:0015031,protein transport,92,22,6.34,9.7e-4
brown,GO:0000398,"mRNA splicing, via spliceosome",11,6,0.76,0.00123
brown,GO:0051016,barbed-end actin filament capping,4,3,0.28,0.00123
brown,GO:0006888,endoplasmic reticulum to Golgi vesicle-m...,5,3,0.34,0.00293
brown,GO:0006535,cysteine biosynthetic process from serin...,17,5,1.17,0.0047
brown,GO:0030042,actin filament depolymerization,10,6,0.69,0.00545
brown,GO:0006520,amino acid metabolic process,130,19,8.96,0.00552
brown,GO:0000413,protein peptidyl-prolyl isomerization,18,5,1.24,0.00614
brown,GO:0007034,vacuolar transport,7,3,0.48,0.00923
brown,GO:0006364,rRNA processing,15,5,1.03,0.00958
brown,GO:0007264,small GTPase-mediated signal transductio...,37,7,2.55,0.01189
brown,GO:0000387,spliceosomal snRNP assembly,3,2,0.21,0.01357
brown,GO:0006526,L-arginine biosynthetic process,4,2,0.28,0.02591
brown,GO:0030150,protein import into mitochondrial matrix,4,2,0.28,0.02591
brown,GO:0009269,response to desiccation,4,2,0.28,0.02591
brown,GO:0006480,N-terminal protein amino acid methylatio...,4,2,0.28,0.02591
brown,GO:0009408,response to heat,10,3,0.69,0.02711
brown,GO:0006814,sodium ion transport,12,3,0.83,0.04485
brown,GO:0009058,biosynthetic process,1454,138,100.24,0.04852
cyan,GO:0015979,photosynthesis,204,102,8.7,NA
cyan,GO:0009772,photosynthetic electron transport in pho...,33,29,1.41,NA
cyan,GO:0015986,proton motive force-driven ATP synthesis,51,29,2.18,2.4e-27
cyan,GO:0009767,photosynthetic electron transport chain,52,48,2.22,1.1e-26
cyan,GO:0006412,translation,236,49,10.07,1.1e-21
cyan,GO:0019685,"photosynthesis, dark reaction",12,11,0.51,7.9e-15
cyan,GO:0015995,chlorophyll biosynthetic process,20,12,0.85,2.6e-12
cyan,GO:0015977,carbon fixation,9,8,0.38,8.5e-11
cyan,GO:0022904,respiratory electron transport chain,19,14,0.81,4.7e-9
cyan,GO:0042773,ATP synthesis coupled electron transport,10,5,0.43,2.9e-5
cyan,GO:0046034,ATP metabolic process,88,33,3.75,5.4e-5
cyan,GO:0050821,protein stabilization,3,3,0.13,7.7e-5
cyan,GO:0019646,aerobic electron transport chain,4,3,0.17,3e-4
cyan,GO:0042549,photosystem II stabilization,2,2,0.09,0.0018
cyan,GO:0022900,electron transport chain,81,64,3.45,0.0393
cyan,GO:0070072,vacuolar proton-transporting V-type ATPa...,1,1,0.04,0.0427
cyan,GO:0009773,photosynthetic electron transport in pho...,1,1,0.04,0.0427
darkgreen,GO:0006468,protein phosphorylation,801,41,26.22,0.0019
darkgreen,GO:0006355,regulation of DNA-templated transcriptio...,460,24,15.06,0.0145
darkgreen,GO:0006812,monoatomic cation transport,168,9,5.5,0.0193
darkgreen,GO:0072488,ammonium transmembrane transport,7,2,0.23,0.0201
darkgreen,GO:0009694,jasmonic acid metabolic process,7,2,0.23,0.0201
darkgreen,GO:0009864,"induced systemic resistance, jasmonic ac...",7,2,0.23,0.0201
darkgreen,GO:0043419,urea catabolic process,1,1,0.03,0.0327
