gene.category,module,fisher,estimate,fisher.p.value,conf.low,conf.high,method,alternative,fisher.fdr
Carpel.expressed.3,upHermaphrodite,,2.0227097655500894,2.1101353560433264e-6,1.5677264695319095,Inf,Fisher's Exact Test for Count Data,greater,1.4504999904803878e-4
Vegetative.specific..seedling.leaf.root.stem.,upHermaphrodite,,1.5771067059611885,3.4535714059056855e-6,1.3341162217289666,Inf,Fisher's Exact Test for Count Data,greater,1.4504999904803878e-4
Megaspore.Mother.Cell,upHermaphrodite,,1.1534195328085315,1.9844509354909167e-5,1.089176682308822,Inf,Fisher's Exact Test for Count Data,greater,5.556462619374567e-4
Stamen.expressed.7,upMale,,1.279374608921698,6.311978851989601e-5,1.150893568084771,Inf,Fisher's Exact Test for Count Data,greater,0.0013255155589178163
Post.pollination.stage.pollen,upMale,,1.4514819691996794,8.987168994674525e-5,1.2320222482545848,Inf,Fisher's Exact Test for Count Data,greater,0.0015098443911053202
Micropylar.Endosperm..MCE.,upHermaphrodite,,1.3175222614461908,6.174006101701e-4,1.1443534033785452,Inf,Fisher's Exact Test for Count Data,greater,0.0086436085423814
Central.Cell,upHermaphrodite,,1.151561847856593,8.542920812815138e-4,1.0691869294675094,Inf,Fisher's Exact Test for Count Data,greater,0.010251504975378165
Stamen.all.tissues,upMale,,1.2388344411161147,0.0010397299752902274,1.1046441801447044,Inf,Fisher's Exact Test for Count Data,greater,0.010917164740547387
Early.ovule..whole.,upMale,,1.1145649951980166,0.0016368227075301389,1.0487873717581826,Inf,Fisher's Exact Test for Count Data,greater,0.015277011936947964
Mature.green.stage.seed,upHermaphrodite,,1.4285540411607938,0.0031873466356705255,1.150607137070245,Inf,Fisher's Exact Test for Count Data,greater,0.026773711739632416
Seed.Coat..SC.,upHermaphrodite,,1.299066605214021,0.0036143212255146267,1.1060005827238186,Inf,Fisher's Exact Test for Count Data,greater,0.02723710518779651
Chalazal.Seed.Coat..CZSC.,upHermaphrodite,,1.2948151912982235,0.0038910150268280726,1.1029823715910878,Inf,Fisher's Exact Test for Count Data,greater,0.02723710518779651
Early.stage.pollen,upMale,,1.5754398344473202,0.004320125125859922,1.1829416194672517,Inf,Fisher's Exact Test for Count Data,greater,0.02791465465940257
Embryo.sac,upHermaphrodite,,1.2002715450762504,0.010959741889397986,1.0524888670263188,Inf,Fisher's Exact Test for Count Data,greater,0.06170572432803579
Carpel.specific,upMale,,1.5323172944831787,0.011018879344292106,1.1256718776505952,Inf,Fisher's Exact Test for Count Data,greater,0.06170572432803579
Integuments,upHermaphrodite,,1.547646538595485,0.013526535176252796,1.1156808085595167,Inf,Fisher's Exact Test for Count Data,greater,0.07101430967532718
Stamen.spl.nzz.downregulated,upMale,,1.1833451205704164,0.017918080865829657,1.0368342412930092,Inf,Fisher's Exact Test for Count Data,greater,0.08853639957233478
Maturation.stage.pollen,upMale,,1.37482273195647,0.020782665290560363,1.0623931465571632,Inf,Fisher's Exact Test for Count Data,greater,0.09698577135594837
Stamen.sporophyte.specific,upMale,,1.2489424147468038,0.02874537887026879,1.0298776920796169,Inf,Fisher's Exact Test for Count Data,greater,0.12708483290013572
Embryo.proper..EP.,upHermaphrodite,,1.1724918202494177,0.03587183054222088,1.0137022246548997,Inf,Fisher's Exact Test for Count Data,greater,0.14835417087593272
Embryo.specific,upMale,,1.065767298841973,0.03708854271898318,1.004967455856694,Inf,Fisher's Exact Test for Count Data,greater,0.14835417087593272
Carpel.expressed.4,upMale,,1.33896433930263,0.04710023211794403,1.0049205267544934,Inf,Fisher's Exact Test for Count Data,greater,0.1798372499048772
Stamen.ms1.downregulated,upHermaphrodite,,1.1950678708559053,0.05483323868046579,0.9950710261834609,Inf,Fisher's Exact Test for Count Data,greater,0.20026052387648374
