gene.category,module,fisher,estimate,fisher.p.value,conf.low,conf.high,method,alternative,fisher.fdr
Stamen.expressed.7,in_LFY1_cluster,,2.7506888521392843,2.3486706136544684e-14,2.236263953373223,Inf,Fisher's Exact Test for Count Data,greater,9.864416577348768e-13
Stamen.spl.nzz.downregulated,in_LFY1_cluster,,3.0766426908354583,4.1787116072575795e-13,2.4214631658651418,Inf,Fisher's Exact Test for Count Data,greater,8.775294375240918e-12
Stamen.all.tissues,in_LFY1_cluster,,2.690206589733945,3.426206889745339e-12,2.1529773390201106,Inf,Fisher's Exact Test for Count Data,greater,4.796689645643475e-11
Embryo.specific,in_LFY1_cluster,,1.7156482738200634,4.6249356692386177e-10,1.484423566412661,Inf,Fisher's Exact Test for Count Data,greater,4.856182452700549e-9
Stamen.ms1.downregulated,in_LFY1_cluster,,2.8144194333329686,2.118129293892086e-6,1.9849270980467577,Inf,Fisher's Exact Test for Count Data,greater,1.7792286068693526e-5
Post.pollination.stage.pollen,in_LFY1_cluster,,2.5902740703794516,2.658086214961772e-6,1.8690766499355669,Inf,Fisher's Exact Test for Count Data,greater,1.8606603504732402e-5
Mature.pollen,in_LFY1_cluster,,2.0031825711042512,0.0016528981242599596,1.3690778824102074,Inf,Fisher's Exact Test for Count Data,greater,0.009365064590782056
Late.stamen..whole.,in_LFY1_cluster,,2.6144087845893016,0.0017838218268156297,1.5448879557391049,Inf,Fisher's Exact Test for Count Data,greater,0.009365064590782056
Embryo.sac,in_LFY1_cluster,,1.6771834215866477,0.0036673015275262696,1.2259070980852635,Inf,Fisher's Exact Test for Count Data,greater,0.017114073795122593
Intermediate.stamen..whole.,in_LFY1_cluster,,2.3454894082388793,0.004430823520529585,1.3883872483749098,Inf,Fisher's Exact Test for Count Data,greater,0.01812846235921498
Stamen.specific,in_LFY1_cluster,,2.649484806825145,0.004747930617889637,1.4493951433952867,Inf,Fisher's Exact Test for Count Data,greater,0.01812846235921498
Carpel.expressed.3,in_LFY1_cluster,,1.939504181774119,0.04245774235968993,1.0312196758724623,Inf,Fisher's Exact Test for Count Data,greater,0.14860209825891477
Stamen.sporophyte.specific,in_LFY1_cluster,,1.6075376952939555,0.04714328597104943,1.008191925728858,Inf,Fisher's Exact Test for Count Data,greater,0.15230907775262123
Stamen.expressed.8,in_LFY1_cluster,,1.6924005769416148,0.0730253468444504,0.9323454628592949,Inf,Fisher's Exact Test for Count Data,greater,0.21907604053335122
Maturation.stage.pollen,in_LFY1_cluster,,1.5404652482113443,0.1448019008216303,0.789653198992409,Inf,Fisher's Exact Test for Count Data,greater,0.40544532230056485
Early.stamen..whole.,in_LFY1_cluster,,2.967511452746367,0.15883432114424634,0.49764575350397233,Inf,Fisher's Exact Test for Count Data,greater,0.41694009300364665
Early.stage.pollen,in_LFY1_cluster,,1.3044635624264387,0.3217069578423921,0.5582371560292028,Inf,Fisher's Exact Test for Count Data,greater,0.7948054252576747
Vegetative.specific..seedling.leaf.root.stem.,in_LFY1_cluster,,1.0229267393587518,0.5081537489793823,0.5974648448178811,Inf,Fisher's Exact Test for Count Data,greater,1
Heart.stage.seed,in_LFY1_cluster,,1.0363791007487984,0.5110530668389192,0.5086753045114297,Inf,Fisher's Exact Test for Count Data,greater,1
Central.Cell,in_LFY1_cluster,,0.9918456498532189,0.5452296074516704,0.8000969624076688,Inf,Fisher's Exact Test for Count Data,greater,1
Chalazal.Seed.Coat..CZSC.,in_LFY1_cluster,,0.9543860135672131,0.6053718175304015,0.5700240797965841,Inf,Fisher's Exact Test for Count Data,greater,1
Synergid,in_LFY1_cluster,,0.9440642734338587,0.6774003048751169,0.7356921246772248,Inf,Fisher's Exact Test for Count Data,greater,1
Preglobular.stage.seed,in_LFY1_cluster,,0.8815293390113316,0.6795141999126553,0.40852812711047387,Inf,Fisher's Exact Test for Count Data,greater,1
Integuments,in_LFY1_cluster,,0.8578204091034576,0.6802758299325973,0.23011129237627326,Inf,Fisher's Exact Test for Count Data,greater,1
Linear.cotyledon.stage.seed,in_LFY1_cluster,,0.8187986711608329,0.7384386427289295,0.35216779451184393,Inf,Fisher's Exact Test for Count Data,greater,1
Globular.stage.seed,in_LFY1_cluster,,0.8034268278701052,0.77395946659233394,0.3951541626535299,Inf,Fisher's Exact Test for Count Data,greater,1
Carpel.specific,in_LFY1_cluster,,0.7284008345684422,0.7785016266476668,0.19577997721038437,Inf,Fisher's Exact Test for Count Data,greater,1
Chalazal.Endosperm..CZE.,in_LFY1_cluster,,0.8100424068656596,0.8314361197048212,0.5104075276804544,Inf,Fisher's Exact Test for Count Data,greater,1
Seed.Coat..SC.,in_LFY1_cluster,,0.7476138221847219,0.8630707125554098,0.4147749467447396,Inf,Fisher's Exact Test for Count Data,greater,1
Carpel.expressed.4,in_LFY1_cluster,,0.6025534704684591,0.87201945728044294,0.16226403398799819,Inf,Fisher's Exact Test for Count Data,greater,1
Egg.cell,in_LFY1_cluster,,0.8589591073139349,0.8919457226518273,0.6843853365397556,Inf,Fisher's Exact Test for Count Data,greater,1
Mature.ovule..whole.,in_LFY1_cluster,,0.632891585942401,0.9078163687551701,0.2727653137348395,Inf,Fisher's Exact Test for Count Data,greater,1
Unicellular.stage.pollen,in_LFY1_cluster,,0.41434198242382453,0.9099053466683851,0.02099175664640857,Inf,Fisher's Exact Test for Count Data,greater,1
Mature.green.stage.seed,in_LFY1_cluster,,0.4974796677202428,0.9569561578974008,0.1683092798400687,Inf,Fisher's Exact Test for Count Data,greater,1
Micropylar.Endosperm..MCE.,in_LFY1_cluster,,0.6221542329062788,0.9669024993942428,0.35549209596570264,Inf,Fisher's Exact Test for Count Data,greater,1
Peripheral.Endosperm..PEN.,in_LFY1_cluster,,0.6221542329062788,0.9669024993942428,0.35549209596570264,Inf,Fisher's Exact Test for Count Data,greater,1
Early.ovule..whole.,in_LFY1_cluster,,0.7898303511965211,0.9909360132897563,0.6607845582983964,Inf,Fisher's Exact Test for Count Data,greater,1
Late.ovule..whole.,in_LFY1_cluster,,0.7857471378316464,0.9918177287842539,0.6565403856203302,Inf,Fisher's Exact Test for Count Data,greater,1
Embryo.proper..EP.,in_LFY1_cluster,,0.3668894937768404,0.9993797175014638,0.17086687138544276,Inf,Fisher's Exact Test for Count Data,greater,1
Megaspore.Mother.Cell,in_LFY1_cluster,,0.6454099867260492,0.9999919855123307,0.5369000261543763,Inf,Fisher's Exact Test for Count Data,greater,1
Ovule.Nucellus,in_LFY1_cluster,,0.6243235758360253,0.9999999941320838,0.541679839145064,Inf,Fisher's Exact Test for Count Data,greater,1
