module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0031122,cytoplasmic microtubule organization,13,4,0.28,0.00012
black,GO:0007020,microtubule nucleation,14,4,0.3,0.00016
black,GO:0006527,arginine catabolic process,4,2,0.08,0.00260
black,GO:0009694,jasmonic acid metabolic process,6,2,0.13,0.00633
black,GO:0009864,"induced systemic resistance, jasmonic ac...",6,2,0.13,0.00633
black,GO:0008295,spermidine biosynthetic process,7,2,0.15,0.00874
black,GO:0010411,xyloglucan metabolic process,21,3,0.45,0.00937
black,GO:0009611,response to wounding,8,2,0.17,0.01149
black,GO:0070588,calcium ion transmembrane transport,10,2,0.21,0.01796
black,GO:0030212,hyaluronan metabolic process,1,1,0.02,0.02121
black,GO:0009873,ethylene-activated signaling pathway,1,1,0.02,0.02121
black,GO:0071929,alpha-tubulin acetylation,1,1,0.02,0.02121
black,GO:0042546,cell wall biogenesis,33,3,0.7,0.03198
black,GO:0051252,regulation of RNA metabolic process,459,13,9.74,0.04110
black,GO:0000162,tryptophan biosynthetic process,2,1,0.04,0.04198
black,GO:0006979,response to oxidative stress,91,5,1.93,0.04333
black,GO:0042545,cell wall modification,65,4,1.38,0.04842
blue,GO:0006468,protein phosphorylation,769,165,105.69,1.3e-10
blue,GO:0009664,plant-type cell wall organization,52,20,7.15,5.3e-06
blue,GO:0006979,response to oxidative stress,91,29,12.51,1.2e-05
blue,GO:0005975,carbohydrate metabolic process,354,68,48.65,3.4e-05
blue,GO:0046274,lignin catabolic process,26,11,3.57,0.00033
blue,GO:0006508,proteolysis,207,42,28.45,0.00352
blue,GO:0045893,positive regulation of DNA-templated tra...,4,3,0.55,0.00929
blue,GO:0046835,carbohydrate phosphorylation,4,3,0.55,0.00929
blue,GO:0051225,spindle assembly,4,3,0.55,0.00929
blue,GO:0006075,(1->3)-beta-D-glucan biosynthetic proces...,13,5,1.79,0.02404
blue,GO:0000910,cytokinesis,13,5,1.79,0.02404
blue,GO:0007017,microtubule-based process,137,34,18.83,0.04352
brown,GO:0042545,cell wall modification,65,26,9.92,1e-06
brown,GO:0007165,signal transduction,238,50,36.32,9e-05
brown,GO:0042546,cell wall biogenesis,33,13,5.04,0.00042
brown,GO:0006855,xenobiotic transmembrane transport,26,10,3.97,0.00335
