module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0031122,cytoplasmic microtubule organization,13,4,0.28,0.00012
black,GO:0007020,microtubule nucleation,14,4,0.3,0.00016
black,GO:0006527,arginine catabolic process,4,2,0.08,0.00260
blue,GO:0046274,lignin catabolic process,26,11,3.57,0.00033
blue,GO:0006508,proteolysis,207,42,28.45,0.00352
blue,GO:0045893,positive regulation of DNA-templated tra...,4,3,0.55,0.00929
blue,GO:0046835,carbohydrate phosphorylation,4,3,0.55,0.00929
blue,GO:0051225,spindle assembly,4,3,0.55,0.00929
brown,GO:0042546,cell wall biogenesis,33,13,5.04,0.00042
brown,GO:0006855,xenobiotic transmembrane transport,26,10,3.97,0.00335
brown,GO:0006289,nucleotide-excision repair,9,5,1.37,0.00603
cyan,GO:0006904,vesicle docking involved in exocytosis,3,2,0.05,0.00084
cyan,GO:0016192,vesicle-mediated transport,48,8,0.81,0.00568
cyan,GO:0006812,monoatomic cation transport,159,4,2.69,0.01062
darkgreen,GO:0006850,mitochondrial pyruvate transmembrane tra...,2,2,0.03,0.00027
darkgreen,GO:0006465,signal peptide processing,3,2,0.05,0.00081
darkgreen,GO:0006413,translational initiation,15,3,0.25,0.00174
darkgrey,GO:0006779,porphyrin-containing compound biosynthet...,30,7,1.47,0.00056
darkgrey,GO:0045454,cell redox homeostasis,98,13,4.79,0.00087
darkgrey,GO:0000413,protein peptidyl-prolyl isomerization,17,5,0.83,0.00102
darkorange2,GO:0006428,isoleucyl-tRNA aminoacylation,1,1,0.01,0.0078
darkorange2,GO:0071951,conversion of methionyl-tRNA to N-formyl...,1,1,0.01,0.0078
darkorange2,GO:0017009,protein-phycocyanobilin linkage,1,1,0.01,0.0078
darkred,GO:0015914,phospholipid transport,14,4,0.56,0.0018
darkred,GO:0007018,microtubule-based movement,78,9,3.1,0.0035
darkred,GO:0006303,double-strand break repair via nonhomolo...,3,2,0.12,0.0046
darkslateblue,GO:0006419,alanyl-tRNA aminoacylation,1,1,0,0.0036
darkslateblue,GO:0016560,"protein import into peroxisome matrix, d...",2,1,0.01,0.0071
darkslateblue,GO:0009107,lipoate biosynthetic process,2,1,0.01,0.0071
green,GO:0006265,DNA topological change,11,4,0.63,0.0025
green,GO:0045132,meiotic chromosome segregation,2,2,0.11,0.0032
