Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BA12-S5_R1_001_trimmed_1U - polya	(1, 0.017966835792089332)	(2, 0.018415259314354455)	(3, 0.018833787935135238)	(4, 0.019282211457400365)	(5, 0.019640950275212465)	(6, 0.020089373797477588)	(7, 0.02068727182716442)	(8, 0.021285169856851253)	(9, 0.021643908674663353)	(10, 0.022196964352123674)	(12, 0.02304896904442741)	(14, 0.023781394130793783)	(16, 0.024738030978292712)	(18, 0.02578435253024467)	(20, 0.02666625212403275)	(22, 0.027563099168562998)	(24, 0.028444998762351077)	(26, 0.029132581496490936)	(28, 0.03010416579473204)	(30, 0.030836590881098414)	(32, 0.031942702236019055)	(34, 0.03264523242090108)	(36, 0.033586921817657836)	(38, 0.03443892650996158)	(40, 0.035081666891874926)	(42, 0.035769249626014785)	(44, 0.03647177981089681)	(46, 0.03730883705245838)	(48, 0.03834021115366816)	(50, 0.039102531141518876)	(52, 0.040537486412767276)	(54, 0.04179307227510963)	(56, 0.042525497361476)	(58, 0.04363160871639664)	(60, 0.04448361340870037)	(62, 0.04547014515768365)	(64, 0.046322149849987386)	(66, 0.04723394434525981)	(68, 0.048444687855375645)	(70, 0.04941627215361674)	(72, 0.050507436057795216)	(74, 0.05222639289314486)	(76, 0.05352682110771372)	(78, 0.05461798501189219)	(80, 0.055768938719039346)	(82, 0.05675547046802262)	(84, 0.05771210731552155)	(86, 0.05929653709419166)	(88, 0.060477385702823155)	(90, 0.06177781391739201)	(92, 0.06298855742750785)	(94, 0.06448330250172493)	(96, 0.06569404601184077)	(98, 0.06727847579051088)	(100, 0.06917680203476657)	(102, 0.07077617926417885)	(104, 0.07295850707253579)	(106, 0.07470735880936977)	(108, 0.07666547485659415)	(110, 0.07844422149491248)	(112, 0.08047707479584772)	(114, 0.08236045358936124)	(116, 0.08460257120068687)	(118, 0.08694932096720769)	(120, 0.08866827780255733)	(122, 0.09038723463790697)	(124, 0.09174745265544451)	(126, 0.09301798596852903)	(128, 0.09533484083356553)	(130, 0.09684453335852478)	(132, 0.09833927843274184)	(134, 0.10002834036660715)	(136, 0.1017472972019568)	(138, 0.10337656933285341)
BA12-S5_R1_001_trimmed_2U - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0005371175051966119)	(26, 0.0005371175051966119)	(28, 0.0005371175051966119)	(30, 0.0005371175051966119)	(32, 0.0010742350103932238)	(34, 0.0016113525155898355)	(36, 0.0016113525155898355)	(38, 0.0016113525155898355)	(40, 0.0016113525155898355)	(42, 0.0016113525155898355)	(44, 0.0016113525155898355)	(46, 0.0016113525155898355)	(48, 0.0016113525155898355)	(50, 0.0024170287733847533)	(52, 0.003222705031179671)	(54, 0.003491263783777977)	(56, 0.004296940041572895)	(58, 0.004296940041572895)	(60, 0.004296940041572895)	(62, 0.005639733804564425)	(64, 0.006176851309761037)	(66, 0.006982527567555954)	(68, 0.00725108632015426)	(70, 0.00859388008314579)	(72, 0.008862438835744096)	(74, 0.009130997588342401)	(76, 0.011010908856530544)	(78, 0.011816585114325462)	(80, 0.01584496640330005)	(82, 0.016382083908496662)	(84, 0.018261995176684802)	(86, 0.020679023950069556)	(88, 0.023364611476052614)	(90, 0.024170287733847533)	(92, 0.025244522744240758)	(94, 0.028467227775420427)	(96, 0.0316899328066001)	(98, 0.03571831409557469)	(100, 0.041089489147540806)	(102, 0.04431219417872048)	(104, 0.051026162993678126)	(106, 0.05612877929304594)	(108, 0.0585458080664307)	(110, 0.06499121812879004)	(112, 0.07036239318075616)	(114, 0.07519645072752565)	(116, 0.07976194952169686)	(118, 0.08271609580027822)	(120, 0.08943006461523587)	(122, 0.09292132839901385)	(124, 0.09668115093539015)	(126, 0.10446935476074101)	(128, 0.107960618544519)	(130, 0.11386891110168171)	(132, 0.12031432116404106)	(134, 0.12944531875238346)	(136, 0.1356221700621445)	(138, 0.14153046261930724)
BA12-S5_R1_001_trimmed_2U - polya	(1, 0.0021484700207864476)	(2, 0.0021484700207864476)	(3, 0.0021484700207864476)	(4, 0.0026855875259830593)	(5, 0.003759822536376283)	(6, 0.004296940041572895)	(7, 0.004296940041572895)	(8, 0.004296940041572895)	(9, 0.004296940041572895)	(10, 0.004296940041572895)	(12, 0.004296940041572895)	(14, 0.005102616299367813)	(16, 0.005639733804564425)	(18, 0.006713968814957648)	(20, 0.008056762577949177)	(22, 0.009668115093539013)	(24, 0.011010908856530544)	(26, 0.012085143866923768)	(28, 0.013696496382513603)	(30, 0.01450217264030852)	(32, 0.017993436424086497)	(34, 0.018799112681881416)	(36, 0.02121614145526617)	(38, 0.021484700207864475)	(40, 0.0225589352182577)	(42, 0.024438846486445842)	(44, 0.026050199002035673)	(46, 0.026855875259830596)	(48, 0.027930110270223817)	(50, 0.029541462785813655)	(52, 0.030078580291010265)	(54, 0.030615697796206875)	(56, 0.03195849155919841)	(58, 0.032764167816993324)	(60, 0.03410696157998486)	(62, 0.03437552033258316)	(64, 0.03464407908518147)	(66, 0.03544975534297638)	(68, 0.03679254910596791)	(70, 0.038403901621557754)	(72, 0.040552371642344195)	(74, 0.0408209303949425)	(76, 0.04189516540533572)	(78, 0.043237959168327254)	(80, 0.04404363542612217)	(82, 0.0451178704365154)	(84, 0.04619210544690862)	(86, 0.04753489920990015)	(88, 0.048877692972891684)	(90, 0.051026162993678126)	(92, 0.05210039800407135)	(94, 0.05451742677745611)	(96, 0.05586022054044763)	(98, 0.057203014303439166)	(100, 0.05827724931383239)	(102, 0.06015716058202053)	(104, 0.06364842436579851)	(106, 0.06660257064437987)	(108, 0.06660257064437987)	(110, 0.06982527567555954)	(112, 0.07116806943855107)	(114, 0.07439077446973075)	(116, 0.07815059700610702)	(118, 0.07976194952169686)	(120, 0.08352177205807315)	(122, 0.08540168332626129)	(124, 0.08835582960484265)	(126, 0.094801239667202)	(128, 0.10017241471916812)	(130, 0.1047379135133393)	(132, 0.11091476482310035)	(134, 0.11413746985428003)	(136, 0.12031432116404106)	(138, 0.13051955376277669)
BA12-WYS_R1_001_trimmed_2U - illumina_universal_adapter	(1, 0.0004508789885882528)	(2, 0.0004508789885882528)	(3, 0.0004508789885882528)	(4, 0.0004508789885882528)	(5, 0.0004508789885882528)	(6, 0.0009017579771765056)	(7, 0.0009017579771765056)	(8, 0.0009017579771765056)	(9, 0.0009017579771765056)	(10, 0.0009017579771765056)	(12, 0.0009017579771765056)	(14, 0.0009017579771765056)	(16, 0.001127197471470632)	(18, 0.0013526369657647585)	(20, 0.0013526369657647585)	(22, 0.0013526369657647585)	(24, 0.0013526369657647585)	(26, 0.0013526369657647585)	(28, 0.0013526369657647585)	(30, 0.0013526369657647585)	(32, 0.002254394942941264)	(34, 0.002254394942941264)	(36, 0.002254394942941264)	(38, 0.002254394942941264)	(40, 0.002705273931529517)	(42, 0.002705273931529517)	(44, 0.0031561529201177695)	(46, 0.0036070319087060224)	(48, 0.0036070319087060224)	(50, 0.0038324714030001485)	(52, 0.0042833503915884015)	(54, 0.004508789885882528)	(56, 0.006763184828823792)	(58, 0.006763184828823792)	(60, 0.006988624323117918)	(62, 0.007214063817412045)	(64, 0.007439503311706171)	(66, 0.00811582179458855)	(68, 0.00811582179458855)	(70, 0.009017579771765056)	(72, 0.01059565623182394)	(74, 0.012173732691882825)	(76, 0.013300930163353458)	(78, 0.01442812763482409)	(80, 0.018035159543530112)	(82, 0.02006411499217725)	(84, 0.022769388923706765)	(86, 0.025023783866648032)	(88, 0.02637642083241279)	(90, 0.02840537628105993)	(92, 0.029758013246824686)	(94, 0.0315615292011777)	(96, 0.034717682121295466)	(98, 0.03855015352429561)	(100, 0.04170630644441338)	(102, 0.045087898858825276)	(104, 0.04892037026182543)	(106, 0.05275284166482558)	(108, 0.05748707104500223)	(110, 0.059966905482237626)	(112, 0.062221300425178885)	(114, 0.06650465081676729)	(116, 0.06966080373688506)	(118, 0.07462047261135585)	(120, 0.07642398856570885)	(122, 0.07912926249723837)	(124, 0.08476524985459152)	(126, 0.09130299518912119)	(128, 0.0946845876035331)	(130, 0.101673211926651)	(132, 0.10550568332965116)	(134, 0.11384694461853384)	(136, 0.11925749248159287)	(138, 0.12511891933324015)
BA12-gam_R1_001_trimmed_1U - polya	(1, 0.012858274145672506)	(2, 0.013668904472247511)	(3, 0.014088196020475964)	(4, 0.014759062497641485)	(5, 0.015625598363980284)	(6, 0.0163244176110277)	(7, 0.017135047937602708)	(8, 0.018029536573823404)	(9, 0.018700403050988926)	(10, 0.019678749996855316)	(12, 0.02075493163730834)	(14, 0.022152570131403176)	(16, 0.023480326700793273)	(18, 0.025241351203352767)	(20, 0.026205721764278204)	(22, 0.027379738099317867)	(24, 0.028525801664475634)	(26, 0.0296998179995153)	(28, 0.031027574568905394)	(30, 0.0326488352220554)	(32, 0.03378092240227222)	(34, 0.03468938742343387)	(36, 0.0361988369970563)	(38, 0.037582499106210185)	(40, 0.03856084605207657)	(42, 0.03942738191841537)	(44, 0.04037777609439985)	(46, 0.04176143820355375)	(48, 0.042837619844006775)	(50, 0.04423525833810161)	(52, 0.04584254260631067)	(54, 0.047729354573338705)	(56, 0.04940652076625251)	(58, 0.050566560716351225)	(60, 0.05140514381280813)	(62, 0.05284471146172581)	(64, 0.053906916717237886)	(66, 0.055011051127572805)	(68, 0.05667424093554567)	(70, 0.05819766689410903)	(72, 0.060433888484660775)	(74, 0.061971290828165104)	(76, 0.06390003195001598)	(78, 0.06580082030198495)	(80, 0.06751991564972161)	(82, 0.06907129437816686)	(84, 0.0714193270482462)	(86, 0.07322228070562854)	(88, 0.07562621891547167)	(90, 0.0774012198029721)	(92, 0.07928803177000014)	(94, 0.08158015890031567)	(96, 0.08377445133604457)	(98, 0.08620634231576958)	(100, 0.08782760296891959)	(102, 0.09052504526252263)	(104, 0.09266343215848773)	(106, 0.09475988989963)	(108, 0.09687032402571319)	(110, 0.09948390800967054)	(112, 0.10163627129057659)	(114, 0.10391442203595118)	(116, 0.10624847832108955)	(118, 0.10889001507492879)	(120, 0.11196481976193745)	(122, 0.11469021482542238)	(124, 0.11755537373831679)	(126, 0.12026679241686078)	(128, 0.1234254554135151)	(130, 0.12620675601676384)	(132, 0.12788392220967765)	(134, 0.1298685688712923)	(136, 0.13253805839501345)	(138, 0.13515164237897082)
BA12-gam_R1_001_trimmed_2U - illumina_universal_adapter	(1, 0.0005233711381752142)	(2, 0.0005233711381752142)	(3, 0.0005233711381752142)	(4, 0.0005233711381752142)	(5, 0.0005233711381752142)	(6, 0.0005233711381752142)	(7, 0.0005233711381752142)	(8, 0.0005233711381752142)	(9, 0.0005233711381752142)	(10, 0.0010467422763504285)	(12, 0.0010467422763504285)	(14, 0.0010467422763504285)	(16, 0.0010467422763504285)	(18, 0.0015701134145256425)	(20, 0.0015701134145256425)	(22, 0.0018317989836132498)	(24, 0.002093484552700857)	(26, 0.002093484552700857)	(28, 0.002093484552700857)	(30, 0.002093484552700857)	(32, 0.002093484552700857)	(34, 0.002093484552700857)	(36, 0.002355170121788464)	(38, 0.002616855690876071)	(40, 0.002616855690876071)	(42, 0.002616855690876071)	(44, 0.004186969105401714)	(46, 0.004448654674489321)	(48, 0.004710340243576928)	(50, 0.005233711381752142)	(52, 0.00628045365810257)	(54, 0.006803824796277784)	(56, 0.006803824796277784)	(58, 0.007065510365365391)	(60, 0.00811225264171582)	(62, 0.009158994918066248)	(64, 0.010990793901679497)	(66, 0.012037536178029926)	(68, 0.013607649592555568)	(70, 0.014654391868905997)	(72, 0.016747876421606855)	(74, 0.018841360974307712)	(76, 0.019888103250658137)	(78, 0.021196531096096177)	(80, 0.022243273372446602)	(82, 0.02250495894153421)	(84, 0.02250495894153421)	(86, 0.02512181463241028)	(88, 0.028000355892373957)	(90, 0.03401912398138893)	(92, 0.037682721948615425)	(94, 0.03794440751770303)	(96, 0.04082294877766671)	(98, 0.042131376623104747)	(100, 0.044486546744893204)	(102, 0.047888459143032094)	(104, 0.05495396950839749)	(106, 0.05809419633744878)	(108, 0.060449366459237236)	(110, 0.06620644897916458)	(112, 0.06829993353186545)	(114, 0.07196353149909196)	(116, 0.07719724288084409)	(118, 0.08059915527898298)	(120, 0.0850478099534723)	(122, 0.09106657804248727)	(124, 0.09708534613150224)	(126, 0.10284242865142959)	(128, 0.10519759877321805)	(130, 0.10886119674044456)	(132, 0.11409490812219669)	(134, 0.11618839267489756)	(136, 0.11959030507303645)	(138, 0.1216837896257373)
BA12-gam_R1_001_trimmed_2U - polya	(1, 0.0005233711381752142)	(2, 0.0010467422763504285)	(3, 0.002616855690876071)	(4, 0.003140226829051285)	(5, 0.003140226829051285)	(6, 0.003140226829051285)	(7, 0.003663597967226499)	(8, 0.004710340243576928)	(9, 0.005233711381752142)	(10, 0.006803824796277784)	(12, 0.00811225264171582)	(14, 0.00994405162532907)	(16, 0.012037536178029926)	(18, 0.012822592885292746)	(20, 0.013869335161643175)	(22, 0.01622450528343164)	(24, 0.01727124755978207)	(26, 0.018841360974307712)	(28, 0.019626417681570533)	(30, 0.02250495894153421)	(32, 0.02407507235605985)	(34, 0.02721529918511114)	(36, 0.02904709816872439)	(38, 0.03271069613595089)	(40, 0.03558923739591456)	(42, 0.036374294103177385)	(44, 0.03742103637952782)	(46, 0.03820609308679064)	(48, 0.0405612632085791)	(50, 0.042393062192192354)	(52, 0.04343980446854277)	(54, 0.04474823231398081)	(56, 0.04684171686668167)	(58, 0.047888459143032094)	(60, 0.050767000402995775)	(62, 0.05129037154117099)	(64, 0.05207542824843381)	(66, 0.053907227232047064)	(68, 0.05495396950839749)	(70, 0.05757082519927356)	(72, 0.06097273759741245)	(74, 0.06385127885737613)	(76, 0.06515970670281417)	(78, 0.06594476341007699)	(80, 0.06856161910095306)	(82, 0.07117847479182912)	(84, 0.07588881503540607)	(86, 0.07876735629536974)	(88, 0.08007578414080777)	(90, 0.08216926869350863)	(92, 0.08530949552255991)	(94, 0.08792635121343598)	(96, 0.08949646462796162)	(98, 0.0923750058879253)	(100, 0.09525354714788897)	(102, 0.09813208840785266)	(104, 0.0994405162532907)	(106, 0.10153400080599155)	(108, 0.10153400080599155)	(110, 0.10415085649686762)	(112, 0.10598265548048087)	(114, 0.10781445446409413)	(116, 0.11252479470767104)	(118, 0.11671176381307277)	(120, 0.11906693393486123)	(122, 0.1219454751948249)	(124, 0.12560907316205142)	(126, 0.1290109855601903)	(128, 0.13110447011289117)	(130, 0.13581481035646809)	(132, 0.1468056042581476)	(134, 0.15360942905442537)	(136, 0.16041325385070315)	(138, 0.1653852796633677)
BA14-S5_R1_001_trimmed_1U - polya	(1, 0.06815020037197106)	(2, 0.06928727299333873)	(3, 0.06983109033399283)	(4, 0.07054794046485506)	(5, 0.07163557514616327)	(6, 0.07252545806723362)	(7, 0.0739097203888986)	(8, 0.07477488433993923)	(9, 0.07568948623103931)	(10, 0.07703667009765972)	(12, 0.07855688675448821)	(14, 0.07971867834588563)	(16, 0.0809299078773425)	(18, 0.0819804641036061)	(20, 0.08283326856963186)	(22, 0.08408157655613333)	(24, 0.08481078617201042)	(26, 0.0855029173328429)	(28, 0.0863433623138538)	(30, 0.08745571596519174)	(32, 0.08859278858655942)	(34, 0.08953210944768922)	(36, 0.0905579467039231)	(38, 0.0911388424996218)	(40, 0.09200400645066242)	(42, 0.09288152988671791)	(44, 0.09363545847262472)	(46, 0.09450062242366536)	(48, 0.09582308732025602)	(50, 0.09709611427678722)	(52, 0.09881408269385358)	(54, 0.1002972208956375)	(56, 0.10196575137264441)	(58, 0.10354776545454725)	(60, 0.1049814657162717)	(62, 0.10613089782265425)	(64, 0.10711965662384353)	(66, 0.1085780758555977)	(68, 0.1099994166323073)	(70, 0.11143311689403176)	(72, 0.11299041200590487)	(74, 0.11411512514225766)	(76, 0.11615444016971056)	(78, 0.11795892498188099)	(80, 0.11944206318366492)	(82, 0.12138250233099887)	(84, 0.12347125529851122)	(86, 0.12559708672106817)	(88, 0.12721617925801562)	(90, 0.12945324604570635)	(92, 0.13154199901321872)	(94, 0.13416220983637028)	(96, 0.13646107404913538)	(98, 0.13904420641724236)	(100, 0.14156554136027505)	(102, 0.1444823798237834)	(104, 0.147930676142931)	(106, 0.15073627924130562)	(108, 0.1533194116094126)	(110, 0.15649579925823315)	(112, 0.1600058930024551)	(114, 0.16305868580112698)	(116, 0.1671991132811071)	(118, 0.172278861622217)	(120, 0.17640692961718224)	(122, 0.18091814164760833)	(124, 0.18578777874346553)	(126, 0.1904967425341295)	(128, 0.1952551442648529)	(130, 0.19891355182925324)	(132, 0.20236184814840083)	(134, 0.20581014446754844)	(136, 0.20865282602096763)	(138, 0.21202696543002603)
BA14-S5_R1_001_trimmed_2U - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0012970056462979136)	(4, 0.0012970056462979136)	(5, 0.0012970056462979136)	(6, 0.0012970056462979136)	(7, 0.0012970056462979136)	(8, 0.0012970056462979136)	(9, 0.0017293408617305515)	(10, 0.0017293408617305515)	(12, 0.0017293408617305515)	(14, 0.0021616760771631894)	(16, 0.0021616760771631894)	(18, 0.0021616760771631894)	(20, 0.003674849331177422)	(22, 0.0038910169388937407)	(24, 0.004323352154326379)	(26, 0.004323352154326379)	(28, 0.004323352154326379)	(30, 0.004323352154326379)	(32, 0.004323352154326379)	(34, 0.004539519762042698)	(36, 0.004971854977475335)	(38, 0.005188022585191654)	(40, 0.005620357800624292)	(42, 0.0062688606237732486)	(44, 0.007133531054638525)	(46, 0.0079982014855038)	(48, 0.00821436909322012)	(50, 0.00821436909322012)	(52, 0.00843053670093644)	(54, 0.008646704308652758)	(56, 0.008862871916369076)	(58, 0.01015987756266699)	(60, 0.010808380385815946)	(62, 0.011024547993532266)	(64, 0.011889218424397541)	(66, 0.012321553639830177)	(68, 0.012970056462979135)	(70, 0.014699397324709687)	(72, 0.015131732540142325)	(74, 0.016861073401872876)	(76, 0.019455084694468702)	(78, 0.020752090340766617)	(80, 0.023129934025646125)	(82, 0.025075442495092998)	(84, 0.026804783356823545)	(86, 0.0285341242185541)	(88, 0.02939879464941937)	(90, 0.0330736439805968)	(92, 0.03458681723461103)	(94, 0.03739699613492317)	(96, 0.041504180681533234)	(98, 0.04366585675869643)	(100, 0.04863771173617176)	(102, 0.05166405824420023)	(104, 0.05620357800624293)	(106, 0.05879758929883874)	(108, 0.061823935806867215)	(110, 0.06657962317662623)	(112, 0.06960596968465468)	(114, 0.07479399226984634)	(116, 0.07803650638559113)	(118, 0.08300836136306647)	(120, 0.08927722198683971)	(122, 0.09273590371030083)	(124, 0.09532991500289664)	(126, 0.09705925586462719)	(128, 0.09922093194179038)	(130, 0.10354428409611677)	(132, 0.11111015036618793)	(134, 0.11500116730508167)	(136, 0.11759517859767749)	(138, 0.12429637443688338)
BA14-S5_R1_001_trimmed_2U - polya	(1, 0.004755687369759017)	(2, 0.005188022585191654)	(3, 0.005188022585191654)	(4, 0.005188022585191654)	(5, 0.005620357800624292)	(6, 0.006485028231489567)	(7, 0.007349698662354844)	(8, 0.007349698662354844)	(9, 0.007782033877787481)	(10, 0.00843053670093644)	(12, 0.008862871916369076)	(14, 0.009079039524085395)	(16, 0.009511374739518033)	(18, 0.00994370995495067)	(20, 0.010592212778099627)	(22, 0.010808380385815946)	(24, 0.011024547993532266)	(26, 0.011673050816681222)	(28, 0.012321553639830177)	(30, 0.01383472689384441)	(32, 0.014915564932426007)	(34, 0.0159964029710076)	(36, 0.01686107340187288)	(38, 0.01772574383273815)	(40, 0.01815807904817079)	(42, 0.019022749479036066)	(44, 0.019455084694468702)	(46, 0.020319755125333978)	(48, 0.0205359227330503)	(50, 0.02226526359478085)	(52, 0.023346101633362443)	(54, 0.024426939671944037)	(56, 0.02680478335682355)	(58, 0.02939879464941937)	(60, 0.030047297472568332)	(62, 0.030479632688000968)	(64, 0.031128135511149926)	(66, 0.033505979196029434)	(68, 0.03566765527319263)	(70, 0.03739699613492317)	(72, 0.039991007427519)	(74, 0.04085567785838427)	(76, 0.041504180681533234)	(78, 0.042368851112398506)	(80, 0.04539519762042697)	(82, 0.04647603565900857)	(84, 0.0490700469516044)	(86, 0.05015088499018599)	(88, 0.0514478906364839)	(90, 0.05317723149821446)	(92, 0.05577124279081028)	(94, 0.05836525408340611)	(96, 0.05966225972970403)	(98, 0.060959265376001937)	(100, 0.06355327666859777)	(102, 0.06657962317662622)	(104, 0.07328081901583211)	(106, 0.0754424950929953)	(108, 0.07803650638559113)	(110, 0.08084668528590327)	(112, 0.08408919940164807)	(114, 0.0866832106942439)	(116, 0.08970955720227236)	(118, 0.09511374739518033)	(120, 0.09986943476493934)	(122, 0.10138260801895357)	(124, 0.1039766193115494)	(126, 0.11024547993532266)	(128, 0.12429637443688339)	(130, 0.13272691113781981)	(132, 0.13856343654616043)	(134, 0.14872331410882741)	(136, 0.15715385080976385)	(138, 0.16277420861038816)
