Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA12-S5_R1_001_trimmed_1P	(1, 0.0)	(2, 0.020444567331374598)	(3, 0.024465833332214824)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002952865554689083)	(15, 0.0008525728183356845)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.00040158971543771536)	(40, 7.194254260515221e-05)	(45, 6.0131080386395874e-05)	(50, 0.0)	(55, 0.0)	(60, 7.320407080517341e-05)	(65, 0.00014763767223712582)	(70, 2.5890287705174867e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 4.007850143580148e-05)	(95, 0.0)	(100, 0.0)	(105, 2.173449366405278e-06)	(110, 0.0)	(115, 3.7034768960009875e-05)	(120, 7.634106689062082e-06)	(125, 0.0)	(130, 8.638588425783032e-05)	(135, 4.1611080286060845e-05)	(140, 5.48314730549807e-06)	(145, 0.0)	(150, 0.0)
BA12-S5_R1_001_trimmed_1U	(1, 0.0)	(2, 0.020597587122711394)	(3, 0.029476372863560862)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005201712858275447)	(15, 0.0008011833597803562)	(20, 0.0)	(25, 5.978980296868329e-06)	(30, 0.00010762164534362993)	(35, 0.0035275983751523144)	(40, 0.000633771911468043)	(45, 0.0016023667195607125)	(50, 5.994521367141715e-06)	(55, 0.00025345978643237006)	(60, 0.0023530062695152837)	(65, 0.0011102439758069863)	(70, 0.0012214187243490442)	(75, 1.8857325288295502e-05)	(80, 0.0)	(85, 2.6172837567444128e-05)	(90, 0.0003907528736673727)	(95, 7.697376657061507e-05)	(100, 0.0)	(105, 0.0005704745950079722)	(110, 0.0)	(115, 0.00228895229234835)	(120, 9.587938118168994e-05)	(125, 0.0)	(130, 0.004336678347110648)	(135, 0.003181203950026093)	(140, 0.002336576324926949)	(145, 0.0)	(150, 0.0)
BA12-S5_R1_001_trimmed_2P	(1, 0.0)	(2, 0.004236019859363067)	(3, 5.368846463071061e-06)	(4, 0.0)	(5, 5.368846463071061e-06)	(6, 0.00043487656350875594)	(7, 0.0)	(8, 0.00030602424839505047)	(9, 0.0)	(10, 0.0009867939799124608)	(15, 0.0005186305683326645)	(20, 0.0)	(25, 0.0)	(30, 0.00014495885450291864)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 5.385280930773e-06)	(60, 2.158882760900172e-06)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00011657080588099933)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.320897392591476e-05)	(105, 7.174311136165522e-05)	(110, 0.0)	(115, 0.00033974481389534083)	(120, 1.11390340704177e-06)	(125, 0.0)	(130, 2.3565977977144704e-05)	(135, 7.885737821905816e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA12-S5_R1_001_trimmed_2U	(1, 0.0)	(2, 0.01987334769227464)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004296940041572895)	(7, 0.0)	(8, 0.004834057546769507)	(9, 0.0)	(10, 0.0025781640249437367)	(15, 0.0003222705031179671)	(20, 0.00021484700207864476)	(25, 0.0)	(30, 0.0016113525155898355)	(35, 0.0)	(40, 0.0)	(45, 0.00010742350103932238)	(50, 0.0)	(55, 0.00022572548169817793)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0006609472696268292)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0004584877545562221)	(110, 0.0)	(115, 0.00048496762032854937)	(120, 0.0)	(125, 0.0)	(130, 0.00017689503225680914)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA12-WYS_R1_001_trimmed_1P	(1, 0.0)	(2, 0.01992582798805349)	(3, 0.02470236808625466)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002829309465833446)	(15, 0.0008288212435206214)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.000420235670660556)	(40, 5.741833915956112e-05)	(45, 7.239703633162054e-05)	(50, 0.0)	(55, 0.0)	(60, 9.426333057005523e-05)	(65, 0.00010354403595496505)	(70, 2.925538141665908e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 3.441037470447363e-05)	(95, 0.0)	(100, 0.0)	(105, 4.2100886792870974e-06)	(110, 0.0)	(115, 3.8823639339261156e-05)	(120, 1.3520235377157741e-05)	(125, 0.0)	(130, 9.2354090429177e-05)	(135, 4.7514167770303414e-05)	(140, 7.647289276840973e-06)	(145, 0.0)	(150, 0.0)
BA12-WYS_R1_001_trimmed_1U	(1, 0.0)	(2, 0.020035397645361205)	(3, 0.028614384403082362)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005701562627802258)	(15, 0.0008578986757721155)	(20, 0.0)	(25, 3.7299942424874586e-05)	(30, 9.591413766396323e-05)	(35, 0.003793937000930101)	(40, 0.0007619845381081523)	(45, 0.0016198832138802678)	(50, 1.068724545653134e-05)	(55, 0.000296068628492762)	(60, 0.0024151785232122266)	(65, 0.0013040619282571975)	(70, 0.0013521425224717499)	(75, 2.809916194249506e-05)	(80, 0.0)	(85, 1.7545826628634333e-05)	(90, 0.00048727810122282136)	(95, 6.862603136346885e-05)	(100, 0.0)	(105, 0.0006374684409815435)	(110, 0.0)	(115, 0.002695001811958665)	(120, 9.255932265828153e-05)	(125, 0.0)	(130, 0.004808102237960471)	(135, 0.0035014285447872674)	(140, 0.0016843000775438545)	(145, 0.0)	(150, 0.0)
BA12-WYS_R1_001_trimmed_2P	(1, 0.0)	(2, 0.004152427716032029)	(3, 0.0)	(4, 0.0)	(5, 4.16074921446095e-06)	(6, 0.0005159329025931579)	(7, 0.0)	(8, 0.0002787701973688837)	(9, 8.3214984289219e-06)	(10, 0.000967790267283617)	(15, 0.0004942970066779609)	(20, 0.0)	(25, 0.0)	(30, 0.00015727632030662392)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 3.339324331633609e-06)	(60, 8.367503918271978e-07)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00013265050261993615)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 1.3668344105654317e-05)	(105, 8.310712915058636e-05)	(110, 0.0)	(115, 0.00031729767776554976)	(120, 1.7304507646005355e-06)	(125, 0.0)	(130, 2.1803977549613012e-05)	(135, 5.254769853122614e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA12-WYS_R1_001_trimmed_2U	(1, 0.0)	(2, 0.02119131246364788)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0031561529201177695)	(7, 0.0)	(8, 0.006312305840235539)	(9, 0.0)	(10, 0.002254394942941264)	(15, 0.00036070319087060223)	(20, 0.0)	(25, 0.0)	(30, 0.0019838675497883124)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0013313112195143598)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.000770641636226322)	(110, 0.0)	(115, 0.0005437065289639264)	(120, 0.0)	(125, 0.0)	(130, 0.0001488177176421916)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
BA12-gam_R1_001_trimmed_1P	(1, 0.0)	(2, 0.019981977116921353)	(3, 0.024254053437906986)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002659049792467029)	(15, 0.0008475721213488655)	(20, 0.0)	(25, 9.775918354658195e-07)	(30, 0.0)	(35, 0.0003705073056415456)	(40, 7.038661215353901e-05)	(45, 4.887959177329098e-05)	(50, 0.0)	(55, 0.0)	(60, 8.428766159672135e-05)	(65, 0.00013048842149745922)	(70, 3.732117668680842e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 3.155943066353141e-05)	(95, 0.0)	(100, 0.0)	(105, 3.958238799458255e-06)	(110, 0.0)	(115, 3.471985279893449e-05)	(120, 1.4898964016429345e-05)	(125, 0.0)	(130, 7.37132275338668e-05)	(135, 4.489296842931924e-05)	(140, 5.9951230872709675e-06)	(145, 0.0)	(150, 0.0)
BA12-gam_R1_001_trimmed_1U	(1, 0.0)	(2, 0.01920355290886307)	(3, 0.028092533731306237)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005814176135434525)	(15, 0.000844173650433282)	(20, 0.0)	(25, 2.2362215905517403e-05)	(30, 0.00011740163350396635)	(35, 0.003656222300552095)	(40, 0.0006205514913781079)	(45, 0.0015597645594098387)	(50, 0.0)	(55, 0.00024286499360926187)	(60, 0.002266291016593236)	(65, 0.0011210599915420336)	(70, 0.0013315820799986602)	(75, 0.0)	(80, 0.0)	(85, 1.8443935569430994e-05)	(90, 0.00038616532953228476)	(95, 5.9169446370556025e-05)	(100, 0.0)	(105, 0.0006377464532683956)	(110, 7.905282072322264e-06)	(115, 0.002282091210830561)	(120, 0.00010861065253280041)	(125, 1.1651574576310881e-05)	(130, 0.0038586529926568224)	(135, 0.0038893440248918016)	(140, 0.00149377442184554)	(145, 0.0)	(150, 0.0)
