Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA12-S5_R1_001_trimmed_1P	(1, 36.511786523926936)	(2, 36.44284291157913)	(3, 36.57629369737692)	(4, 36.62767962482501)	(5, 36.64135031857393)	(6, 36.62606499793971)	(7, 36.58840704983229)	(8, 36.613822417349965)	(9, 36.62563366481486)	(10, 36.63137258586463)	(15, 36.61772767331642)	(20, 36.60126492170209)	(25, 36.57491281932892)	(30, 36.55570068144084)	(35, 36.54340696795738)	(40, 36.52687258519353)	(45, 36.51223394211578)	(50, 36.49795121366704)	(55, 36.47653715215295)	(60, 36.46912497171796)	(65, 36.45176773111555)	(70, 36.43352408338632)	(75, 36.4216090944674)	(80, 36.42266031002598)	(85, 36.411355331972366)	(90, 36.381296177657994)	(95, 36.365992349704115)	(100, 36.348914769183)	(105, 36.30097191852552)	(110, 36.30525112467531)	(115, 36.23857536276246)	(120, 36.262697877175285)	(125, 36.23076378495324)	(130, 36.168718129879075)	(135, 36.16745247202821)	(140, 36.102020686223575)	(145, 36.07546464533628)	(150, 36.44448201322938)
BA12-S5_R1_001_trimmed_1U	(1, 35.80239769067865)	(2, 35.805922598512666)	(3, 36.066312870472565)	(4, 36.19338832400812)	(5, 36.23327111207838)	(6, 36.238451300607586)	(7, 36.20724879613232)	(8, 36.234932670702875)	(9, 36.25659451631843)	(10, 36.261421287322285)	(15, 36.241030154389236)	(20, 36.21450225586927)	(25, 36.16684398329234)	(30, 36.13777340382153)	(35, 36.12081617864236)	(40, 36.09980161743375)	(45, 36.07718684193848)	(50, 36.058673263721914)	(55, 36.04895388589501)	(60, 36.050694426989295)	(65, 36.046238902855535)	(70, 36.03800425576263)	(75, 36.036777913442585)	(80, 36.04577558434121)	(85, 36.04456451776527)	(90, 36.01671728939757)	(95, 35.999681424780384)	(100, 35.97830948794309)	(105, 35.92551910653456)	(110, 35.92201991152554)	(115, 35.829849821399094)	(120, 35.825564891888135)	(125, 35.730746356115354)	(130, 35.53989841430701)	(135, 35.28354062152374)	(140, 34.36087816630438)	(145, 33.93874612416351)	(150, 35.502559112335554)
BA12-S5_R1_001_trimmed_2P	(1, 36.039803285465595)	(2, 36.28249023205497)	(3, 36.38054920614894)	(4, 36.37065490531368)	(5, 36.35950665669851)	(6, 36.30821420086734)	(7, 36.269306653745645)	(8, 36.281133524553745)	(9, 36.29622325811132)	(10, 36.32299491436019)	(15, 36.2859123777413)	(20, 36.26282589770468)	(25, 36.225157920592075)	(30, 36.193975563695325)	(35, 36.16363306618848)	(40, 36.1308903184934)	(45, 36.086801523141744)	(50, 36.06230051859721)	(55, 36.01255280900441)	(60, 35.96336651617551)	(65, 35.95972485586864)	(70, 35.92307925152678)	(75, 35.88932653549425)	(80, 35.86548475832343)	(85, 35.81144088374454)	(90, 35.788421157273355)	(95, 35.73816589029052)	(100, 35.6851851649819)	(105, 35.63799849010816)	(110, 35.62571903151941)	(115, 35.54227816711655)	(120, 35.46029792418527)	(125, 35.3949357264644)	(130, 35.330104995150045)	(135, 35.307510462222766)	(140, 35.2538476422964)	(145, 35.081883477703386)	(150, 36.00854853604015)
BA12-S5_R1_001_trimmed_2U	(1, 32.02784954264445)	(2, 33.23756170137341)	(3, 33.622379537971526)	(4, 33.683482025362686)	(5, 33.60683535737113)	(6, 33.66597199469328)	(7, 33.56717460078742)	(8, 33.51597118901702)	(9, 33.546173306334225)	(10, 33.65764667336273)	(15, 33.57390683159755)	(20, 33.56655369295141)	(25, 33.51731720548504)	(30, 33.45010554358977)	(35, 33.42587617293035)	(40, 33.365564322506835)	(45, 33.304510175691135)	(50, 33.21271229369631)	(55, 33.21086694276015)	(60, 33.20846977712927)	(65, 33.285609085901555)	(70, 33.28796366970427)	(75, 33.297298539918714)	(80, 33.30931880335587)	(85, 33.299543885939464)	(90, 33.32057690352061)	(95, 33.30202699698693)	(100, 33.25847234955931)	(105, 33.26764827196465)	(110, 33.29464807985124)	(115, 33.227044134672845)	(120, 33.16689308741514)	(125, 33.13573744254692)	(130, 33.09477756208537)	(135, 33.12044521705285)	(140, 33.0976640560304)	(145, 32.973619061818155)	(150, 35.239397542608)
BA12-WYS_R1_001_trimmed_1P	(1, 36.52535853904112)	(2, 36.45167154563054)	(3, 36.58495540488188)	(4, 36.635851395180346)	(5, 36.64825458858866)	(6, 36.63423336302583)	(7, 36.59505841130196)	(8, 36.6195225348882)	(9, 36.63167949515799)	(10, 36.63574962325456)	(15, 36.62076588325445)	(20, 36.60254989019158)	(25, 36.576605055817915)	(30, 36.557726205476186)	(35, 36.54315535326363)	(40, 36.527522369956095)	(45, 36.51089583302214)	(50, 36.495103829906434)	(55, 36.47255928299146)	(60, 36.46334832984814)	(65, 36.44561766792448)	(70, 36.42681559616943)	(75, 36.41156367398459)	(80, 36.41211125802026)	(85, 36.40072820535268)	(90, 36.37001717419301)	(95, 36.350954668141696)	(100, 36.330474868894925)	(105, 36.27967719343623)	(110, 36.2828191793208)	(115, 36.21285023032665)	(120, 36.237760561543595)	(125, 36.201714091042184)	(130, 36.1326187460284)	(135, 36.13063085568829)	(140, 36.0587524689728)	(145, 36.02836242153241)	(150, 36.41161519156994)
BA12-WYS_R1_001_trimmed_1U	(1, 35.66843308536865)	(2, 35.68394240142891)	(3, 35.9755799941226)	(4, 36.11704588718845)	(5, 36.15947990025995)	(6, 36.17524658592295)	(7, 36.141605234993634)	(8, 36.17850553517824)	(9, 36.19031256552468)	(10, 36.198159887268915)	(15, 36.17326952911753)	(20, 36.1433174089222)	(25, 36.09233568775899)	(30, 36.06019139666171)	(35, 36.03753146849607)	(40, 36.016445118330076)	(45, 35.986728840342124)	(50, 35.961312765587685)	(55, 35.95104389307691)	(60, 35.95110498024571)	(65, 35.941875164119985)	(70, 35.933011977709754)	(75, 35.922229804580624)	(80, 35.93023977454778)	(85, 35.92421519810307)	(90, 35.89082332858809)	(95, 35.86950741193913)	(100, 35.84224351452919)	(105, 35.775664413303886)	(110, 35.76757078844513)	(115, 35.662369956945085)	(120, 35.6554050484593)	(125, 35.55915003166795)	(130, 35.35968147751457)	(135, 35.0901672961226)	(140, 34.26667783582373)	(145, 33.89846943587684)	(150, 35.482272680989716)
BA12-WYS_R1_001_trimmed_2P	(1, 35.961206131296684)	(2, 36.1861264144623)	(3, 36.29631453732905)	(4, 36.29797342804086)	(5, 36.29382195729715)	(6, 36.23977394982378)	(7, 36.193007877588094)	(8, 36.217066952238305)	(9, 36.23422467538147)	(10, 36.27179781355126)	(15, 36.242447464196026)	(20, 36.225640483890146)	(25, 36.18856899061014)	(30, 36.158573458838724)	(35, 36.12500923582307)	(40, 36.090346483478314)	(45, 36.04594796076064)	(50, 36.01653221586056)	(55, 35.96703320734491)	(60, 35.911813960053514)	(65, 35.91512772893104)	(70, 35.87199836052478)	(75, 35.84189420747693)	(80, 35.81252333628892)	(85, 35.76030757689435)	(90, 35.73539870887264)	(95, 35.68208386995893)	(100, 35.62720167249103)	(105, 35.578664632647374)	(110, 35.57034195681932)	(115, 35.48355217536804)	(120, 35.400641169734264)	(125, 35.33225533983314)	(130, 35.2678587019624)	(135, 35.24553165444892)	(140, 35.19614766413832)	(145, 35.01762287506163)	(150, 35.98168197208147)
BA12-WYS_R1_001_trimmed_2U	(1, 31.950615224379927)	(2, 33.094995694105656)	(3, 33.34526509430134)	(4, 33.45350310430184)	(5, 33.5344449003332)	(6, 33.584298590101405)	(7, 33.475956877933534)	(8, 33.419876549332926)	(9, 33.43653201917137)	(10, 33.60261690164977)	(15, 33.54305668901523)	(20, 33.54786305903359)	(25, 33.49648990707384)	(30, 33.45987131913666)	(35, 33.40219307540049)	(40, 33.355254769172504)	(45, 33.28376700377386)	(50, 33.22521330093448)	(55, 33.200972342803496)	(60, 33.17876794674708)	(65, 33.249846807245156)	(70, 33.26871556112817)	(75, 33.29678978032842)	(80, 33.2901833604605)	(85, 33.28735203800544)	(90, 33.29283460446916)	(95, 33.289946158539784)	(100, 33.251440534765464)	(105, 33.24723086113753)	(110, 33.28782447909787)	(115, 33.2316693665426)	(120, 33.15521260753572)	(125, 33.12606581837626)	(130, 33.08211738263211)	(135, 33.11407870608199)	(140, 33.10504164019284)	(145, 32.96431761840749)	(150, 35.26579496452914)
BA12-gam_R1_001_trimmed_1P	(1, 36.525517590885244)	(2, 36.44691588350155)	(3, 36.58383006403813)	(4, 36.633564266593986)	(5, 36.647198055608946)	(6, 36.6300099381986)	(7, 36.59093011802075)	(8, 36.61574804642935)	(9, 36.62898102279177)	(10, 36.63328299387109)	(15, 36.61748940143812)	(20, 36.59911960034482)	(25, 36.57218368989692)	(30, 36.553751479340846)	(35, 36.5378070640395)	(40, 36.52176090097991)	(45, 36.50635958682277)	(50, 36.48933748090853)	(55, 36.46569567676809)	(60, 36.457599334806346)	(65, 36.43946981590183)	(70, 36.42018698886735)	(75, 36.40506480130709)	(80, 36.40456930000481)	(85, 36.39366404011938)	(90, 36.3625999725524)	(95, 36.3433608787774)	(100, 36.3213897731104)	(105, 36.269616151449135)	(110, 36.27369595668989)	(115, 36.20165885758216)	(120, 36.22544866074982)	(125, 36.18608216461642)	(130, 36.11875986027332)	(135, 36.118395693879634)	(140, 36.04849128006231)	(145, 36.022657432806135)	(150, 36.41117231052467)
BA12-gam_R1_001_trimmed_1U	(1, 35.721370423677335)	(2, 35.71972763939138)	(3, 36.00425273440983)	(4, 36.14495384019346)	(5, 36.17516239860482)	(6, 36.18796253098914)	(7, 36.15791721675389)	(8, 36.18452881273685)	(9, 36.20488793315263)	(10, 36.20957360006239)	(15, 36.184498679650915)	(20, 36.15517191931824)	(25, 36.103965240171604)	(30, 36.072469121273926)	(35, 36.05328854554192)	(40, 36.02616423985378)	(45, 36.00061674991467)	(50, 35.97521520962929)	(55, 35.96321969146966)	(60, 35.96374140483921)	(65, 35.954581012959565)	(70, 35.943468349548446)	(75, 35.93114507630914)	(80, 35.934758135999985)	(85, 35.93309586414006)	(90, 35.89827084482996)	(95, 35.88023069610658)	(100, 35.850386872964556)	(105, 35.78753225560066)	(110, 35.779548715415906)	(115, 35.68363562130915)	(120, 35.691627841005584)	(125, 35.6137317945843)	(130, 35.43723749206519)	(135, 35.19298687389097)	(140, 34.32941821956533)	(145, 33.93768892037805)	(150, 35.498538760507365)
