Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
BA12-S5_R1_001_trimmed_1P	(25.0, 2.0)	(26.0, 39.0)	(27.0, 402.0)	(28.0, 2679.0)	(29.0, 12354.0)	(30.0, 37937.0)	(31.0, 90953.0)	(32.0, 168412.0)	(33.0, 290746.0)	(34.0, 538971.0)	(35.0, 1576437.0)	(36.0, 14608418.0)	(37.0, 1298625.0)					
BA12-S5_R1_001_trimmed_1U	(25.0, 9.0)	(26.0, 190.0)	(27.0, 1285.0)	(28.0, 6139.0)	(29.0, 20212.0)	(30.0, 45362.0)	(31.0, 76868.0)	(32.0, 103155.0)	(33.0, 127624.0)	(34.0, 159329.0)	(35.0, 284171.0)	(36.0, 2062099.0)	(37.0, 458609.0)					
BA12-S5_R1_001_trimmed_2P	(24.0, 10.0)	(25.0, 41.0)	(26.0, 331.0)	(27.0, 2218.0)	(28.0, 9558.0)	(29.0, 32171.0)	(30.0, 86160.0)	(31.0, 198748.0)	(32.0, 393546.0)	(33.0, 752064.0)	(34.0, 1564941.0)	(35.0, 4438278.0)	(36.0, 10888823.0)	(37.0, 259086.0)				
BA12-S5_R1_001_trimmed_2U	(24.0, 1.0)	(25.0, 13.0)	(26.0, 143.0)	(27.0, 858.0)	(28.0, 3324.0)	(29.0, 9290.0)	(30.0, 17771.0)	(31.0, 28262.0)	(32.0, 33240.0)	(33.0, 31774.0)	(34.0, 26069.0)	(35.0, 19644.0)	(36.0, 15483.0)	(37.0, 307.0)				
BA12-WYS_R1_001_trimmed_1P	(26.0, 41.0)	(27.0, 418.0)	(28.0, 2958.0)	(29.0, 14287.0)	(30.0, 46096.0)	(31.0, 112120.0)	(32.0, 214571.0)	(33.0, 374195.0)	(34.0, 707874.0)	(35.0, 2142211.0)	(36.0, 18910227.0)	(37.0, 1509135.0)						
BA12-WYS_R1_001_trimmed_1U	(25.0, 10.0)	(26.0, 165.0)	(27.0, 1436.0)	(28.0, 7273.0)	(29.0, 24456.0)	(30.0, 56970.0)	(31.0, 98615.0)	(32.0, 133812.0)	(33.0, 164129.0)	(34.0, 203671.0)	(35.0, 362269.0)	(36.0, 2279797.0)	(37.0, 420754.0)					
BA12-WYS_R1_001_trimmed_2P	(23.0, 2.0)	(24.0, 4.0)	(25.0, 47.0)	(26.0, 394.0)	(27.0, 2952.0)	(28.0, 12944.0)	(29.0, 44221.0)	(30.0, 118700.0)	(31.0, 271539.0)	(32.0, 543655.0)	(33.0, 1044733.0)	(34.0, 2184355.0)	(35.0, 6049843.0)	(36.0, 13467976.0)	(37.0, 292768.0)			
BA12-WYS_R1_001_trimmed_2U	(24.0, 2.0)	(25.0, 13.0)	(26.0, 192.0)	(27.0, 1097.0)	(28.0, 4025.0)	(29.0, 10998.0)	(30.0, 21928.0)	(31.0, 33508.0)	(32.0, 40006.0)	(33.0, 38176.0)	(34.0, 30314.0)	(35.0, 23211.0)	(36.0, 18012.0)	(37.0, 307.0)				
BA12-gam_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 26.0)	(27.0, 340.0)	(28.0, 2635.0)	(29.0, 12280.0)	(30.0, 39573.0)	(31.0, 95752.0)	(32.0, 182715.0)	(33.0, 321662.0)	(34.0, 613179.0)	(35.0, 1862973.0)	(36.0, 16086528.0)	(37.0, 1240772.0)					
BA12-gam_R1_001_trimmed_1U	(24.0, 1.0)	(25.0, 8.0)	(26.0, 196.0)	(27.0, 1415.0)	(28.0, 6689.0)	(29.0, 22700.0)	(30.0, 52970.0)	(31.0, 91335.0)	(32.0, 123458.0)	(33.0, 151140.0)	(34.0, 189200.0)	(35.0, 346992.0)	(36.0, 2190403.0)	(37.0, 400956.0)				
BA12-gam_R1_001_trimmed_2P	(23.0, 1.0)	(24.0, 7.0)	(25.0, 49.0)	(26.0, 395.0)	(27.0, 2636.0)	(28.0, 11813.0)	(29.0, 39718.0)	(30.0, 106543.0)	(31.0, 246267.0)	(32.0, 494566.0)	(33.0, 959721.0)	(34.0, 2029642.0)	(35.0, 5540822.0)	(36.0, 10829407.0)	(37.0, 196849.0)			
BA12-gam_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 3.0)	(25.0, 29.0)	(26.0, 169.0)	(27.0, 970.0)	(28.0, 3695.0)	(29.0, 9987.0)	(30.0, 19513.0)	(31.0, 29479.0)	(32.0, 34449.0)	(33.0, 32552.0)	(34.0, 25603.0)	(35.0, 19758.0)	(36.0, 14662.0)	(37.0, 199.0)			
BA14-S5_R1_001_trimmed_1P	(25.0, 1.0)	(26.0, 38.0)	(27.0, 448.0)	(28.0, 3220.0)	(29.0, 15123.0)	(30.0, 47813.0)	(31.0, 114369.0)	(32.0, 215315.0)	(33.0, 376521.0)	(34.0, 711681.0)	(35.0, 2126962.0)	(36.0, 18831273.0)	(37.0, 1611833.0)					
BA14-S5_R1_001_trimmed_1U	(25.0, 22.0)	(26.0, 191.0)	(27.0, 1630.0)	(28.0, 7453.0)	(29.0, 25141.0)	(30.0, 57273.0)	(31.0, 98374.0)	(32.0, 133168.0)	(33.0, 165903.0)	(34.0, 209733.0)	(35.0, 371639.0)	(36.0, 2468568.0)	(37.0, 506381.0)					
BA14-S5_R1_001_trimmed_2P	(23.0, 3.0)	(24.0, 2.0)	(25.0, 43.0)	(26.0, 423.0)	(27.0, 2988.0)	(28.0, 12705.0)	(29.0, 42634.0)	(30.0, 112660.0)	(31.0, 256961.0)	(32.0, 508896.0)	(33.0, 966788.0)	(34.0, 1989568.0)	(35.0, 5612447.0)	(36.0, 14191452.0)	(37.0, 357027.0)			
BA14-S5_R1_001_trimmed_2U	(23.0, 1.0)	(24.0, 4.0)	(25.0, 24.0)	(26.0, 173.0)	(27.0, 1050.0)	(28.0, 4097.0)	(29.0, 11390.0)	(30.0, 22644.0)	(31.0, 35121.0)	(32.0, 41591.0)	(33.0, 39644.0)	(34.0, 32480.0)	(35.0, 24135.0)	(36.0, 18589.0)	(37.0, 359.0)			
