Sample	Unique Reads	Duplicate Reads
BA12-S5_R1_001_trimmed_1P	6630650.0	11995325.0
BA12-S5_R1_001_trimmed_1U	1725406.0	1619646.0
BA12-S5_R1_001_trimmed_2P	6450011.0	12175964.0
BA12-S5_R1_001_trimmed_2U	153966.0	32213.0
BA12-WYS_R1_001_trimmed_1P	10236669.0	13797464.0
BA12-WYS_R1_001_trimmed_1U	2283743.0	1469614.0
BA12-WYS_R1_001_trimmed_2P	10013228.0	14020905.0
BA12-WYS_R1_001_trimmed_2U	204084.0	17705.0
BA12-gam_R1_001_trimmed_1P	8124519.0	12333917.0
BA12-gam_R1_001_trimmed_1U	1955814.0	1621649.0
BA12-gam_R1_001_trimmed_2P	8088671.0	12369765.0
BA12-gam_R1_001_trimmed_2U	156028.0	35041.0
BA14-S5_R1_001_trimmed_1P	5099556.0	18955041.0
BA14-S5_R1_001_trimmed_1U	1392255.0	2653221.0
BA14-S5_R1_001_trimmed_2P	5074956.0	18979641.0
BA14-S5_R1_001_trimmed_2U	187373.0	43929.0
BA14-WYS_R1_001_trimmed_1P	9700555.0	10126874.0
BA14-WYS_R1_001_trimmed_1U	1945249.0	930461.0
BA14-WYS_R1_001_trimmed_2P	9629726.0	10197703.0
BA14-WYS_R1_001_trimmed_2U	177922.0	16726.0
BA14-gam_R1_001_trimmed_1P	6458847.0	15602161.0
BA14-gam_R1_001_trimmed_1U	1714016.0	2443950.0
BA14-gam_R1_001_trimmed_2P	6376692.0	15684316.0
BA14-gam_R1_001_trimmed_2U	177777.0	49231.0
BA19-S5_R1_001_trimmed_1P	10672021.0	14449036.0
BA19-S5_R1_001_trimmed_1U	1928769.0	1109563.0
BA19-S5_R1_001_trimmed_2P	10461501.0	14659556.0
BA19-S5_R1_001_trimmed_2U	231361.0	21045.0
BA19-WYS_R1_001_trimmed_1P	7737659.0	11206984.0
BA19-WYS_R1_001_trimmed_1U	2101674.0	1632561.0
BA19-WYS_R1_001_trimmed_2P	7654327.0	11290316.0
BA19-WYS_R1_001_trimmed_2U	158889.0	32612.0
BA19-gam_R1_001_trimmed_1P	4531664.0	18034289.0
BA19-gam_R1_001_trimmed_1U	1359371.0	3146813.0
BA19-gam_R1_001_trimmed_2P	4371318.0	18194635.0
BA19-gam_R1_001_trimmed_2U	139537.0	236744.0
BD5-S5_R1_001_trimmed_1P	6771568.0	9404927.0
BD5-S5_R1_001_trimmed_1U	1652757.0	1134109.0
BD5-S5_R1_001_trimmed_2P	6649282.0	9527213.0
BD5-S5_R1_001_trimmed_2U	154051.0	22469.0
BD5-WYS_R1_001_trimmed_1P	7372415.0	11776574.0
BD5-WYS_R1_001_trimmed_1U	1998161.0	1647800.0
BD5-WYS_R1_001_trimmed_2P	7258664.0	11890325.0
BD5-WYS_R1_001_trimmed_2U	159720.0	32733.0
BD5-gam_R1_001_trimmed_1P	5443191.0	19073954.0
BD5-gam_R1_001_trimmed_1U	1420921.0	2802917.0
BD5-gam_R1_001_trimmed_2P	5251745.0	19265400.0
BD5-gam_R1_001_trimmed_2U	165076.0	124633.0
BF16-S5_R1_001_trimmed_1P	7166192.0	19825713.0
BF16-S5_R1_001_trimmed_1U	1821121.0	2603370.0
BF16-S5_R1_001_trimmed_2P	6861762.0	20130143.0
BF16-S5_R1_001_trimmed_2U	200786.0	154734.0
BF16-WYS_R1_001_trimmed_1P	8915436.0	11454307.0
BF16-WYS_R1_001_trimmed_1U	2137544.0	1381885.0
BF16-WYS_R1_001_trimmed_2P	8835594.0	11534149.0
BF16-WYS_R1_001_trimmed_2U	193114.0	16680.0
BF16-gam_R1_001_trimmed_1P	5353558.0	20176004.0
BF16-gam_R1_001_trimmed_1U	1441137.0	3005886.0
BF16-gam_R1_001_trimmed_2P	5145228.0	20384334.0
BF16-gam_R1_001_trimmed_2U	163398.0	182819.0
BF5-S5_R1_001_trimmed_1P	6109788.0	11037064.0
