Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BA12-S5_R1_001_trimmed_1P	64.40106169943613	47.0	149.3356892726421	150	9.090909090909092	18.625975
BA12-S5_R1_001_trimmed_1U	48.41915855308368	46.0	120.53085721836312	127	0.0	3.345052
BA12-S5_R1_001_trimmed_2P	65.37088627627628	47.0	147.78959630301233	150	9.090909090909092	18.625975
BA12-S5_R1_001_trimmed_2U	17.30257092081655	46.0	124.2672965264611	147	9.090909090909092	0.18617899999999998
BA12-WYS_R1_001_trimmed_1P	57.407789762874614	45.0	149.3501405064206	150	9.090909090909092	24.034133
BA12-WYS_R1_001_trimmed_1U	39.1546798904535	45.0	121.2335987490665	127	0.0	3.753357
BA12-WYS_R1_001_trimmed_2P	58.337472788263334	45.0	147.62995059984064	150	9.090909090909092	24.034133
BA12-WYS_R1_001_trimmed_2U	7.983057147800366	45.0	124.22020704363156	147	0.0	0.221789
BA12-gam_R1_001_trimmed_1P	60.28768499920007	46.0	149.3067914135763	150	9.090909090909092	20.458436
BA12-gam_R1_001_trimmed_1U	45.329608760223806	45.0	120.76562441037126	127	0.0	3.577463
BA12-gam_R1_001_trimmed_2P	60.46291108727997	46.0	147.36837962589124	150	9.090909090909092	20.458436
BA12-gam_R1_001_trimmed_2U	18.339666991891775	45.0	122.59296379841837	147	9.090909090909092	0.191069
BA14-S5_R1_001_trimmed_1P	78.80007960194669	48.0	149.3740902206759	150	9.090909090909092	24.054596999999998
BA14-S5_R1_001_trimmed_1U	65.58490152839664	47.0	121.25272909788613	127	9.090909090909092	4.045476
BA14-S5_R1_001_trimmed_2P	78.90234835182174	48.0	147.79806150982284	150	9.090909090909092	24.054596999999998
BA14-S5_R1_001_trimmed_2U	18.992318678079755	47.0	124.55284433338232	147	0.0	0.23130199999999998
BA14-WYS_R1_001_trimmed_1P	51.07507608782341	45.0	149.25968346677726	150	9.090909090909092	19.827429
BA14-WYS_R1_001_trimmed_1U	32.3558755605503	45.0	121.6103030208192	127	0.0	2.8757099999999998
BA14-WYS_R1_001_trimmed_2P	51.43230553870431	45.0	147.5374689527321	150	9.090909090909092	19.827429
BA14-WYS_R1_001_trimmed_2U	8.593171429842144	45.0	124.25309533105914	147	0.0	0.194648
BA14-gam_R1_001_trimmed_1P	70.72279498047872	47.0	149.27383846195968	150	9.090909090909092	22.061007999999998
BA14-gam_R1_001_trimmed_1U	58.77755228262387	46.0	119.01958770225635	122	9.090909090909092	4.157966
BA14-gam_R1_001_trimmed_2P	71.09519392580295	47.0	147.93176816761954	150	9.090909090909092	22.061007999999998
BA14-gam_R1_001_trimmed_2U	21.68716979722589	47.0	124.27907386523823	147	0.0	0.227008
BA19-S5_R1_001_trimmed_1P	57.517631318434184	45.0	149.26864387115558	150	9.090909090909092	25.121057
BA19-S5_R1_001_trimmed_1U	36.5188508249813	45.0	121.47924140613995	127	0.0	3.038332
BA19-S5_R1_001_trimmed_2P	58.35565343204453	46.0	147.7116622123026	150	9.090909090909092	25.121057
BA19-S5_R1_001_trimmed_2U	8.338061337619465	45.0	125.21758595279034	150	0.0	0.25240599999999996
BA19-WYS_R1_001_trimmed_1P	59.15648030349607	46.0	149.29218204322984	150	9.090909090909092	18.944643
BA19-WYS_R1_001_trimmed_1U	43.718755838085	45.0	119.20615681659028	122	0.0	3.734235
BA19-WYS_R1_001_trimmed_2P	59.596351655831974	46.0	147.80598713314365	150	9.090909090909092	18.944643
BA19-WYS_R1_001_trimmed_2U	17.030007467622482	46.0	123.95967645077572	147	0.0	0.191501
BA19-gam_R1_001_trimmed_1P	79.91813602758548	50.0	149.25418594109453	150	18.181818181818183	22.565953
BA19-gam_R1_001_trimmed_1U	69.83323088508432	49.0	124.06708259138996	127	18.181818181818183	4.506184
BA19-gam_R1_001_trimmed_2P	80.62870221736166	50.0	149.0897499653571	150	18.181818181818183	22.565953
BA19-gam_R1_001_trimmed_2U	62.91705195734475	69.0	135.24014366922592	150	45.45454545454545	0.376281
BD5-S5_R1_001_trimmed_1P	58.13946213736461	46.0	149.2584042154991	150	9.090909090909092	16.176495
BD5-S5_R1_001_trimmed_1U	40.69479378937526	46.0	118.40793332008069	122	0.0	2.786866
BD5-S5_R1_001_trimmed_2P	58.89541275566597	46.0	148.36380062553724	150	9.090909090909092	16.176495
BD5-S5_R1_001_trimmed_2U	12.729219178225236	46.0	126.55289485610696	150	0.0	0.17651999999999998
BD5-WYS_R1_001_trimmed_1P	61.499718889621406	46.0	149.31764199143882	150	9.090909090909092	19.148989
BD5-WYS_R1_001_trimmed_1U	45.195241874155656	46.0	119.84276971146976	122	0.0	3.645961
BD5-WYS_R1_001_trimmed_2P	62.09375314891161	46.0	148.04119345412963	150	9.090909090909092	19.148989
BD5-WYS_R1_001_trimmed_2U	17.008542477158713	46.0	124.1355733607686	147	0.0	0.19245299999999999
