Module	Section	Sample Name	Source
FastQC	all_sections	BA19-gam_R1_001_trimmed_2U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/BA19-gam_R1_001_trimmed_2U_fastqc.zip
FastQC	all_sections	WT-S5-1_R1_001_trimmed_2P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/WT-S5-1_R1_001_trimmed_2P_fastqc.zip
FastQC	all_sections	BF16-S5_R1_001_trimmed_1U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/BF16-S5_R1_001_trimmed_1U_fastqc.zip
FastQC	all_sections	WT-S5-1_R1_001_trimmed_1P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/WT-S5-1_R1_001_trimmed_1P_fastqc.zip
FastQC	all_sections	RNAi-S5-2_R1_001_trimmed_1P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/RNAi-S5-2_R1_001_trimmed_1P_fastqc.zip
FastQC	all_sections	WT-male-gam-2_R1_001_trimmed_2U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/WT-male-gam-2_R1_001_trimmed_2U_fastqc.zip
FastQC	all_sections	WT-S5-1_R1_001_trimmed_2U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/WT-S5-1_R1_001_trimmed_2U_fastqc.zip
FastQC	all_sections	BF5-gam_R1_001_trimmed_1P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/BF5-gam_R1_001_trimmed_1P_fastqc.zip
FastQC	all_sections	BF5-gam_R1_001_trimmed_2P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/BF5-gam_R1_001_trimmed_2P_fastqc.zip
FastQC	all_sections	Cross-gam-2_R1_001_trimmed_2P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/Cross-gam-2_R1_001_trimmed_2P_fastqc.zip
FastQC	all_sections	Cross-gam-3_R1_001_trimmed_1U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/Cross-gam-3_R1_001_trimmed_1U_fastqc.zip
FastQC	all_sections	RESUB-WT-WYS-4_R1_001_trimmed_2U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/RESUB-WT-WYS-4_R1_001_trimmed_2U_fastqc.zip
FastQC	all_sections	WT-mature-herm-1_R1_001_trimmed_1P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/WT-mature-herm-1_R1_001_trimmed_1P_fastqc.zip
FastQC	all_sections	Cross-WYS-1_R1_001_trimmed_2U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/Cross-WYS-1_R1_001_trimmed_2U_fastqc.zip
FastQC	all_sections	RNAi-WYS-1_R1_001_trimmed_2P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/RNAi-WYS-1_R1_001_trimmed_2P_fastqc.zip
FastQC	all_sections	Cross-S5-2_R1_001_trimmed_1U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/Cross-S5-2_R1_001_trimmed_1U_fastqc.zip
FastQC	all_sections	Cross-gam-1_R1_001_trimmed_1U	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/Cross-gam-1_R1_001_trimmed_1U_fastqc.zip
FastQC	all_sections	BA19-gam_R1_001_trimmed_2P	/home/exouser/git/McConnell-Ceratopteris-RNAseq/output/fastqc--trimmed/BA19-gam_R1_001_trimmed_2P_fastqc.zip
