Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BA12-S5_R1_001 - illumina_universal_adapter	(1, 0.00015175390693780925)	(2, 0.00016960730775402209)	(3, 0.0003079711640796717)	(4, 0.0005623821257107048)	(5, 0.000816793087341738)	(6, 0.0011113742008092501)	(7, 0.0013077616097875915)	(8, 0.0016425128750915824)	(9, 0.0018835337861104558)	(10, 0.0022316751020266066)	(12, 0.0029391161093690406)	(14, 0.0037447508212006455)	(16, 0.004641884212215341)	(18, 0.005793428564861071)	(20, 0.024758203581883173)	(22, 0.02821729999002441)	(24, 0.028654708310021627)	(26, 0.029092116630018844)	(28, 0.029603170228382936)	(30, 0.03043558504143886)	(32, 0.031517947465921764)	(34, 0.032995316383463376)	(36, 0.034557488954882004)	(38, 0.036492351268339066)	(40, 0.03900521743322103)	(42, 0.04188407831483535)	(44, 0.045425746701751576)	(46, 0.049482932037235944)	(48, 0.05471174680128428)	(50, 0.06119253129756955)	(52, 0.06927789019221195)	(54, 0.07845453821174536)	(56, 0.08918666377739129)	(58, 0.10187150505731053)	(60, 0.11752224254782312)	(62, 0.13764525694279703)	(64, 0.16043289140959072)	(66, 0.18697197172289112)	(68, 0.218753256850852)	(70, 0.25584816039673824)	(72, 0.2994617869156443)	(74, 0.35227214653000183)	(76, 0.4117262029230927)	(78, 0.47897996379776653)	(80, 0.557191249423391)	(82, 0.6456570821428277)	(84, 0.7458950010254548)	(86, 0.8606432714214588)	(88, 0.9862240927627)	(90, 1.125632373036098)	(92, 1.2820973461142855)	(94, 1.4564090249833797)	(96, 1.6491878153217439)	(98, 1.860560922610194)	(100, 2.0910193153711756)	(102, 2.3401032685336713)	(104, 2.6083840909237996)	(106, 2.8967856960338)	(108, 3.206821159582846)	(110, 3.5358593366256494)	(112, 3.8909210770331843)	(114, 4.27175196984382)	(116, 4.680543520007749)	(118, 5.118927082024548)	(120, 5.583113271570981)	(122, 6.070252239541757)	(124, 6.583414770877265)	(126, 7.130251047827253)	(128, 7.709290396499483)	(130, 8.315518242939707)	(132, 8.945794620279365)	(134, 9.612012125137163)	(136, 10.3115262225172)	(138, 11.037179930367273)
BA12-S5_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002454842612229267)	(4, 0.0003838481175485763)	(5, 0.0004507983706093745)	(6, 0.0005356020244863855)	(7, 0.0005980889273431305)	(8, 0.0006471857795877159)	(9, 0.0007409161338728334)	(10, 0.0008614265893822702)	(12, 0.0009774736946876537)	(14, 0.00110467917550317)	(16, 0.0012497380571348995)	(18, 0.0014305037403990546)	(20, 0.0016090377485611833)	(22, 0.0017942667820293916)	(24, 0.001934862313457068)	(26, 0.0020732261697827175)	(28, 0.002204895000802287)	(30, 0.0023142470808015913)	(32, 0.002445915911821161)	(34, 0.0025731213926366773)	(36, 0.002896714282430535)	(38, 0.003168978644877781)	(40, 0.003412231230998681)	(42, 0.0036800322432418743)	(44, 0.003961223306097227)	(46, 0.004195549191810021)	(48, 0.004412021676706601)	(50, 0.00460394573548089)	(52, 0.004844966646499763)	(54, 0.0050168056293558114)	(56, 0.005202034662824019)	(58, 0.005451982274251)	(60, 0.005733173337106353)	(62, 0.0059786575983292786)	(64, 0.006224141859552206)	(66, 0.006507564597509584)	(68, 0.006784292310160884)	(70, 0.007228395655464178)	(72, 0.007741680928930298)	(74, 0.0084044884342322)	(76, 0.009243598272594203)	(78, 0.010078244760752156)	(80, 0.010964219776256718)	(82, 0.011964010221964638)	(84, 0.01311332289950834)	(86, 0.014452327960724303)	(88, 0.01680228184315832)	(90, 0.030473523518173312)	(92, 0.03790053825771786)	(94, 0.03975059691729792)	(96, 0.04074815568790381)	(98, 0.04168322755565296)	(100, 0.042899490486257456)	(102, 0.044423724580941626)	(104, 0.04634519684378654)	(106, 0.0484139596633652)	(108, 0.05064117141518776)	(110, 0.053468703769455464)	(112, 0.05672248606821026)	(114, 0.06059444237022642)	(116, 0.06506448759958572)	(118, 0.07052985992444888)	(120, 0.07726282370726315)	(122, 0.08552671661006767)	(124, 0.09514523629980234)	(126, 0.10606482257401853)	(128, 0.11859567827189792)	(130, 0.13369742368731197)	(132, 0.15357495382106295)	(134, 0.17578681611153377)	(136, 0.20221431266973283)	(138, 0.2326342759854575)
BA12-S5_R2_001 - illumina_universal_adapter	(1, 0.00014729055673375603)	(2, 0.00016514395754996887)	(3, 0.0003035078138756185)	(4, 0.0005623821257107048)	(5, 0.0007900129861174187)	(6, 0.0010845940995849307)	(7, 0.0012854448587673254)	(8, 0.0016157327738672632)	(9, 0.0018612170350901897)	(10, 0.002204895000802287)	(12, 0.002898945957532562)	(14, 0.0036621788424256612)	(16, 0.004521373756705905)	(18, 0.005592577805678676)	(20, 0.022760854365569357)	(22, 0.026063733516568738)	(24, 0.026487751785953792)	(26, 0.026947476856971273)	(28, 0.02747638385615158)	(30, 0.02829764029369737)	(32, 0.029364380992466087)	(34, 0.0308082747834773)	(36, 0.03230796045203918)	(38, 0.03419372591325166)	(40, 0.036615093398950534)	(42, 0.03938237052546352)	(44, 0.04279460175646221)	(46, 0.0467357399866412)	(48, 0.05178825241762943)	(50, 0.05806372280452825)	(52, 0.06592814586407)	(54, 0.07486600464768656)	(56, 0.08531470747537515)	(58, 0.09766033413978632)	(60, 0.11296962533968885)	(62, 0.13248785578201355)	(64, 0.15461268274350531)	(66, 0.18029033646742346)	(68, 0.21097140577008525)	(70, 0.24673623095516364)	(72, 0.2889238170838746)	(74, 0.33978815600926504)	(76, 0.39723593648563393)	(78, 0.46195005109420145)	(80, 0.5374275347198433)	(82, 0.6227623272711367)	(84, 0.7196125633488873)	(86, 0.8301585895277753)	(88, 0.9512939140657795)	(90, 1.0859531897220651)	(92, 1.2361359973880472)	(94, 1.403589738668614)	(96, 1.5884884842217222)	(98, 1.7913142758694103)	(100, 2.0121898557422897)	(102, 2.251086212064034)	(104, 2.508181878842805)	(106, 2.784650717182269)	(108, 3.0808230149975264)	(110, 3.395239256771851)	(112, 3.733891490154184)	(114, 4.0962463447951425)	(116, 4.486099900043272)	(118, 4.902758104941844)	(120, 5.3432818433814875)	(122, 5.803683111954882)	(124, 6.290290941251376)	(126, 6.808430108064403)	(128, 7.3565451348478526)	(130, 7.930016454140527)	(132, 8.525413981310614)	(134, 9.155052099571094)	(136, 9.81527532510485)	(138, 10.496036656602556)
BA12-S5_R2_001 - polyg	(1, 0.025624093521469497)	(2, 0.02652122691248419)	(3, 0.02692292843084898)	(4, 0.02708807238839895)	(5, 0.027257679696152972)	(6, 0.027427287003906994)	(7, 0.02758796761125291)	(8, 0.02781559847165962)	(9, 0.028011985880637965)	(10, 0.02827755521777913)	(12, 0.02877745044063309)	(14, 0.02911889673124316)	(16, 0.029502744848791736)	(18, 0.029915604742666663)	(20, 0.030243660982664573)	(22, 0.030611887374498964)	(24, 0.031100624221842788)	(26, 0.031517947465921764)	(28, 0.0319151856340825)	(30, 0.03226555862510068)	(32, 0.03271635699571005)	(34, 0.03323410561938023)	(36, 0.0337518542430504)	(38, 0.03423612774019017)	(40, 0.03475610803896237)	(42, 0.035238149861000115)	(44, 0.03571126498262976)	(46, 0.0362267819311979)	(48, 0.03680255410752077)	(50, 0.03734261948221121)	(52, 0.037987573586696896)	(54, 0.038623600990774484)	(56, 0.039134654589138576)	(58, 0.03974613356709386)	(60, 0.04031297904300862)	(62, 0.041027115075657136)	(64, 0.041649752429122555)	(66, 0.04230140155891433)	(68, 0.0429530506887061)	(70, 0.043722978598905275)	(72, 0.04461564863971591)	(74, 0.04540119827562928)	(76, 0.046249234814399395)	(78, 0.047302585462555946)	(80, 0.04877102767968945)	(82, 0.05010110604049732)	(84, 0.051536073131100424)	(86, 0.05300674702333596)	(88, 0.05472736852699847)	(90, 0.05682291144780145)	(92, 0.061665646419199194)	(94, 0.07305388446484096)	(96, 0.08167261370886772)	(98, 0.08414754139701522)	(100, 0.08568739721741359)	(102, 0.08743703049740244)	(104, 0.08910855514882038)	(106, 0.09119517136921525)	(108, 0.0936812574328729)	(110, 0.09645299790958993)	(112, 0.09934301716671438)	(114, 0.1028422837266921)	(116, 0.10659596124830087)	(118, 0.11108162820337433)	(120, 0.11618323748660717)	(122, 0.12203915295432496)	(124, 0.12930995043672766)	(126, 0.13788850952891796)	(128, 0.14753604099497897)	(130, 0.15860068615082687)	(132, 0.17137256275972512)	(134, 0.1866930123351378)	(136, 0.2053051826860397)	(138, 0.22771566406059085)
BA12-WYS_R1_001 - illumina_universal_adapter	(1, 0.00012368087281662622)	(2, 0.00019435565728326975)	(3, 0.00029330035553657075)	(4, 0.00045231862058651875)	(5, 0.0006078031464131345)	(6, 0.0008445636743763904)	(7, 0.0010495205493296568)	(8, 0.0013392871656428952)	(9, 0.0015371765621494972)	(10, 0.0018075076127344089)	(12, 0.002328734148175905)	(14, 0.002871163118957394)	(16, 0.00341535895935055)	(18, 0.00395248732129704)	(20, 0.007996851862400718)	(22, 0.008624090574542179)	(24, 0.00889088788590376)	(26, 0.00919302258949866)	(28, 0.00964004060125018)	(30, 0.010436898796111586)	(32, 0.011753216656802823)	(34, 0.013198515999145684)	(36, 0.014680919603333533)	(38, 0.01674639017937119)	(40, 0.01922707511415038)	(42, 0.02230142823844937)	(44, 0.025941179638481516)	(46, 0.030010280354148516)	(48, 0.03490274230885192)	(50, 0.04091363272773995)	(52, 0.04840692675081583)	(54, 0.05728367967982627)	(56, 0.06761103256001455)	(58, 0.07985190522963721)	(60, 0.0946918430980207)	(62, 0.11313619497420299)	(64, 0.13446584492623603)	(66, 0.159007663832278)	(68, 0.1873871235348587)	(70, 0.22062194093029786)	(72, 0.2585654658408271)	(74, 0.3033273405827758)	(76, 0.35443051036099404)	(78, 0.4124333059727684)	(80, 0.4785477999717018)	(82, 0.5541062120449904)	(84, 0.6398170569069124)	(86, 0.734869341405713)	(88, 0.8380244899436142)	(90, 0.9552986935483392)	(92, 1.0857431432384232)	(94, 1.229089274832893)	(96, 1.3895210355721739)	(98, 1.5639534711142968)	(100, 1.7536481263619916)	(102, 1.962133439929755)	(104, 2.1852837712743467)	(106, 2.4250603456647166)	(108, 2.6808270900406646)	(110, 2.95593398918591)	(112, 3.2484781245286873)	(114, 3.563549847420208)	(116, 3.9022446170197034)	(118, 4.265838113186798)	(120, 4.653506974682455)	(122, 5.0581572200158345)	(124, 5.494096959302208)	(126, 5.954359425662778)	(128, 6.4462417905937235)	(130, 6.959234713644856)	(132, 7.5009498691032315)	(134, 8.072512752911482)	(136, 8.673835021589028)	(138, 9.304012037894688)
BA12-WYS_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00029330035553657075)	(4, 0.0004240487067998613)	(5, 0.00048058853437317613)	(6, 0.0005901344502964737)	(7, 0.0006926128877731068)	(8, 0.0007703551506864148)	(9, 0.0008869685450563766)	(10, 0.0010671892454463176)	(12, 0.0013004160341862415)	(14, 0.001489471082634513)	(16, 0.0016785261310827844)	(18, 0.0019011517021527114)	(20, 0.002129077882057637)	(22, 0.0023676052796325594)	(24, 0.002636169460605804)	(26, 0.002927702946530709)	(28, 0.0032598744335239336)	(30, 0.0034188926985738817)	(32, 0.0036114814862454854)	(34, 0.00389418062411206)	(36, 0.00430056063479526)	(38, 0.004692805688585131)	(40, 0.004998474131403365)	(42, 0.005298841965386601)	(44, 0.005691087019176472)	(46, 0.00605329528956802)	(48, 0.006364264341221252)	(50, 0.006747675046952793)	(52, 0.007146987579189329)	(54, 0.007556901329095861)	(56, 0.00795974760055573)	(58, 0.008339624567063938)	(60, 0.008707133446290486)	(62, 0.00907994293435203)	(64, 0.009440384335131911)	(66, 0.009767255213290138)	(68, 0.010186003311255003)	(70, 0.01089098428630977)	(72, 0.011454615692431253)	(74, 0.01211542492719437)	(76, 0.01289284755632745)	(78, 0.013753313057208835)	(80, 0.014486563946050262)	(82, 0.01552548327770992)	(84, 0.016571470087816245)	(86, 0.01767576359510755)	(88, 0.018928474149778808)	(90, 0.02289156268874585)	(92, 0.024193745592543753)	(94, 0.025061278571871803)	(96, 0.025946480247316515)	(98, 0.026810479487421233)	(100, 0.028103828043160806)	(102, 0.029976709831526862)	(104, 0.03198740744960287)	(106, 0.03407231359136886)	(108, 0.036712016791197996)	(110, 0.03976340061054533)	(112, 0.043427888185140796)	(114, 0.04781149169168436)	(116, 0.05259970833929946)	(118, 0.05800809622060936)	(120, 0.0646497590908622)	(122, 0.07283566600171118)	(124, 0.08239089686160139)	(126, 0.09373419976849767)	(128, 0.1064662621901635)	(130, 0.12144401588825694)	(132, 0.14083717674590396)	(134, 0.1625449367948335)	(136, 0.18821755225234177)	(138, 0.2172896248426956)
BA12-WYS_R2_001 - illumina_universal_adapter	(1, 0.00012014713359329403)	(2, 0.0001872881788366054)	(3, 0.0002862328770899064)	(4, 0.00041344748912986476)	(5, 0.0005653982757331484)	(6, 0.00079509132524974)	(7, 0.0009965144609796741)	(8, 0.0012792135988462484)	(9, 0.0014771029953528502)	(10, 0.001749200915549428)	(12, 0.0022880961471075847)	(14, 0.002848193814005735)	(16, 0.003408291480903885)	(18, 0.0038977143633353918)	(20, 0.007537465763367534)	(22, 0.008155870127450665)	(24, 0.008427968047647243)	(26, 0.00873186962085381)	(28, 0.009191255719886994)	(30, 0.009961610870573408)	(32, 0.011228456382137994)	(34, 0.012643718941082531)	(36, 0.014115521327600383)	(38, 0.016129752684899724)	(40, 0.018562732140163928)	(42, 0.021605281611452934)	(44, 0.0251655238789601)	(46, 0.02907914006880049)	(48, 0.03387265732525059)	(50, 0.039742198175205336)	(52, 0.04705880523711461)	(54, 0.05571469946466678)	(56, 0.06578408938155182)	(58, 0.07759737960515128)	(60, 0.0919461277214916)	(62, 0.1098427500180574)	(64, 0.130492155169599)	(66, 0.1543448949270912)	(68, 0.1817826131266539)	(70, 0.21411632702014333)	(72, 0.2508636812035746)	(74, 0.2941802566031805)	(76, 0.3437639185153659)	(78, 0.3997595502482876)	(80, 0.4636424879276867)	(82, 0.5364233809714363)	(84, 0.6192153572348857)	(86, 0.7108929207754042)	(88, 0.8101309193842416)	(90, 0.9229808814813547)	(92, 1.0486265133061536)	(94, 1.1868186862433934)	(96, 1.3411335443870862)	(98, 1.50836598626167)	(100, 1.6901256300833722)	(102, 1.890112300819022)	(104, 2.1045042594985848)	(106, 2.3344623394569264)	(108, 2.5791313758019996)	(110, 2.8428313647343284)	(112, 3.1220921743366006)	(114, 3.4228893576354706)	(116, 3.745816582820458)	(118, 4.092160130968857)	(120, 4.460752101267355)	(122, 4.844576254488025)	(124, 5.258299375277311)	(126, 5.695610205382337)	(128, 6.162031979209175)	(130, 6.6478380795456005)	(132, 7.160963517817608)	(134, 7.701153864801116)	(136, 8.269045193556327)	(138, 8.862466021330498)
BA12-WYS_R2_001 - polyg	(1, 0.022474581460392648)	(2, 0.023372151223119024)	(3, 0.023799733669142217)	(4, 0.024068297850115463)	(5, 0.02422731611516541)	(6, 0.02441813803322535)	(7, 0.024598358733615287)	(8, 0.02483158552235521)	(9, 0.02510368344255179)	(10, 0.025464124843331673)	(12, 0.025987118248384834)	(14, 0.02645357182586468)	(16, 0.02693239349062619)	(18, 0.02742004950344603)	(20, 0.027877668732867546)	(22, 0.028395361529085714)	(24, 0.028814109627050576)	(26, 0.029264661378025428)	(28, 0.029764685478126933)	(30, 0.03022230470754845)	(32, 0.03075413246065994)	(34, 0.031248855951926446)	(36, 0.03188846275134957)	(38, 0.03255633946455935)	(40, 0.03321714869932247)	(42, 0.03383025245457061)	(44, 0.034441589340207066)	(46, 0.03508296300924186)	(48, 0.03569783363410166)	(50, 0.03640988208760309)	(52, 0.037134298628386186)	(54, 0.03784988082111096)	(56, 0.0386237697110207)	(58, 0.03949306955996042)	(60, 0.040238688536083506)	(62, 0.0409684056857016)	(64, 0.041705190313766356)	(66, 0.042565655814647746)	(68, 0.043344845313392485)	(70, 0.044288353686022186)	(72, 0.04520182527525355)	(74, 0.046060523906523265)	(76, 0.04701463349682296)	(78, 0.04802704978430763)	(80, 0.049293895295872206)	(82, 0.05070739098520508)	(84, 0.052104984848032956)	(86, 0.05355911853843415)	(88, 0.05529948510592525)	(90, 0.05700451428118303)	(92, 0.059274941732173944)	(94, 0.06275744173676781)	(96, 0.06536534128358695)	(98, 0.06675586766796816)	(100, 0.06821706883681602)	(102, 0.06977191409508218)	(104, 0.07157412109898159)	(106, 0.07378447498317586)	(108, 0.07645951557523833)	(110, 0.07906211451322248)	(112, 0.08223717920538644)	(114, 0.08574441538454362)	(116, 0.08981528296982229)	(118, 0.09446038317889244)	(120, 0.09958607192233576)	(122, 0.10541850851044551)	(124, 0.1123746741715749)	(126, 0.12054467925591891)	(128, 0.13000626602639082)	(130, 0.14075236700454397)	(132, 0.15345792638203481)	(134, 0.16818478459527164)	(136, 0.1856061189662993)	(138, 0.20673257891299074)
BA12-gam_R1_001 - illumina_universal_adapter	(1, 0.0002285904995502482)	(2, 0.0002857381244378102)	(3, 0.000387787454594171)	(4, 0.000632705846969437)	(5, 0.0008082306948383775)	(6, 0.001085804872863679)	(7, 0.0012368378814950928)	(8, 0.0014491004882203234)	(9, 0.0017144287466268615)	(10, 0.0020164947638896895)	(12, 0.002475716749593313)	(14, 0.0030818897707220964)	(16, 0.003573767542075755)	(18, 0.004045235447398142)	(20, 0.0071312071913264925)	(22, 0.0077904458641365835)	(24, 0.008125167667049446)	(26, 0.00843131565751853)	(28, 0.00895993118772848)	(30, 0.009723260177298056)	(32, 0.01088662254108057)	(34, 0.012370419801554056)	(36, 0.01405423374913401)	(38, 0.01612175317810188)	(40, 0.018734216030104715)	(42, 0.021867130465904994)	(44, 0.025757250931465466)	(46, 0.030155577061204614)	(48, 0.0358989133624046)	(50, 0.04231781622923969)	(52, 0.05091445180161153)	(54, 0.060815277813381655)	(56, 0.07232848324162228)	(58, 0.0860765690002872)	(60, 0.10282694605215226)	(62, 0.12284902462883025)	(64, 0.1471939128309317)	(66, 0.17556974957420937)	(68, 0.20838065020608249)	(70, 0.24520617148630686)	(72, 0.2884220218209225)	(74, 0.3407978200303732)	(76, 0.40072526867139446)	(78, 0.46680629192084433)	(80, 0.5433269616452899)	(82, 0.6292157598780894)	(84, 0.7276729536129463)	(86, 0.8386699690374169)	(88, 0.9600270324593612)	(90, 1.0936524663527032)	(92, 1.2422546599397926)	(94, 1.4089073390449391)	(96, 1.5915858449578406)	(98, 1.7907902193962633)	(100, 2.0102860826429767)	(102, 2.247414029154106)	(104, 2.500624950097878)	(106, 2.7728048005311137)	(108, 3.062759603290985)	(110, 3.3712873841393134)	(112, 3.7019435417387476)	(114, 4.055854700694213)	(116, 4.438756033360498)	(118, 4.848233052586101)	(120, 5.279077160559844)	(122, 5.730680143273994)	(124, 6.2112773816721685)	(126, 6.7225996323938215)	(128, 7.263895812368999)	(130, 7.833869895104718)	(132, 8.43288925818954)	(134, 9.062984683293578)	(136, 9.720792624494877)	(138, 10.40620490950347)
BA12-gam_R1_001 - polya	(1, 0.0031594472616409304)	(2, 0.0036737758856289888)	(3, 0.004041153474191888)	(4, 0.004469760660848603)	(5, 0.005155532159499348)	(6, 0.005971926800750234)	(7, 0.006784239468794866)	(8, 0.007600634110045752)	(9, 0.008380290992440349)	(10, 0.009621210847141695)	(12, 0.010782532224321082)	(14, 0.01235205092212591)	(16, 0.013882790874471324)	(18, 0.015427817733038626)	(20, 0.016538114445139834)	(22, 0.017781075286444306)	(24, 0.019168946176570813)	(26, 0.020458849709747214)	(28, 0.021726302390289214)	(30, 0.023212140637365826)	(32, 0.024795946241392548)	(34, 0.026153202332472147)	(36, 0.027685983271420685)	(38, 0.029026911469675266)	(40, 0.030237216525329708)	(42, 0.03146384947380916)	(44, 0.03257210519930724)	(46, 0.033829352946833605)	(48, 0.034978428404394225)	(50, 0.03620302036627056)	(52, 0.03748475995303445)	(54, 0.03886446689674845)	(56, 0.0402033541083999)	(58, 0.04136263449897616)	(60, 0.042493341077108636)	(62, 0.04379753151650693)	(64, 0.04514458267457089)	(66, 0.04647938791301609)	(68, 0.04782439808447693)	(70, 0.04928778547891914)	(72, 0.05093282068103967)	(74, 0.052496216419035124)	(76, 0.05408002202306184)	(78, 0.055794450769688704)	(80, 0.057535412342156214)	(82, 0.05904778341507348)	(84, 0.06088058938468173)	(86, 0.0626256329303555)	(88, 0.06429515997171356)	(90, 0.0661055150886874)	(92, 0.06779137002287047)	(94, 0.06963846289870061)	(96, 0.071377383484565)	(98, 0.07337959134223279)	(100, 0.07515320870035035)	(102, 0.07709418695992433)	(104, 0.07892495194292945)	(106, 0.08088225809532844)	(108, 0.08255994908309902)	(110, 0.08446010761061046)	(112, 0.0863010775266312)	(114, 0.08808285883116126)	(116, 0.08986668112229444)	(118, 0.09172397893114022)	(120, 0.09369149001655486)	(122, 0.09557532065124127)	(124, 0.0972570936122181)	(126, 0.09891029276075114)	(128, 0.10051246724420601)	(130, 0.10231669940137048)	(132, 0.10411072662551929)	(134, 0.10578025366687735)	(136, 0.1075008053733136)	(138, 0.10924788990559049)
