Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BA12-S5_R1_001	(1, 0.022285507568837692)	(2, 0.020513557537828565)	(3, 0.02610167199330319)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003409999555896655)	(15, 0.0008444658586068679)	(20, 0.0)	(25, 1.4282720652970282e-05)	(30, 7.230627330566205e-05)	(35, 0.0011247642514214096)	(40, 0.0006436150994244734)	(45, 0.00041419889893613815)	(50, 2.2316751020266065e-05)	(55, 8.034030367295783e-05)	(60, 0.0006480784496285265)	(65, 0.000866782609627134)	(70, 0.00048650517224180023)	(75, 9.105234416268554e-05)	(80, 4.463350204053213e-06)	(85, 5.5345542530259846e-05)	(90, 0.00024191358105968413)	(95, 9.283768424430682e-05)	(100, 2.6780101224319276e-06)	(105, 0.0001865680385294243)	(110, 9.819370448917068e-06)	(115, 0.0006248690285674498)	(120, 6.962826318323012e-05)	(125, 1.8746070857023495e-05)	(130, 0.0006614685002406861)	(135, 0.00066682452048555)	(140, 0.000457047060895049)	(145, 4.106282187728956e-05)	(150, 0.0)
BA12-S5_R2_001	(1, 0.0003481413159161506)	(2, 0.00794476336321472)	(3, 0.0009774736946876535)	(4, 2.2316751020266065e-05)	(5, 0.00247269601304548)	(6, 0.0010310338971362923)	(7, 5.356020244863855e-05)	(8, 0.0022941620048833513)	(9, 0.0007855496359133656)	(10, 0.0021915049501901275)	(15, 0.0008774946501168616)	(20, 0.00016603662759077952)	(25, 7.141360326485141e-06)	(30, 0.0008524998889741636)	(35, 6.159423281593434e-05)	(40, 0.0)	(45, 2.3209421061076706e-05)	(50, 2.7672771265129923e-05)	(55, 0.00021691881991698614)	(60, 4.284816195891084e-05)	(65, 2.6780101224319275e-05)	(70, 2.8565441305940564e-05)	(75, 4.463350204053213e-06)	(80, 0.0012193872757473377)	(85, 9.194501420349618e-05)	(90, 0.0)	(95, 7.141360326485141e-06)	(100, 0.0001231884656318687)	(105, 0.0009310548525655002)	(110, 0.0002535182915902225)	(115, 0.0008221491075866018)	(120, 0.00014014919640727088)	(125, 7.141360326485141e-06)	(130, 0.0005971962573023199)	(135, 0.00011247642514214097)	(140, 2.6780101224319276e-06)	(145, 0.0)	(150, 8.926700408106426e-06)
BA12-WYS_R1_001	(1, 0.02237917050136268)	(2, 0.020011565221730122)	(3, 0.026011854422948157)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00033287823483789115)	(15, 0.0008290152217937289)	(20, 0.0)	(25, 1.0601217669996533e-05)	(30, 7.844901075797434e-05)	(35, 0.0011279695600876312)	(40, 0.0006537417563164528)	(45, 0.0003950720451685375)	(50, 1.6961948271994452e-05)	(55, 7.986250644730722e-05)	(60, 0.0006332460688211263)	(65, 0.0008502176571337219)	(70, 0.00046574682963518104)	(75, 8.410299351530582e-05)	(80, 5.653982757331484e-06)	(85, 5.017909697131692e-05)	(90, 0.00019223541374927046)	(95, 6.572754955397851e-05)	(100, 1.413495689332871e-06)	(105, 0.00016820598703061164)	(110, 3.5337392233321778e-06)	(115, 0.0005943749373644722)	(120, 5.512633188398197e-05)	(125, 9.894469825330098e-06)	(130, 0.0006509147649377871)	(135, 0.0006516215127824536)	(140, 0.000416981228353197)	(145, 3.604414007798821e-05)	(150, 0.0)
BA12-WYS_R2_001	(1, 0.0003851775753432074)	(2, 0.008056925429197365)	(3, 0.0008692998489397158)	(4, 3.5337392233321778e-06)	(5, 0.002371139018855891)	(6, 0.0009965144609796741)	(7, 8.127600213664008e-05)	(8, 0.002413543889535877)	(9, 0.0007703551506864148)	(10, 0.0021880913270872844)	(15, 0.0008247747347257302)	(20, 0.000147710299535285)	(25, 9.187721980663661e-06)	(30, 0.0008155870127450666)	(35, 6.219381033064633e-05)	(40, 0.0)	(45, 2.4736174563325243e-05)	(50, 2.2615931029325937e-05)	(55, 0.00019788939650660194)	(60, 3.816438361198752e-05)	(65, 1.6961948271994452e-05)	(70, 2.4736174563325243e-05)	(75, 3.5337392233321778e-06)	(80, 0.0011640137001656193)	(85, 8.268949782597296e-05)	(90, 7.067478446664355e-07)	(95, 4.240487067998613e-06)	(100, 0.00012085388143796048)	(105, 0.0009329071549596949)	(110, 0.0002424145107205874)	(115, 0.0008078127864537358)	(120, 0.0001236808728166262)	(125, 4.947234912665049e-06)	(130, 0.0005491430753058204)	(135, 9.399746334063593e-05)	(140, 1.413495689332871e-06)	(145, 0.0)	(150, 0.0)
BA12-gam_R1_001	(1, 0.0226100495894433)	(2, 0.019903701353696613)	(3, 0.025622545815659068)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003167611208053439)	(15, 0.0008441520590534166)	(20, 0.0)	(25, 1.5511498183766844e-05)	(30, 8.40886480488413e-05)	(35, 0.0011233590263612198)	(40, 0.0007216928628657836)	(45, 0.00038452187602916753)	(50, 2.0409866031272158e-05)	(55, 8.245585876633953e-05)	(60, 0.000662096054054469)	(65, 0.0009078308410709856)	(70, 0.000502899099010546)	(75, 8.000667484258686e-05)	(80, 4.898367847505318e-06)	(85, 6.204599273506738e-05)	(90, 0.00021307900136648133)	(95, 7.837388556008509e-05)	(100, 8.163946412508864e-07)	(105, 0.00019593471390021275)	(110, 6.531157130007091e-06)	(115, 0.0006049484291669068)	(120, 8.817062125509573e-05)	(125, 1.7960682107519503e-05)	(130, 0.0006400533987406949)	(135, 0.000704548575399515)	(140, 0.0004204432402442065)	(145, 6.531157130007092e-05)	(150, 0.0)
BA12-gam_R2_001	(1, 0.00037554153497540774)	(2, 0.007816978689977237)	(3, 0.0008694602929321941)	(4, 2.4491839237526593e-05)	(5, 0.0023838723524525884)	(6, 0.001142952497751241)	(7, 6.531157130007092e-05)	(8, 0.0024818397094026946)	(9, 0.0008449684536946675)	(10, 0.002165894983238602)	(15, 0.0008359881126409076)	(20, 0.0001812396103576968)	(25, 8.163946412508864e-06)	(30, 0.0008702766875734449)	(35, 6.367878201756915e-05)	(40, 8.163946412508864e-07)	(45, 3.183939100878457e-05)	(50, 3.673775885628989e-05)	(55, 0.00023675444596275708)	(60, 4.571809991004964e-05)	(65, 3.673775885628989e-05)	(70, 3.5921364215039005e-05)	(75, 3.2655785650035454e-06)	(80, 0.0012017329119213046)	(85, 8.98034105375975e-05)	(90, 0.0)	(95, 4.081973206254432e-06)	(100, 0.00013388872116514537)	(105, 0.0009364046535147667)	(110, 0.00022777410490899732)	(115, 0.0007984339591433668)	(120, 0.0001249083801113856)	(125, 4.898367847505318e-06)	(130, 0.0005543319614093519)	(135, 0.00010449851408011345)	(140, 2.449183923752659e-06)	(145, 0.0)	(150, 1.632789282501773e-05)
BA14-S5_R1_001	(1, 0.022414036808883653)	(2, 0.020504007499885468)	(3, 0.02530876130094855)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003240415354205333)	(15, 0.0008170874923319481)	(20, 0.0)	(25, 8.38038453673793e-06)	(30, 6.564634553778045e-05)	(35, 0.0010733875860805164)	(40, 0.0006299255710114676)	(45, 0.00038479932331188325)	(50, 1.3967307561229882e-05)	(55, 7.751855696482585e-05)	(60, 0.0006222435518527913)	(65, 0.0008617828765278838)	(70, 0.0004560325918741557)	(75, 6.145615326941149e-05)	(80, 2.793461512245977e-06)	(85, 3.701336503725919e-05)	(90, 0.00019903413274752581)	(95, 6.774144167196493e-05)	(100, 6.983653780614942e-07)	(105, 0.000179479902161804)	(110, 5.586923024491954e-06)	(115, 0.0005552004755588879)	(120, 7.332836469645689e-05)	(125, 1.5364038317352872e-05)	(130, 0.0006180533595844223)	(135, 0.0006194500903405453)	(140, 0.00039667153473892867)	(145, 6.00594225132885e-05)	(150, 0.0)
BA14-S5_R2_001	(1, 0.00032823172768890225)	(2, 0.007853118676301502)	(3, 0.0008310547998931781)	(4, 1.0475480670922412e-05)	(5, 0.0022417528635773963)	(6, 0.0009672360486151693)	(7, 6.634471091584194e-05)	(8, 0.0023604749778478504)	(9, 0.0007507427814161062)	(10, 0.0021607424797222626)	(15, 0.0008275629730028706)	(20, 0.00014875182552709826)	(25, 3.4918268903074705e-06)	(30, 0.0007933430694778573)	(35, 4.8885576464304586e-05)	(40, 1.3967307561229884e-06)	(45, 2.164932671990632e-05)	(50, 3.1426442012767236e-05)	(55, 0.00021230307493069422)	(60, 3.352153814695172e-05)	(65, 2.7236249744398273e-05)	(70, 3.002971125664425e-05)	(75, 4.8885576464304596e-06)	(80, 0.0011578897968259573)	(85, 7.402673007451838e-05)	(90, 0.0)	(95, 3.4918268903074705e-06)	(100, 0.00013618124872199136)	(105, 0.0008729567225768676)	(110, 0.0002283654786261086)	(115, 0.0007947398002339804)	(120, 0.00011173846048983906)	(125, 4.190192268368965e-06)	(130, 0.000538439706485412)	(135, 0.00011313519124596205)	(140, 2.0950961341844823e-06)	(145, 0.0)	(150, 1.0475480670922412e-05)
BA14-WYS_R1_001	(1, 0.02277156047835928)	(2, 0.019749475653150782)	(3, 0.025668265532564846)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00033895772574584534)	(15, 0.0008292358647710859)	(20, 0.0)	(25, 1.0376256910587104e-05)	(30, 9.16569360435194e-05)	(35, 0.0010990185444463506)	(40, 0.0006848329560987488)	(45, 0.00038651556991936955)	(50, 1.6429073441762913e-05)	(55, 7.349848644999198e-05)	(60, 0.0006191166623316972)	(65, 0.000866417452034023)	(70, 0.00045050248753465667)	(75, 7.003973414646294e-05)	(80, 8.646880758822585e-07)	(85, 4.842253224940648e-05)	(90, 0.00019196075284586141)	(95, 6.485160569116939e-05)	(100, 1.729376151764517e-06)	(105, 0.00016602011056939366)	(110, 2.594064227646776e-06)	(115, 0.0005681000658546439)	(120, 7.349848644999198e-05)	(125, 1.4699697289998395e-05)	(130, 0.000632086983469931)	(135, 0.0006260341669387552)	(140, 0.00039170369837466314)	(145, 4.58284680217597e-05)	(150, 0.0)
BA14-WYS_R2_001	(1, 0.0003501986707323147)	(2, 0.007898925573184432)	(3, 0.00076957238753521)	(4, 1.2970321138233879e-05)	(5, 0.0021790139512232916)	(6, 0.0009338631219528393)	(7, 9.943912872645972e-05)	(8, 0.002403832850952679)	(9, 0.0007911895894322665)	(10, 0.0021262679785944735)	(15, 0.0007937836536599134)	(20, 0.00015391447750704202)	(25, 7.782192682940327e-06)	(30, 0.000809348039025794)	(35, 6.139285338764035e-05)	(40, 2.594064227646776e-06)	(45, 2.7670018428232272e-05)	(50, 2.853470650411453e-05)	(55, 0.0002057957620599775)	(60, 4.755784417352422e-05)	(65, 2.421126612470324e-05)	(70, 2.6805330352350013e-05)	(75, 2.594064227646776e-06)	(80, 0.0011050713609775265)	(85, 8.214536720881456e-05)	(90, 0.0)	(95, 5.188128455293552e-06)	(100, 0.00011932695447175169)	(105, 0.000862958699730494)	(110, 0.00022481889972938724)	(115, 0.0007540080021693294)	(120, 0.0001253797710029275)	(125, 5.188128455293552e-06)	(130, 0.0005127600289981793)	(135, 9.252162411940166e-05)	(140, 8.646880758822585e-07)	(145, 0.0)	(150, 8.646880758822584e-06)
