Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BA12-S5_R1_001	BA12-S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22404695.0	3.3 Gbp	0.0	150.0	47.0	35.32813692098035	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA12-S5_R2_001	BA12-S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22404695.0	3.3 Gbp	0.0	150.0	47.0	35.320302084682574	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA12-WYS_R1_001	BA12-WYS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28298636.0	4.2 Gbp	0.0	150.0	45.0	41.97932081773603	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA12-WYS_R2_001	BA12-WYS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28298636.0	4.2 Gbp	0.0	150.0	45.0	42.02136332036681	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA12-gam_R1_001	BA12-gam_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24497956.0	3.6 Gbp	0.0	150.0	46.0	39.30614947118666	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA12-gam_R2_001	BA12-gam_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24497956.0	3.6 Gbp	0.0	150.0	46.0	40.11247395047234	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA14-S5_R1_001	BA14-S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28638304.0	4.2 Gbp	0.0	150.0	48.0	21.488901180492118	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA14-S5_R2_001	BA14-S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28638304.0	4.2 Gbp	0.0	150.0	48.0	22.298168034705252	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA14-WYS_R1_001	BA14-WYS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23129728.0	3.4 Gbp	0.0	150.0	45.0	48.340318441051785	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA14-WYS_R2_001	BA14-WYS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23129728.0	3.4 Gbp	0.0	150.0	45.0	48.86269132283119	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA14-gam_R1_001	BA14-gam_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26730716.0	4 Gbp	0.0	150.0	47.0	29.1727849178179	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA14-gam_R2_001	BA14-gam_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26730716.0	4 Gbp	0.0	150.0	47.0	29.43336935359482	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
BA19-S5_R1_001	BA19-S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28697051.0	4.3 Gbp	0.0	150.0	45.0	42.30505595291739	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BA19-S5_R2_001	BA19-S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28697051.0	4.3 Gbp	0.0	150.0	46.0	42.17068477402116	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
BA19-WYS_R1_001	BA19-WYS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23128529.0	3.4 Gbp	0.0	150.0	46.0	40.23354179790845	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA19-WYS_R2_001	BA19-WYS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23128529.0	3.4 Gbp	0.0	150.0	46.0	40.43855995566612	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BA19-gam_R1_001	BA19-gam_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27783764.0	4.1 Gbp	0.0	150.0	50.0	20.641236229322573	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
BA19-gam_R2_001	BA19-gam_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27783764.0	4.1 Gbp	0.0	150.0	50.0	20.574780911267336	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
BD5-S5_R1_001	BD5-S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19334358.0	2.9 Gbp	0.0	150.0	46.0	41.42007772854717	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
BD5-S5_R2_001	BD5-S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19334358.0	2.9 Gbp	0.0	150.0	46.0	41.17882574751485	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	fail
BD5-WYS_R1_001	BD5-WYS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23239190.0	3.4 Gbp	0.0	150.0	46.0	38.06210694295132	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BD5-WYS_R2_001	BD5-WYS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23239190.0	3.4 Gbp	0.0	150.0	46.0	38.177740587273426	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BD5-gam_R1_001	BD5-gam_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29340885.0	4.4 Gbp	0.0	150.0	49.0	22.699021181463948	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	warn
BD5-gam_R2_001	BD5-gam_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29340885.0	4.4 Gbp	0.0	150.0	50.0	22.597259705458235	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
BF16-S5_R1_001	BF16-S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32097948.0	4.8 Gbp	0.0	150.0	48.0	26.351466645671096	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	warn
BF16-S5_R2_001	BF16-S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32097948.0	4.8 Gbp	0.0	150.0	49.0	25.862231753994664	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
BF16-WYS_R1_001	BF16-WYS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24354356.0	3.6 Gbp	0.0	150.0	45.0	43.15075196394721	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BF16-WYS_R2_001	BF16-WYS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24354356.0	3.6 Gbp	0.0	150.0	46.0	43.40618654263654	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BF16-gam_R1_001	BF16-gam_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30639630.0	4.5 Gbp	0.0	150.0	49.0	21.45542296173083	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	fail	fail
BF16-gam_R2_001	BF16-gam_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30639630.0	4.5 Gbp	0.0	150.0	50.0	21.27621509571794	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
BF5-S5_R1_001	BF5-S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20531865.0	3 Gbp	0.0	150.0	47.0	35.44423487225687	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BF5-S5_R2_001	BF5-S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20531865.0	3 Gbp	0.0	150.0	47.0	35.30229046317535	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
BF5-WYS_R1_001	BF5-WYS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23847695.0	3.5 Gbp	0.0	150.0	46.0	40.8239291697413	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
BF5-WYS_R2_001	BF5-WYS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23847695.0	3.5 Gbp	0.0	150.0	46.0	41.48648773225607	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	warn
