"Cr_peptideName","All_GO"
"Ceric.01G000100.1.p",""
"Ceric.01G000200.1.p","GO:0004066, GO:0006529, "
"Ceric.01G000200.2.p","GO:0004066, GO:0006529, "
"Ceric.01G000200.3.p","GO:0004066, GO:0006529, "
"Ceric.01G000200.4.p","GO:0004066, GO:0006529, "
"Ceric.01G000200.5.p",""
"Ceric.01G000200.6.p","GO:0004066, GO:0006529, "
"Ceric.01G000300.1.p","GO:0005576, GO:0009664, "
"Ceric.01G000300.2.p","GO:0005576, GO:0009664, "
"Ceric.01G000400.1.p","GO:0005524, GO:0016887, "
"Ceric.01G000500.1.p","GO:0005576, GO:0009664, "
"Ceric.01G000600.1.p","GO:0005515, "
"Ceric.01G000700.1.p",""
"Ceric.01G000800.1.p","GO:0005515, "
"Ceric.01G000900.1.p",""
"Ceric.01G001000.1.p",""
"Ceric.01G001100.1.p","GO:0003735, GO:0006412, GO:0015934, "
"Ceric.01G001200.1.p",""
"Ceric.01G001300.1.p","GO:0005515, GO:0005634, GO:0008270, GO:0016568, "
"Ceric.01G001300.2.p","GO:0005515, GO:0005634, GO:0008270, GO:0016568, "
"Ceric.01G001400.1.p","GO:0015074, "
"Ceric.01G001500.1.p",""
"Ceric.01G001600.1.p",""
"Ceric.01G001700.1.p",""
"Ceric.01G001800.1.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.2.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.3.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.4.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.5.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.6.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.7.p","GO:0003677, GO:0008289, "
"Ceric.01G001800.8.p","GO:0008289, "
"Ceric.01G001900.1.p","GO:0005515, "
"Ceric.01G001900.2.p","GO:0005515, "
"Ceric.01G002000.1.p","GO:0008270, "
"Ceric.01G002000.2.p","GO:0008270, "
"Ceric.01G002000.3.p","GO:0008270, "
"Ceric.01G002000.4.p","GO:0008270, "
"Ceric.01G002000.5.p","GO:0008270, "
"Ceric.01G002000.6.p","GO:0008270, "
"Ceric.01G002000.7.p","GO:0008270, "
"Ceric.01G002100.1.p","GO:0000159, GO:0007165, GO:0008601, "
"Ceric.01G002100.2.p","GO:0000159, GO:0007165, GO:0008601, "
"Ceric.01G002200.1.p","GO:0003723, GO:0005515"
