geneID,logFC,logCPM,F,PValue,FDR,GO,GOterms,Best-hit-arabi-name,Best-hit-arabi-defline,Best-hit-clamy-name,Best-hit-clamy-defline,Best-hit-rice-name,Best-hit-rice-defline,Pfam,Panther,ec,KOG,KO
Ceric.11G040500.1,7.623341861617157,2.595332127874611,648.0542020361487,2.0777137051636556e-11,4.7203577667613093e-7,NA,,AT4G35590,RWP-RK domain-containing protein,NA,NA,LOC_Os04g47640,"RWP-RK domain-containing protein, putative, expressed",PF02042,PTHR10270,NA,NA,NA
Ceric.03G009700.1,8.028740083537581,6.946458606382233,1321.2897065967534,6.578162711190333e-11,7.472463931776659e-7,GO:0009405,,NA,NA,NA,NA,NA,NA,PF03945,NA,NA,NA,NA
Ceric.19G073700.1,8.04760031889321,6.896582076450292,1192.5966646538589,1.032627720298872e-10,7.820089725823357e-7,NA,,NA,NA,NA,NA,NA,NA,NA,PTHR33178 PTHR33178:SF1,NA,NA,NA
Ceric.12G059400.1,9.290826675044494,4.308922319169806,437.1371646393174,1.877609113865192e-10,1.0664350364475823e-6,GO:0003700 GO:0006355,DNA-binding transcription factor activity; regulation of DNA-templated transcription,AT1G64380,Integrase-type DNA-binding superfamily protein,Cre14.g620500,(1 of 17) PF00847 - AP2 domain (AP2),LOC_Os03g09170,"ethylene-responsive transcription factor, putative, expressed",PF00847,PTHR31985,NA,NA,NA
Ceric.19G056000.1,6.251707671465665,4.565934201141439,972.6138387285002,2.6000962883315754e-10,1.1814317514921013e-6,GO:0004857 GO:0005618 GO:0030599 GO:0042545,enzyme inhibitor activity; cell wall; pectinesterase activity; cell wall modification,AT1G53830,pectin methylesterase 2,NA,NA,LOC_Os03g18860,"pectinesterase, putative, expressed",PF01095 PF04043,PTHR31707,EC:3.1.1.11,NA,K01051
Ceric.16G042000.1,-5.054902697177994,6.173584728242613,856.1060805935971,4.331787724602346e-10,1.2540969571858814e-6,GO:0005215 GO:0006810 GO:0016020,transporter activity; transport; membrane,AT1G68570,Major facilitator superfamily protein,NA,NA,LOC_Os06g15370,"peptide transporter PTR2, putative, expressed",PF00854,PTHR11654 PTHR11654:SF92,NA,NA,K14638
Ceric.17G072500.1,7.114128890663747,3.824506255416389,795.0811318618801,5.424113336757794e-10,1.2540969571858814e-6,NA,,AT1G77380,amino acid permease 3,NA,NA,LOC_Os12g08090,"amino acid transporter, putative, expressed",PF01490,PTHR22950 PTHR22950:SF205,NA,KOG1303,NA
Ceric.15G045000.1,7.459789257494489,4.364072981298987,793.486816944405,6.144117179154652e-10,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,PF08881,NA,NA,NA,NA
Ceric.03G009800.1,7.705582034539973,7.189585610417895,790.666655301164,6.152598398435198e-10,1.2540969571858814e-6,GO:0009405,,NA,NA,NA,NA,NA,NA,PF03945,NA,NA,NA,NA
Ceric.17G059900.1,8.834971503370904,4.139548223709762,417.80192512629014,6.410342959856887e-10,1.2540969571858814e-6,GO:0003824 GO:0004601 GO:0008152 GO:0020037 GO:0055114,catalytic activity; peroxidase activity; metabolic process; heme binding; ,NA,NA,Cre01.g044800,Pyruvate-formate lyase,NA,NA,PF02901 PF04261,PTHR30191 PTHR30191:SF6,EC:4.2.1.30,NA,NA
Ceric.20G081900.1,8.281581849400268,2.898024575189127,296.5601586950124,6.418988272681933e-10,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.1Z169700.1,-5.2547693360373575,6.198351651658132,737.460264353904,8.313981934716745e-10,1.2540969571858814e-6,GO:0043531,ADP binding,NA,NA,NA,NA,LOC_Os02g10900,"NB-ARC domain containing protein, expressed",PF00931,PTHR19851 PTHR19851:SF7,NA,NA,NA
Ceric.12G086200.1,-5.168376300372454,4.847833311892598,726.3454503137174,9.074311091450377e-10,1.2540969571858814e-6,GO:0009733,response to auxin,AT5G20810,SAUR-like auxin-responsive protein family,NA,NA,NA,NA,PF02519,PTHR31374,NA,NA,K14488
Ceric.20G002100.1,-3.7591722328384725,7.403091900625052,711.7585867354383,9.672031704876062e-10,1.2540969571858814e-6,GO:0006633 GO:0009058 GO:0016020 GO:0016747,"fatty acid biosynthetic process; biosynthetic process; membrane; acyltransferase activity, transferring groups other than amino-acyl groups",NA,NA,NA,NA,NA,NA,PF08392,PTHR11877 PTHR11877:SF14,EC:2.3.1.95,NA,NA
Ceric.07G072100.1,-3.6947442025306723,5.075426870926134,710.5464492894547,9.76518426962754e-10,1.2540969571858814e-6,NA,,AT5G26660,myb domain protein 86,NA,NA,LOC_Os04g39470,"MYB family transcription factor, putative, expressed",PF00249,PTHR10641 PTHR10641:SF653,NA,KOG0048,K09422
Ceric.18G026500.1,8.742729455482324,2.869750135191411,276.5252412479871,1.023080959018038e-9,1.2540969571858814e-6,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceric.18G086200.1,7.680407113467292,2.654666766259159,319.6826661785483,1.064697736940449e-9,1.2540969571858814e-6,GO:0046983,protein dimerization activity,AT1G27660,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,NA,NA,NA,NA,PF00010,PTHR16223 PTHR16223:SF19,NA,NA,NA
