#pacId	locusName	transcriptName	peptideName	Pfam	Panther	ec	KOG	KO	GO	Best-hit-arabi-name	Best-hit-arabi-defline	Best-hit-clamy-name	Best-hit-clamy-defline	Best-hit-rice-name	Best-hit-rice-defline
PAC:50640963	Ceric.1Z000100	Ceric.1Z000100.1	Ceric.1Z000100.1.p												
PAC:50640947	Ceric.1Z000200	Ceric.1Z000200.1	Ceric.1Z000200.1.p	PF04520	PTHR33083									LOC_Os10g33990	DUF584 domain containing protein, putative, expressed
PAC:50640948	Ceric.1Z000200	Ceric.1Z000200.2	Ceric.1Z000200.2.p	PF04520	PTHR33083									LOC_Os10g33990	DUF584 domain containing protein, putative, expressed
PAC:50640964	Ceric.1Z000300	Ceric.1Z000300.1	Ceric.1Z000300.1.p		PTHR33740 PTHR33740:SF3					AT5G23890				LOC_Os03g64400	oxidoreductase/ transition metal ion binding protein, putative, expressed
PAC:50640965	Ceric.1Z000300	Ceric.1Z000300.2	Ceric.1Z000300.2.p		PTHR33740 PTHR33740:SF3					AT5G23890				LOC_Os03g64400	oxidoreductase/ transition metal ion binding protein, putative, expressed
PAC:50640950	Ceric.1Z000400	Ceric.1Z000400.1	Ceric.1Z000400.1.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640955	Ceric.1Z000400	Ceric.1Z000400.2	Ceric.1Z000400.2.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640952	Ceric.1Z000400	Ceric.1Z000400.3	Ceric.1Z000400.3.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640951	Ceric.1Z000400	Ceric.1Z000400.4	Ceric.1Z000400.4.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640956	Ceric.1Z000400	Ceric.1Z000400.5	Ceric.1Z000400.5.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
PAC:50640953	Ceric.1Z000400	Ceric.1Z000400.6	Ceric.1Z000400.6.p	PF08700 PF16528	PTHR21426 PTHR21426:SF15		KOG2215			AT5G49830	exocyst complex component 84B			LOC_Os07g10110	expressed protein
